name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Abu Dhabi,2023-01-01,24.9,20,22.1,24.9,20,22.1,15.8,68,0,0,0,,0,0,31,22.9,328.2,1022.9,22.9,10,175,15.1,7,10,2023-01-01T07:06:29,2023-01-01T17:45:26,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41216099999,41217099999,OMAD,OMAA"
Abu Dhabi,2023-01-02,26,18.8,22,26,18.8,22,16,69.3,0,0,0,,0,0,34.2,19.2,357.9,1022.2,11.6,10,176.3,15.2,7,10,2023-01-02T07:06:47,2023-01-02T17:46:06,0.34,Clear,Clear conditions throughout the day.,clear-day,"41216099999,41217099999,OMAD,OMAA"
Abu Dhabi,2023-01-03,24.2,20.7,22.3,24.2,20.7,22.3,14.2,60.4,0.6,100,16.67,rain,0,0,43.9,22.7,5.8,1023.2,31.2,10,146,12.7,6,10,2023-01-03T07:07:03,2023-01-03T17:46:46,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"41216099999,41217099999,OMAD,OMAA"
Abu Dhabi,2023-01-04,28,18.8,22.3,27.1,18.8,22.3,11.8,52.9,0.1,100,4.17,rain,0,0,36.4,15.6,42.7,1020,56.4,10,150.3,13.1,6,10,2023-01-04T07:07:18,2023-01-04T17:47:26,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"41216099999,41217099999,OMAD,OMAA"
Abu Dhabi,2023-01-05,28.7,19.8,23.4,27.7,19.8,23.3,11.7,49.5,0.1,100,4.17,rain,0,0,38.2,20.7,155.8,1018.6,56.7,10,170.1,14.4,7,10,2023-01-05T07:07:31,2023-01-05T17:48:07,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"41216099999,41217099999,OMAD,OMAA"
Abu Dhabi,2023-01-06,26.9,20,22.6,26.9,20,22.6,14.7,61.8,0,0,0,rain,0,0,36.7,24.7,61,1019.4,60.1,10,139.1,12,5,10,2023-01-06T07:07:43,2023-01-06T17:48:49,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41216099999,41217099999,OMAD,OMAA"
Abu Dhabi,2023-01-07,23.1,18.7,20.5,23.1,18.7,20.5,16.2,77.1,1.2,100,29.17,rain,0,0,50,34.9,25.8,1019.4,49.8,10,94.6,8.2,4,30,2023-01-07T07:07:54,2023-01-07T17:49:31,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"41216099999,41217099999,OMAD,OMAA"
Abu Dhabi,2023-01-08,23.9,18,20.5,23.9,18,20.5,15.1,71.6,0,0,0,rain,0,0,30.2,15.2,355.2,1019.6,33.3,10,150.4,13,6,10,2023-01-08T07:08:03,2023-01-08T17:50:14,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41216099999,41217099999,OMAD,OMAA"
Abu Dhabi,2023-01-09,25,17.9,20.9,25,17.9,20.9,14.5,67.1,0,0,0,,0,0,22.3,15.4,28.2,1019.8,21.5,10,145.5,12.6,6,10,2023-01-09T07:08:11,2023-01-09T17:50:56,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41216099999,41217099999,OMAD,OMAA"
Abu Dhabi,2023-01-10,29,18,22.5,28.4,18,22.5,15.5,66.2,0,0,0,,0,0,42.1,34.1,248.4,1017.4,10.6,8.8,165.3,14.2,7,10,2023-01-10T07:08:17,2023-01-10T17:51:40,0.61,Clear,Clear conditions throughout the day.,clear-day,"41216099999,41217099999,OMAD,OMAA"
