name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Al Ghaydah,2023-01-01,24.3,21.8,23.2,24.3,21.8,23.2,15.5,62.2,0,0,0,,0,0,28.8,16.2,132.9,1020.6,36.4,24.1,202.8,17.7,8,10,2023-01-01T05:57:45,2023-01-01T17:07:28,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Al Ghaydah,2023-01-02,24.4,21.7,23.2,24.4,21.7,23.2,15.6,62.4,0,0,0,,0,0,22.7,11.5,131.9,1019.9,5.8,24.1,226.4,19.6,8,10,2023-01-02T05:58:06,2023-01-02T17:08:03,0.34,Clear,Clear conditions throughout the day.,clear-day,remote
Al Ghaydah,2023-01-03,24.2,21.8,23.1,24.2,21.8,23.1,17.3,69.8,0,0,0,,0,0,25.9,13.3,147.2,1020.8,45.1,24.1,223.1,19.2,8,10,2023-01-03T05:58:26,2023-01-03T17:08:38,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Al Ghaydah,2023-01-04,23.6,21.6,22.5,23.6,21.6,22.5,18.9,79.9,1.1,100,33.33,rain,0,0,26.6,16.6,144.4,1019.2,33.9,23.7,191.2,16.6,7,10,2023-01-04T05:58:46,2023-01-04T17:09:14,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,remote
Al Ghaydah,2023-01-05,23.1,21.6,22.4,23.1,21.6,22.4,18.9,80.4,0,0,0,rain,0,0,28.8,18.7,119.7,1018.3,21.8,24.1,217,18.7,8,10,2023-01-05T05:59:04,2023-01-05T17:09:50,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Al Ghaydah,2023-01-06,23.4,22.1,22.7,23.4,22.1,22.7,17.8,73.7,0,0,0,rain,0,0,33.8,19.8,107.1,1018.2,29.4,24.1,191.7,16.7,7,10,2023-01-06T05:59:21,2023-01-06T17:10:27,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Al Ghaydah,2023-01-07,23.2,21.4,22.2,23.2,21.4,22.2,17.3,73.9,0,0,0,,0,0,24.1,14.8,123.1,1018,8.2,24.1,214.8,18.5,8,10,2023-01-07T05:59:37,2023-01-07T17:11:03,0.5,Clear,Clear conditions throughout the day.,clear-day,remote
Al Ghaydah,2023-01-08,22.9,20.7,22,22.9,20.7,22,18.5,80.8,0,0,0,,0,0,25.9,15.1,149.3,1017.5,17.5,24.1,194.6,16.6,7,10,2023-01-08T05:59:52,2023-01-08T17:11:40,0.55,Clear,Clear conditions throughout the day.,clear-day,remote
Al Ghaydah,2023-01-09,23.1,20.8,22.2,23.1,20.8,22.2,18.4,79.1,0.6,100,25,rain,0,0,29.9,19.1,117.1,1018.8,17.7,24.1,205.6,17.6,7,10,2023-01-09T06:00:07,2023-01-09T17:12:16,0.58,Rain,Clear conditions throughout the day with rain clearing later.,rain,remote
Al Ghaydah,2023-01-10,23.3,21.4,22.3,23.3,21.4,22.3,17.1,72.5,0,0,0,,0,0,25.6,14,121.3,1018.8,16.7,24.1,222.8,19.3,8,10,2023-01-10T06:00:20,2023-01-10T17:12:53,0.61,Clear,Clear conditions throughout the day.,clear-day,remote
Al Ghaydah,2023-01-11,23.6,20.1,22.1,23.6,20.1,22.1,16.7,71.9,0,0,0,,0,0,28.4,14.8,160,1017.5,21.7,20.2,212.5,18.4,8,10,2023-01-11T06:00:31,2023-01-11T17:13:29,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Al Ghaydah,2023-01-12,23.8,21.4,22.7,23.8,21.4,22.7,17.5,73,0,0,0,,0,0,27,14.8,153.6,1017.6,1.9,24.1,228.8,19.9,8,10,2023-01-12T06:00:42,2023-01-12T17:14:06,0.68,Clear,Clear conditions throughout the day.,clear-day,remote
Al Ghaydah,2023-01-13,24.2,22,23.1,24.2,22,23.1,14.7,59.8,0,0,0,,0,0,28.1,18,106.4,1018.3,31.2,24.1,231.7,20.1,8,10,2023-01-13T06:00:52,2023-01-13T17:14:43,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Al Ghaydah,2023-01-14,23.1,20.9,22.2,23.1,20.9,22.2,18.8,81.3,1.9,100,41.67,rain,0,0,33.5,21.6,111,1019,58,22.2,192.9,16.7,7,10,2023-01-14T06:01:00,2023-01-14T17:15:19,0.75,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,remote
Al Ghaydah,2023-01-15,23,21.2,22.1,23,21.2,22.1,18.9,82.4,0.3,100,12.5,rain,0,0,27.7,16.9,133.6,1018.1,26,23.7,217.2,18.8,8,10,2023-01-15T06:01:07,2023-01-15T17:15:55,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,remote
Al Ghaydah,2023-01-16,22.7,20.6,21.6,22.7,20.6,21.6,19.2,85.9,0.2,100,8.33,rain,0,0,27,15.1,179.6,1017,31.5,22.4,189.7,16.5,7,10,2023-01-16T06:01:14,2023-01-16T17:16:32,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,remote
Al Ghaydah,2023-01-17,22.8,20.9,21.9,22.8,20.9,21.9,19,83.5,0,0,0,,0,0,19.1,11.2,181.3,1016.4,66.3,20.4,229.3,19.8,8,10,2023-01-17T06:01:18,2023-01-17T17:17:08,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Al Ghaydah,2023-01-18,23.3,20.4,22.2,23.3,20.4,22.2,16.9,72.4,0,0,0,,0,0,26.6,14.8,173.5,1016.4,11.8,22.2,236.1,20.3,8,10,2023-01-18T06:01:22,2023-01-18T17:17:43,0.88,Clear,Clear conditions throughout the day.,clear-day,remote
Al Ghaydah,2023-01-19,23.9,21.1,22.4,23.9,21.1,22.4,16.1,68.3,0,0,0,,0,0,26.6,11.2,61.4,1017.6,2.5,24.1,235.3,20.2,8,10,2023-01-19T06:01:25,2023-01-19T17:18:19,0.92,Clear,Clear conditions throughout the day.,clear-day,remote
