name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
 Al Mukalla,2023-01-01,26.6,23.8,25.4,26.6,23.8,25.4,18.7,67.2,1.6,100,33.33,rain,0,0,27,18.4,61.7,1019.4,88.7,24.1,138.6,11.8,6,10,2023-01-01T06:08:29,2023-01-01T17:25:22,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
 Al Mukalla,2023-01-02,25.7,24.1,25,25.7,24.1,25,20.3,75.3,0.1,100,4.17,rain,0,0,21.2,13,73.7,1019.1,13.5,24.1,209.6,18.1,8,10,2023-01-02T06:08:51,2023-01-02T17:25:56,0.34,Rain,Clear conditions throughout the day with early morning rain.,rain,remote
 Al Mukalla,2023-01-03,26.4,24.1,25.2,26.4,24.1,25.2,19.7,71.9,0,0,0,rain,0,0,23.8,14.4,61.1,1020,19.3,24.1,228.4,19.5,8,10,2023-01-03T06:09:12,2023-01-03T17:26:31,0.38,Clear,Clear conditions throughout the day.,clear-day,remote
 Al Mukalla,2023-01-04,26.3,24.2,25.2,26.3,24.2,25.2,19.1,68.9,0,0,0,rain,0,0,17.3,10.1,52.9,1018.8,16.5,23.7,219.2,18.8,8,10,2023-01-04T06:09:32,2023-01-04T17:27:06,0.41,Clear,Clear conditions throughout the day.,clear-day,remote
 Al Mukalla,2023-01-05,25.6,23.8,24.8,25.6,23.8,24.8,19.4,72.2,0,0,0,rain,0,0,18.7,12.2,53.7,1017.3,28.4,24.1,217.1,18.6,8,10,2023-01-05T06:09:52,2023-01-05T17:27:41,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
 Al Mukalla,2023-01-06,25.8,23.2,24.6,25.8,23.2,24.6,19.7,74.4,0.5,100,16.67,rain,0,0,22.3,15.8,48.7,1017.3,44.4,24.1,201.5,17.4,7,10,2023-01-06T06:10:10,2023-01-06T17:28:16,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,remote
 Al Mukalla,2023-01-07,25.5,23.5,24.4,25.5,23.5,24.4,19.5,74.1,0.7,100,25,rain,0,0,20.2,14,63.5,1017.1,20.3,24.1,213.3,18.3,8,10,2023-01-07T06:10:28,2023-01-07T17:28:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,remote
 Al Mukalla,2023-01-08,25.3,22.9,24.3,25.3,22.9,24.3,19.7,75.6,0,0,0,,0,0,18.7,12.2,95,1016.7,15.5,24.1,219.7,18.9,8,10,2023-01-08T06:10:44,2023-01-08T17:29:26,0.55,Clear,Clear conditions throughout the day.,clear-day,remote
 Al Mukalla,2023-01-09,25.6,23.5,24.5,25.6,23.5,24.5,19.8,75.4,0.1,100,4.17,rain,0,0,19.8,14,69.9,1017.8,22,24.1,212.6,18.3,7,10,2023-01-09T06:11:00,2023-01-09T17:30:01,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,remote
 Al Mukalla,2023-01-10,25.3,22.8,24.1,25.3,22.8,24.1,18.8,72.8,0.2,100,8.33,rain,0,0,20.5,13.7,52.3,1018.3,24.9,24.1,223.3,19.3,8,10,2023-01-10T06:11:14,2023-01-10T17:30:36,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,remote
