name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Al-Obailah,2023-01-01,15,5.9,10.2,15,4.4,9.7,5.9,76.4,0,0,0,,0,0,41,37.1,105.8,1026.2,70.3,9.5,101.6,8.8,4,,2023-01-01T07:28:48,2023-01-01T17:38:01,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40360099999,OEGT"
Al-Obailah,2023-01-02,11,7.2,9.4,11,4.4,8.3,5.4,76.4,1.8,100,25,rain,0,0,32.8,18.4,95.8,1025.8,94.9,9.5,57.3,4.9,3,,2023-01-02T07:29:01,2023-01-02T17:38:44,0.34,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"40360099999,OEGT"
Al-Obailah,2023-01-03,13,8.9,10.7,13,7.4,10.5,6.2,73.6,3.7,100,58.33,rain,0,0,33.5,18.4,82.4,1023.3,94.1,10,91.7,7.8,4,,2023-01-03T07:29:13,2023-01-03T17:39:28,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"40360099999,OEGT"
Al-Obailah,2023-01-04,10.1,6,8.1,10.1,3.8,5.8,4.1,75.9,3.9,100,33.33,rain,0,0,38.9,22.3,14.8,1019.5,78.6,10,64.8,5.5,4,,2023-01-04T07:29:23,2023-01-04T17:40:14,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"40360099999,OEGT"
Al-Obailah,2023-01-05,16,2,8.3,16,-1,7.5,3.8,76.2,0,0,0,,0,0,29.2,22.3,298.3,1020.3,25.1,9.1,156,13.4,6,,2023-01-05T07:29:31,2023-01-05T17:41:00,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40360099999,OEGT"
Al-Obailah,2023-01-06,16,4,10,16,0.9,9.5,5.3,75.7,0,0,0,,0,0,15.8,14.8,222.4,1022.2,28.3,8.9,141.6,12.2,6,,2023-01-06T07:29:38,2023-01-06T17:41:47,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40360099999,OEGT"
Al-Obailah,2023-01-07,17,8,11.6,17,7.8,11.4,5.5,68.1,0,0,0,,0,0,16.2,13,114,1021,51.4,10,135.8,11.8,5,,2023-01-07T07:29:43,2023-01-07T17:42:35,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40360099999,OEGT"
Al-Obailah,2023-01-08,17,4,9.7,17,3.3,9.3,3.3,68.3,0,0,0,,0,0,28.8,14.8,107,1017.9,13.3,9.7,161,13.8,6,,2023-01-08T07:29:47,2023-01-08T17:43:23,0.55,Clear,Clear conditions throughout the day.,clear-day,"40360099999,OEGT"
Al-Obailah,2023-01-09,11.8,4.8,8.6,11.8,2.2,7.6,4.3,74.6,5,100,41.67,rain,0,0,31,29.5,42.1,1017.5,63.7,9.9,90.8,7.7,4,,2023-01-09T07:29:48,2023-01-09T17:44:12,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40360099999,OEGT"
Al-Obailah,2023-01-10,15,6,9.2,15,4.4,8.7,3.5,69.3,0,0,0,,0,0,21.6,18.4,161.7,1024.2,54.2,10,100.6,8.7,4,,2023-01-10T07:29:48,2023-01-10T17:45:02,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40360099999,OEGT"
Al-Obailah,2023-01-11,14.2,2,7.9,14.2,0.4,7.1,1.3,66.1,0,0,0,,0,0,30.6,14.8,112.2,1024.7,23.2,9.5,164,14.1,6,,2023-01-11T07:29:46,2023-01-11T17:45:53,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40360099999,OEGT"
