name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Aomori,2023-01-01,3.8,-1.9,1.4,-0.6,-9,-3.7,-3.2,72.4,1.001,100,12.5,snow,1.9,36.5,63,33.6,239.7,1015.6,80.6,15.5,92.5,8.1,4,10,2023-01-01T07:01:24,2023-01-01T16:19:18,0.3,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"RJSA,47575099999,47580044402,47576099999,47581099999,RJSM,47542099999,47574099999"
Aomori,2023-01-02,-2.4,-4.2,-3.4,-8.6,-12.5,-10.2,-6.4,80,3,100,12.5,snow,11.6,38.6,63,38.8,270.3,1015.7,90.7,7.3,86.9,7.5,4,10,2023-01-02T07:01:31,2023-01-02T16:20:08,0.33,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"RJSA,47575099999,47580044402,47576099999,47581099999,RJSM,47542099999,47574099999"
Aomori,2023-01-03,-1,-3.8,-2.8,-7,-10.8,-8.4,-6,79.4,2.499,100,12.5,snow,8.5,44.4,67.3,31.6,251.2,1014.8,89.2,11.8,87.4,7.3,4,10,2023-01-03T07:01:36,2023-01-03T16:21:00,0.37,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"RJSA,47575099999,47580044402,47576099999,47581099999,RJSM,47542099999,47574099999"
Aomori,2023-01-04,-2,-3.5,-2.8,-6.5,-11.2,-8.8,-5.3,82.7,3.998,100,8.33,snow,11.1,49.4,65.9,31.4,261.9,1015.2,91.1,8.4,88.4,7.7,4,10,2023-01-04T07:01:39,2023-01-04T16:21:53,0.4,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"RJSA,47575099999,47580044402,47576099999,47581099999,RJSM,47542099999,47574099999"
Aomori,2023-01-05,1.1,-2.7,-0.9,-3.2,-8.8,-6.6,-4.5,78.1,1.499,100,8.33,snow,5.3,53,61.9,33.3,259.7,1018.5,88.6,11.6,92.9,8.1,4,10,2023-01-05T07:01:39,2023-01-05T16:22:48,0.44,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"RJSA,47575099999,47580044402,47576099999,47581099999,RJSM,47542099999,47574099999"
Aomori,2023-01-06,2.1,-1.4,0.3,-0.7,-5.2,-3.3,-2.9,79.5,0.998,100,8.33,snow,0.6,51.5,44.3,23.8,225.3,1018.6,80.8,15.4,92.6,7.9,4,10,2023-01-06T07:01:37,2023-01-06T16:23:44,0.47,"Snow, Partially cloudy",Partly cloudy throughout the day with snow in the morning and afternoon.,snow,"RJSA,47575099999,47580044402,47576099999,47581099999,RJSM,47542099999,47574099999"
Aomori,2023-01-07,2.1,-0.7,0.7,1,-4.4,-1.8,-0.6,91.7,4.997,100,8.33,"rain,snow",0.5,55.6,24.1,14.7,198,1014,87.1,13,82.2,7.1,4,10,2023-01-07T07:01:33,2023-01-07T16:24:42,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"RJSA,47575099999,47580044402,47576099999,47581099999,RJSM,47542099999,47574099999"
Aomori,2023-01-08,2,-0.5,0.3,-0.2,-4,-2.8,-1.1,91,3.498,100,12.5,"rain,snow",2.1,53.8,28.1,14.8,212,1018.4,85.5,12.4,98.2,8.4,4,10,2023-01-08T07:01:26,2023-01-08T16:25:41,0.54,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"RJSA,47575099999,47580044402,47576099999,47581099999,RJSM,47542099999,47574099999"
Aomori,2023-01-09,4.3,-0.8,1.9,1.6,-5.4,-2,-1.3,80,5.998,100,16.67,"rain,snow",2.1,52.5,45,20.6,222.4,1014.9,85.5,14.2,91.9,8,4,10,2023-01-09T07:01:17,2023-01-09T16:26:41,0.57,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"RJSA,47575099999,47580044402,47576099999,47581099999,RJSM,47542099999,47574099999"
Aomori,2023-01-10,-0.4,-1.9,-1.4,-3.1,-7,-5.2,-3,88.5,1.5,100,12.5,snow,12.5,53.8,52.6,20.3,247.4,1016.5,82.4,13.6,97.9,8.4,4,10,2023-01-10T07:01:06,2023-01-10T16:27:42,0.61,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"RJSA,47575099999,47580044402,47576099999,47581099999,RJSM,47542099999,47574099999"
Aomori,2023-01-11,5.3,-1.2,2.4,2.2,-6.1,-1.7,-0.9,79.2,0.999,100,8.33,"rain,snow",1.2,53.2,48.6,24.2,211,1020.1,83,17.6,79.8,6.9,4,10,2023-01-11T07:00:53,2023-01-11T16:28:45,0.64,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"RJSA,47575099999,47580044402,47576099999,47581099999,RJSM,47542099999,47574099999"
Aomori,2023-01-12,9.8,0.6,4.6,7.7,-2.9,1.6,0,73.4,0,0,0,,0,46.7,43.2,18.5,228.2,1021.1,38.6,19.7,109.7,9.5,5,10,2023-01-12T07:00:37,2023-01-12T16:29:49,0.67,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"RJSA,47575099999,47580044402,47576099999,47581099999,RJSM,47542099999,47574099999"
Aomori,2023-01-13,11.8,0.1,5.2,11.8,-3.5,3.3,2.2,82.8,0,0,0,,0,42,42.1,18.6,211,1017,56.1,14.4,82.1,7.2,3,10,2023-01-13T07:00:19,2023-01-13T16:30:53,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"RJSA,47575099999,47580044402,47576099999,47581099999,RJSM,47542099999,47574099999"
Aomori,2023-01-14,8.5,2.7,5.6,6,-1.1,3.1,4,89.6,4.505,100,12.5,"rain,snow",0.3,36.6,32.8,16.6,55.9,1008.5,89.6,16.7,13.4,1.1,1,10,2023-01-14T06:59:59,2023-01-14T16:31:59,0.74,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"RJSA,47575099999,47580044402,47576099999,47581099999,RJSM,47542099999,47574099999"
