name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
 Aqaba,2023-01-01,23.7,13,18.4,23.7,13,18.4,8.7,54.6,0.2,100,8.33,rain,0,0,28.1,21.2,29.2,1020.2,46.8,6.4,146.9,12.7,6,,2023-01-01T07:34:51,2023-01-01T17:52:04,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-02,23.7,16.6,19.9,23.7,16.6,19.9,8.7,48.9,0.1,100,4.17,rain,0,0,25.2,21.1,17.1,1019.6,11.9,7.1,149.8,12.9,6,,2023-01-02T07:35:06,2023-01-02T17:52:46,0.34,Rain,Clear conditions throughout the day with early morning rain.,rain,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-03,23,13,17.1,23,13,17.1,8.7,58.9,1.4,100,12.5,rain,0,0,19.8,23.2,12.2,1019,30.7,6.9,157.6,13.7,6,,2023-01-03T07:35:19,2023-01-03T17:53:29,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-04,18.8,11.4,14.9,18.8,11.4,14.9,9.3,70.3,0.2,100,8.33,rain,0,0,27.7,17.1,18.3,1019.5,36.6,7,115.2,10,4,,2023-01-04T07:35:30,2023-01-04T17:54:13,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-05,20.9,10.5,15.2,20.9,10.5,15.2,7.5,62.1,0,0,0,,0,0,27,10.7,22.3,1021.1,7.1,7.5,148.8,12.8,6,,2023-01-05T07:35:40,2023-01-05T17:54:58,0.45,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-06,22.6,10.1,16.2,22.6,10.1,16.2,5.8,52.3,0,0,0,,0,0,27.4,13.9,10,1021.6,1.2,8,171.2,14.8,7,,2023-01-06T07:35:48,2023-01-06T17:55:43,0.48,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-07,22.3,10.1,16.1,22.3,10.1,16.1,5.5,50.7,0,0,0,,0,0,24.1,15.4,14.4,1020.6,32.3,8.1,157.2,13.7,6,,2023-01-07T07:35:54,2023-01-07T17:56:30,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-08,21.6,12,16.2,21.6,12,16.2,7.3,57.2,0,0,0,,0,0,21.2,16.3,13.9,1016.5,8.5,8,172.7,15,7,,2023-01-08T07:35:59,2023-01-08T17:57:17,0.55,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-09,17.5,13,15.2,17.5,13,15.2,7.2,59.2,0.1,100,4.17,rain,0,0,28.8,13.5,10.8,1017.5,56.5,7.1,126.9,10.9,5,,2023-01-09T07:36:03,2023-01-09T17:58:04,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-10,20.9,10.2,15.1,20.9,10.2,15.1,5.7,57.6,0,0,0,,0,0,20.9,12.7,11.2,1023.1,1.7,6.6,176.8,15.3,7,,2023-01-10T07:36:04,2023-01-10T17:58:52,0.61,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-11,23,10.4,16.1,23,10.4,16.1,2.9,42.9,0,0,0,,0,0,18.7,11.3,23.1,1021.8,5.3,7.5,180.3,15.6,7,,2023-01-11T07:36:04,2023-01-11T17:59:41,0.65,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-12,22.8,11,16.2,22.8,11,16.2,2.9,41.6,0,0,0,,0,0,16.9,9.6,24.4,1018.2,8,7.3,176.3,15.3,7,,2023-01-12T07:36:03,2023-01-12T18:00:30,0.68,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-13,20.4,10,15.1,20.4,10,15.1,4.5,50.4,0,0,0,,0,0,22.7,10.6,20.4,1017.9,9.3,6.5,167.5,14.5,7,,2023-01-13T07:35:59,2023-01-13T18:01:20,0.72,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-14,21,10,15.7,21,10,15.7,4.7,49.7,0,0,0,,0,0,21.6,10.9,74.5,1017.3,18.2,7.4,163.8,14,7,,2023-01-14T07:35:54,2023-01-14T18:02:10,0.75,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-15,23,11.8,16.7,23,11.8,16.7,4.9,47.2,0,0,0,,0,0,20.9,9.7,14.7,1017.9,8.4,8,176.1,15.2,7,,2023-01-15T07:35:48,2023-01-15T18:03:00,0.75,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-16,21.4,10.2,15.6,21.4,10.2,15.6,4.1,47.4,0.1,100,4.17,rain,0,0,23.4,23.1,9.6,1016.2,13.4,8.3,166.8,14.5,7,,2023-01-16T07:35:40,2023-01-16T18:03:51,0.82,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-17,23,10.5,16.1,23,10.5,16.1,5.5,51.5,0,0,0,,0,0,29.2,18.4,8.3,1021.2,0.9,7.3,182.9,15.7,7,,2023-01-17T07:35:30,2023-01-17T18:04:42,0.85,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-18,24.6,11,17,24.6,11,17,5.8,51.2,0,0,0,,0,0,21.6,21.1,8.1,1022.1,0,7.1,186,16.1,7,,2023-01-18T07:35:18,2023-01-18T18:05:33,0.88,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-19,26.2,12.1,18,26.2,12.1,18,2.8,38.9,0,0,0,,0,0,21.6,14.8,15.9,1019.8,0,7.5,189.8,16.4,7,,2023-01-19T07:35:05,2023-01-19T18:06:24,0.92,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-20,25.6,12.6,17.8,25.6,12.6,17.8,2.7,37.6,0,0,0,,0,0,18,18.4,14,1015.2,0,8.9,186.7,16.1,7,,2023-01-20T07:34:50,2023-01-20T18:07:16,0.95,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-21,23.6,11.5,17.3,23.6,11.5,17.3,3.4,40.5,0,0,0,,0,0,32.4,22.3,13.6,1015.8,0.4,7.2,188.8,16.1,7,,2023-01-21T07:34:34,2023-01-21T18:08:07,0,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-22,22.6,13,17.3,22.6,13,17.3,7.2,52,0,0,0,,0,0,36,25.9,10.1,1016.3,0.3,6.6,185.5,15.9,7,,2023-01-22T07:34:16,2023-01-22T18:08:59,0.02,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-23,24.4,13.9,18.5,24.4,13.9,18.5,8.5,53.3,0,0,0,,0,0,33.8,22.8,10.7,1017,1.3,6.3,185.2,15.8,7,,2023-01-23T07:33:56,2023-01-23T18:09:51,0.05,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-24,25,14.3,18.9,25,14.3,18.9,8.8,53,0,0,0,,0,0,31.3,27.7,10.7,1016.6,0.8,6.1,187.3,16.1,7,,2023-01-24T07:33:35,2023-01-24T18:10:43,0.08,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-25,23.4,14.2,18.4,23.4,14.2,18.4,6.9,48.9,0,0,0,,0,0,35.3,26,8,1016.3,0.6,6.1,189.7,16.4,7,,2023-01-25T07:33:12,2023-01-25T18:11:34,0.12,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
 Aqaba,2023-01-26,23.7,12,17.4,23.7,12,17.4,5.3,47.3,0,0,0,,0,0,27.7,22.9,7.8,1016.8,2,6.7,195.8,16.8,7,,2023-01-26T07:32:48,2023-01-26T18:12:26,0.15,Clear,Clear conditions throughout the day.,clear-day,"40199099999,40340099999,OJAQ"
