name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Ashgabat,2023-01-01,11,-3.6,2.6,11,-3.7,2.1,-1.7,75.9,0,0,0,,0,0,19.4,18.4,325.2,1030.5,3.7,6.6,118.6,10.4,5,10,2023-01-01T08:22:26,2023-01-01T17:57:23,0.3,Clear,Clear conditions throughout the day.,clear-day,"38880099999,UTAA"
Ashgabat,2023-01-02,12.1,-1,5,12.1,-3.7,4.1,-2.4,61.1,0,0,0,,0,0,21.6,14.8,151,1031.8,17.2,9.9,118,10.3,5,10,2023-01-02T08:22:35,2023-01-02T17:58:11,0.34,Clear,Clear conditions throughout the day.,clear-day,"38880099999,UTAA"
Ashgabat,2023-01-03,18,1,8.8,18,-1.7,7.7,-7.2,35.4,0,0,0,,0,0,14,13.1,172,1028.9,34.2,10,115.9,10,5,10,2023-01-03T08:22:42,2023-01-03T17:59:00,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38880099999,UTAA"
Ashgabat,2023-01-04,22,4.8,11.7,22,3.1,11.2,-2.2,40.4,0,0,0,,0,0,18.4,14.8,142.3,1021.9,11.2,10,118.3,10.3,5,10,2023-01-04T08:22:47,2023-01-04T17:59:51,0.41,Clear,Clear conditions throughout the day.,clear-day,"38880099999,UTAA"
Ashgabat,2023-01-05,15,5,10.2,15,3.3,9.4,-5.7,34.4,0.7,100,16.67,rain,0,0,25.9,14.8,247.8,1014.1,68.5,10,110.2,9.6,5,10,2023-01-05T08:22:49,2023-01-05T18:00:43,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"38880099999,UTAA"
Ashgabat,2023-01-06,11,5,8,11,3.3,6.9,3.7,75,0.7,100,20.83,rain,0,0,32,18.4,98.3,1019.1,80.2,9.7,111.7,9.6,5,10,2023-01-06T08:22:50,2023-01-06T18:01:37,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"38880099999,UTAA"
Ashgabat,2023-01-07,20,3,10.7,20,0.9,10,-0.9,51.4,0,0,0,,0,0,16.9,22.3,224,1013,27.9,9.7,116.5,10.1,5,10,2023-01-07T08:22:49,2023-01-07T18:02:31,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38880099999,UTAA"
Ashgabat,2023-01-08,10.6,1,5.3,10.6,-2.4,2.8,2.2,82.8,1.1,100,29.17,"rain,snow",0,0,24.5,25.2,302.5,1020.5,85.9,7,61.7,5.3,2,10,2023-01-08T08:22:45,2023-01-08T18:03:27,0.54,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"38880099999,UTAA"
Ashgabat,2023-01-09,1,-3,-1.5,-2,-7.2,-4.9,-2.1,95.3,2.5,100,87.5,"rain,snow",1,0.5,21.6,14.8,337.6,1028.9,100,3.2,65.1,5.6,3,10,2023-01-09T08:22:40,2023-01-09T18:04:23,0.58,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"38880099999,UTAA"
Ashgabat,2023-01-10,-3,-5.8,-4.7,-4,-10.5,-7.7,-6.8,85.7,0.8,100,16.67,snow,0.7,3.5,20.2,11.2,41.4,1036.1,100,8.7,121.5,10.6,5,10,2023-01-10T08:22:32,2023-01-10T18:05:21,0.61,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"38880099999,UTAA"
Ashgabat,2023-01-11,-4,-10,-8.6,-4,-17.4,-14.5,-11.6,78.9,0,0,0,,0,3.7,22.7,18.4,88.7,1045,84.5,8.8,128.8,11.2,5,10,2023-01-11T08:22:22,2023-01-11T18:06:20,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38880099999,UTAA"
Ashgabat,2023-01-12,-8,-14,-11.1,-14.4,-21,-18.2,-14,79.6,0,0,0,,0,3.1,38.9,27.6,108.3,1047.3,63,9.1,135.9,11.9,6,10,2023-01-12T08:22:10,2023-01-12T18:07:19,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38880099999,UTAA"
Ashgabat,2023-01-13,-6.8,-17,-12.1,-13.7,-21.6,-17.5,-15.5,76.6,0,0,0,,0,2.2,42.8,25.5,104.2,1041.7,0,9.5,137.8,12,6,10,2023-01-13T08:21:56,2023-01-13T18:08:20,0.71,Clear,Clear conditions throughout the day.,clear-day,"38880099999,UTAA"
Ashgabat,2023-01-14,-7,-16,-11.8,-13,-24.7,-18.9,-15.6,73.3,0,0,0,,0,1.9,38.5,21.9,109.2,1037.5,5.2,9.9,138.1,12,6,10,2023-01-14T08:21:40,2023-01-14T18:09:21,0.75,Clear,Clear conditions throughout the day.,clear-day,"38880099999,UTAA"
Ashgabat,2023-01-15,-4,-14.9,-10.1,-9.3,-20.4,-15.4,-14,73.9,0,0,0,,0,1.9,36.7,21.6,97.6,1032,22.4,9.3,136.2,11.8,5,10,2023-01-15T08:21:22,2023-01-15T18:10:23,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"38880099999,UTAA"
Ashgabat,2023-01-16,-2.6,-12,-7.6,-6.1,-18,-11.8,-11.6,73.5,0,0,0,,0,2.3,21.6,11.2,66.5,1028.3,66.3,7.8,103.8,9.1,4,10,2023-01-16T08:21:02,2023-01-16T18:11:26,0.81,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"38880099999,UTAA"
Ashgabat,2023-01-17,1,-9,-4.4,0,-14.4,-7.9,-8.6,73.6,0,0,0,,0,2.5,19.8,13.1,101.4,1026.6,18.8,6.2,132.2,11.5,5,10,2023-01-17T08:20:40,2023-01-17T18:12:29,0.85,Clear,Clear conditions throughout the day.,clear-day,"38880099999,UTAA"
Ashgabat,2023-01-18,3.1,-6.2,-2.3,1,-9.6,-3.3,-6.6,73.8,0,0,0,,0,2.4,17.3,11.2,328.9,1026.4,14.9,4.8,134.3,11.6,5,10,2023-01-18T08:20:16,2023-01-18T18:13:33,0.88,Clear,Clear conditions throughout the day.,clear-day,"38880099999,UTAA"
Ashgabat,2023-01-19,6,-6,-0.4,6,-8.4,-1.3,-5.5,70.7,0,0,0,,0,1.9,18,7.6,159.1,1028.4,23.9,3.5,134.5,11.6,5,10,2023-01-19T08:19:50,2023-01-19T18:14:37,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38880099999,UTAA"
Ashgabat,2023-01-20,7.1,-3,0.8,7,-6.1,-0.3,-4.5,69.7,0,0,0,,0,1.7,18,11.2,106.5,1030.9,47.3,3.7,134.2,11.6,5,10,2023-01-20T08:19:22,2023-01-20T18:15:42,0.95,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"38880099999,UTAA"
Ashgabat,2023-01-21,6,-4.9,0.1,4.4,-7.5,-1,-5.7,68,0,0,0,,0,1.1,18.4,13.1,55.7,1032.1,0,5.8,139.5,12,6,10,2023-01-21T08:18:52,2023-01-21T18:16:48,0.98,Clear,Clear conditions throughout the day.,clear-day,"38880099999,UTAA"
Ashgabat,2023-01-22,4.1,-6.3,-0.9,2.1,-9.6,-3.3,-8.5,58.2,0,0,0,,0,0.8,21.6,11.6,301.5,1034.1,0.2,9.8,135.7,11.7,6,10,2023-01-22T08:18:20,2023-01-22T18:17:54,0,Clear,Clear conditions throughout the day.,clear-day,"38880099999,UTAA"
Ashgabat,2023-01-23,3,-7,-1.9,0,-8.4,-4.5,-8.6,61.9,0,0,0,,0,0.6,21.6,14.8,300.5,1033.8,7.5,9.7,136.7,11.9,6,10,2023-01-23T08:17:46,2023-01-23T18:19:00,0.05,Clear,Clear conditions throughout the day.,clear-day,"38880099999,UTAA"
Ashgabat,2023-01-24,2,-7,-2.9,-1.9,-13,-6.9,-9.8,61.1,0,0,0,,0,0.4,25.9,18.4,294.6,1033.9,1.2,10,141.4,12.2,6,10,2023-01-24T08:17:11,2023-01-24T18:20:07,0.08,Clear,Clear conditions throughout the day.,clear-day,"38880099999,UTAA"
Ashgabat,2023-01-25,6.1,-7.1,-1,4.6,-10.6,-3,-9.6,55.2,0,0,0,,0,0.4,20.2,14.8,114.5,1030.8,0,10,147,12.7,6,10,2023-01-25T08:16:33,2023-01-25T18:21:13,0.11,Clear,Clear conditions throughout the day.,clear-day,"38880099999,UTAA"
