name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Atyrau,1/1/2023,3.3,2,2.4,-1,-3.7,-2.3,1,90.6,0.4,100,4.17,rain,0,0,44.6,28.8,260.3,1023.3,94.6,6.7,30,2.5,2,,2023-01-01T09:18:39,2023-01-01T17:53:02,0.3,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/2/2023,9,1,5.4,5.1,-3.7,0.7,4.1,91.6,4.995,100,8.33,rain,0,0,57.6,39.6,250.3,1016.1,93.3,4.8,12.3,1.1,1,,2023-01-02T09:18:39,2023-01-02T17:53:59,0.34,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/3/2023,7,-1,2.1,2.5,-6.7,-2.1,-0.7,82,0,0,0,,0,0,50.4,32.4,279.6,1020.5,32.5,10.4,65.5,5.6,3,,2023-01-03T09:18:36,2023-01-03T17:54:58,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/4/2023,5,2,3.2,1.7,-4.9,-1.6,2.4,94.5,0,0,0,,0,0,51.1,43.2,232.2,1013.9,89.1,3.9,33.9,2.9,2,,2023-01-04T09:18:31,2023-01-04T17:56:00,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/5/2023,4,1,2.7,0.4,-3.1,-1.2,-0.9,77.8,0.2,100,8.33,rain,0,0,36.4,25.2,278.8,1014.7,89.7,10,32.6,2.8,2,,2023-01-05T09:18:22,2023-01-05T17:57:03,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/6/2023,4,-2,1.5,0.4,-7.4,-3.3,-0.3,88,0.598,100,4.17,rain,0,0,54,39.6,203.8,1011.2,90.2,8.5,31.1,2.5,2,,2023-01-06T09:18:11,2023-01-06T17:58:08,0.48,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/7/2023,5,-16,-2.8,1.2,-28.4,-10,-4.8,86.3,0.598,100,8.33,"rain,snow",0,0.1,61.6,52.6,280.4,1006.9,74.3,5.6,20.5,1.8,1,,2023-01-07T09:17:57,2023-01-07T17:59:16,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/8/2023,-16,-20,-18.2,-19,-31.6,-27.7,-22,72.5,0,0,0,,0,0.1,48.6,36,317.6,1025.8,37.5,12.4,68.4,6,3,,2023-01-08T09:17:40,2023-01-08T18:00:25,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/9/2023,-14.5,-21.8,-18.3,-22.3,-32.9,-26.5,-22.1,72.5,0,0,0,,0,0,31.7,25.2,329.9,1034,42.4,12.4,67.4,5.8,3,,2023-01-09T09:17:20,2023-01-09T18:01:35,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/10/2023,-17.5,-26,-22.2,-23.2,-36.2,-31.4,-26.6,68.1,0,0,0,,0,0,29.2,21.2,11.3,1045.8,0,12.7,75.1,6.4,3,,2023-01-10T09:16:58,2023-01-10T18:02:48,0.61,Clear,Clear conditions throughout the day.,clear-day,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/11/2023,-13.6,-24,-19.4,-17,-34.9,-27.4,-25,61.7,0,0,0,,0,0.9,25.2,21.6,74.5,1053.8,0,12.7,75.8,6.6,3,,2023-01-11T09:16:33,2023-01-11T18:04:02,0.65,Clear,Clear conditions throughout the day.,clear-day,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/12/2023,-9,-16.7,-13.2,-18.3,-27.1,-22.7,-20.2,56.4,0,0,0,,0,1,57.6,39.6,128.1,1051.4,6.6,10.9,77.1,6.7,4,,2023-01-12T09:16:05,2023-01-12T18:05:18,0.68,Clear,Clear conditions throughout the day.,clear-day,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/13/2023,-6.7,-14.3,-10.5,-15.9,-25.1,-20.5,-18.9,50.8,0,0,0,,0,1.2,57.6,39.6,129.6,1045.3,14.6,8.9,76.6,6.7,4,,2023-01-13T09:15:35,2023-01-13T18:06:35,0.71,Clear,Clear conditions throughout the day.,clear-day,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/14/2023,-3,-11.5,-8.2,-11,-21.6,-17.5,-18.1,46,0,0,0,,0,0.8,57.6,39.6,125.4,1042.9,1.9,10.8,77.4,6.7,4,,2023-01-14T09:15:02,2023-01-14T18:07:53,0.75,Clear,Clear conditions throughout the day.,clear-day,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/15/2023,-2,-10.8,-6.5,-9.7,-19.8,-15.1,-16.5,46.4,0,0,0,,0,0.5,50.4,39.6,118.2,1039.4,21,11,77.4,6.7,4,,2023-01-15T09:14:26,2023-01-15T18:09:13,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/16/2023,-2,-10.5,-6.2,-8.5,-19.3,-14,-15.8,47.9,0,0,0,,0,0.4,43.2,32.4,120.1,1033.9,54.4,12.7,78.4,6.9,4,,2023-01-16T09:13:48,2023-01-16T18:10:34,0.81,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/17/2023,0,-8,-4.8,-5.5,-16.2,-11.7,-14.4,47.8,0,0,0,,0,0.4,39.6,28.8,119.5,1032.3,41.4,12.7,78.9,6.8,4,,2023-01-17T09:13:07,2023-01-17T18:11:56,0.85,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"38141199999,35705099999,35701099999,UATG,35700099999"
Atyrau,1/18/2023,0,-10,-5.5,-5.1,-18.1,-12.1,-13.8,53.4,0,0,0,,0,0.6,37.1,25.2,105.4,1033.7,1.8,12.7,80.2,7,4,,2023-01-18T09:12:24,2023-01-18T18:13:20,0.88,Clear,Clear conditions throughout the day.,clear-day,"38141199999,35705099999,35701099999,UATG,35700099999"
