name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bakou,2023-01-01,12,3,7.1,12,0.9,6,3.7,80.2,0,0,0,,0,0,23.4,25.9,330.9,1031.6,23.9,9.5,97.6,8.4,4,10,2023-01-01T08:03:42,2023-01-01T17:24:17,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
Bakou,2023-01-02,15.2,4.9,8.7,15.2,1.3,7.2,3.4,71.2,0,0,0,,0,0,34.2,18.4,170,1029.5,29.9,10.2,99.5,8.5,4,10,2023-01-02T08:03:49,2023-01-02T17:25:08,0.34,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"37864099999,UBBB,remote"
Bakou,2023-01-03,14.3,4,9,14.3,3.6,8.1,4,72,0,0,0,,0,0,34.6,18.4,91.8,1028.6,10.4,10,97.3,8.4,4,10,2023-01-03T08:03:54,2023-01-03T17:25:59,0.38,Clear,Clear conditions throughout the day.,clear-day,"37864099999,UBBB"
Bakou,2023-01-04,14,6.9,9.7,14,3.3,7.6,5.1,74.7,0,0,0,,0,0,48.2,25.9,190.7,1018.7,16.1,10,101.5,8.7,4,10,2023-01-04T08:03:56,2023-01-04T17:26:53,0.41,Clear,Clear conditions throughout the day.,clear-day,"37864099999,UBBB"
Bakou,2023-01-05,9,6,8,6.8,3.5,4.7,5.5,84.1,0,0,0,,0,0,59.4,37.1,320.4,1019.9,87.1,10,62.4,5.4,3,10,2023-01-05T08:03:56,2023-01-05T17:27:47,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
Bakou,2023-01-06,10.5,5,7.7,10.5,0.8,4.8,5.1,83.9,0,0,0,,0,0,68.4,46.4,176.8,1012.9,44,9.9,101.9,8.8,4,10,2023-01-06T08:03:54,2023-01-06T17:28:43,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
Bakou,2023-01-07,11,4,7,11,-0.5,4.3,2.7,74.9,0,0,0,rain,0,0,64.1,43.2,327.8,1014.2,65.8,9.8,81.1,6.9,4,10,2023-01-07T08:03:50,2023-01-07T17:29:41,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
Bakou,2023-01-08,4,0.7,1.6,-1.8,-5.8,-4.4,-3.9,66.7,0.1,100,4.17,"rain,snow",1.4,0.2,64.1,40.7,343.3,1026.7,96.5,10,30.4,2.6,1,10,2023-01-08T08:03:43,2023-01-08T17:30:39,0.55,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"37864099999,UBBB"
Bakou,2023-01-09,2,0,0.9,-2.5,-5.5,-4.1,-3.1,75,99.4,100,8.33,"rain,snow",2.8,0.6,52.6,29.5,340.1,1033.1,97.3,9.3,55.5,4.8,3,10,2023-01-09T08:03:34,2023-01-09T17:31:39,0.58,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"37864099999,UBBB"
Bakou,2023-01-10,2.1,-1,0.8,-1.2,-6.8,-3,-2.4,79.5,104.2,100,8.33,"rain,snow",1.5,0.6,40.3,22.3,16.6,1038,99.1,8.6,58.9,5,3,10,2023-01-10T08:03:23,2023-01-10T17:32:40,0.61,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"37864099999,UBBB"
Bakou,2023-01-11,1.3,-1,0.3,-2.5,-6.2,-4.2,-4.4,71,0,0,0,"rain,snow",2.1,0.5,44.6,25.9,84.1,1043,82.5,9.5,42.8,3.7,2,10,2023-01-11T08:03:10,2023-01-11T17:33:43,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
Bakou,2023-01-12,5,1,2.9,0.1,-4.3,-1.6,-2.1,70.1,99,100,4.17,"rain,snow",0,0.2,45.7,37.1,112.1,1039.9,79.4,10,85.8,7.3,4,10,2023-01-12T08:02:54,2023-01-12T17:34:46,0.68,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"37864099999,UBBB"
Bakou,2023-01-13,5,1.9,3.6,0.4,-2.8,-0.8,-1.2,70.9,0,0,0,,0,0.2,37.1,33.5,113.4,1034.2,79.5,9.9,56.1,4.8,2,10,2023-01-13T08:02:37,2023-01-13T17:35:50,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
Bakou,2023-01-14,5.1,2.5,4.2,2.8,-1.7,0,0.7,78.4,0,0,0,rain,0,0.3,43.6,29.5,115.2,1029.7,91.5,9,55.3,4.9,3,10,2023-01-14T08:02:17,2023-01-14T17:36:55,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"37864099999,UBBB"
Bakou,2023-01-15,6,4,5,5,0.1,2.1,3.4,90.1,1,100,4.17,rain,0,0,42.8,29.5,137.3,1026.6,100,7.2,49.5,4.2,2,10,2023-01-15T08:01:55,2023-01-15T17:38:02,0.75,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"37864099999,UBBB"
Bakou,2023-01-16,8.1,5,6.2,7,1.3,4,3.2,81.9,0,0,0,rain,0,0,28.1,22.3,152.2,1024.7,89.5,8.6,92.7,8.2,4,10,2023-01-16T08:01:30,2023-01-16T17:39:08,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
Bakou,2023-01-17,10,5,7.8,10,3.3,6.6,4.6,80.6,0,0,0,rain,0,0,26.3,18.4,144.2,1025.1,82.9,9.9,60.1,5.1,3,10,2023-01-17T08:01:04,2023-01-17T17:40:16,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
Bakou,2023-01-18,9,0,6.3,8,0,5.4,3.8,85.1,0,0,0,,0,0,22.7,14.8,128.3,1025.8,81.1,6.5,79,6.9,3,10,2023-01-18T08:00:35,2023-01-18T17:41:25,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
Bakou,2023-01-19,9.1,5.5,7.5,8.6,4.4,6.6,4.9,83.5,0,0,0,,0,0,15.8,11.2,322,1028.9,89.4,9.4,83.3,7.2,4,10,2023-01-19T08:00:05,2023-01-19T17:42:34,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
Bakou,2023-01-20,11.2,5.6,8.1,11.2,4.4,7.6,5.2,82.9,0,0,0,,0,0,28.4,14.8,145.1,1030.3,79.2,8.2,83.3,7.3,4,10,2023-01-20T07:59:32,2023-01-20T17:43:44,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
Bakou,2023-01-21,9.2,5,7.8,8.9,3.3,6.3,4.6,80.3,0,0,0,rain,0,0,30.6,25.9,99.4,1032.1,76.1,10,51.3,4.5,2,10,2023-01-21T07:58:57,2023-01-21T17:44:54,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
Bakou,2023-01-22,8.3,1,4.5,7.3,-1.4,3.1,-0.5,70.7,0,0,0,,0,0,26.6,14.8,94.5,1035.1,13.8,10,113,9.8,5,10,2023-01-22T07:58:20,2023-01-22T17:46:05,0,Clear,Clear conditions throughout the day.,clear-day,"37864099999,UBBB"
Bakou,2023-01-23,6,-2,2.8,5.8,-4.9,1.1,-1.2,75.9,0,0,0,,0,0,22.7,14.8,12,1035.5,54,10,107.4,9.2,4,10,2023-01-23T07:57:41,2023-01-23T17:47:16,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
Bakou,2023-01-24,6,-1,2.9,5.3,-2.6,0.7,-2.1,70.5,0,0,0,,0,0,33.5,14.8,3.4,1036.1,69.8,10,90.9,7.8,4,10,2023-01-24T07:57:00,2023-01-24T17:48:28,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB"
Bakou,2023-01-25,7,-3,1.8,7,-3,1.4,-2,76.8,0,0,0,,0,0,12.2,18.4,55.3,1031.6,28.7,10.5,116.8,10.2,4,10,2023-01-25T07:56:18,2023-01-25T17:49:40,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37864099999,UBBB,remote"
Bakou,2023-01-26,6.3,-3,2.3,6,-3,1.7,-1.2,78.7,0,0,0,,0,0,16.9,11.2,24.8,1029.5,37.4,8.7,114,9.9,5,10,2023-01-26T07:55:33,2023-01-26T17:50:52,0.15,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"37864099999,UBBB"
