name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bandar Seri Begawan,2023-01-01,31,24,27.2,39,24,30.5,24.8,87.2,0.89,100,8.33,rain,0,0,22,14.7,294.7,1011,79.3,10.4,236.6,20.6,9,30,2023-01-01T06:28:17,2023-01-01T18:18:53,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"WBSB,WBKL,96315099999,96465099999"
Bandar Seri Begawan,2023-01-02,30.9,24.8,27.2,39,24.8,30.6,26.2,94.3,9.896,100,8.33,rain,0,0,23.8,14.7,247.2,1010.5,89.4,9,187,16.2,8,60,2023-01-02T06:28:43,2023-01-02T18:19:23,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WBSB,WBKL,96315099999,96465099999"
Bandar Seri Begawan,2023-01-03,27,23.8,25.3,30.6,23.8,26.2,24.6,96.3,27.965,100,16.67,rain,0,0,25.9,12.9,270.9,1010.5,88.5,8.7,141.5,12.2,6,10,2023-01-03T06:29:09,2023-01-03T18:19:53,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WBSB,WBKL,96315099999,96465099999"
Bandar Seri Begawan,2023-01-04,29,23.9,26,35.3,23.9,28,24.8,93.9,15.945,100,8.33,rain,0,0,29.5,18.3,205.2,1008.7,88.4,9.6,201.6,17.4,8,30,2023-01-04T06:29:34,2023-01-04T18:20:23,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"WBSB,WBKL,96315099999,96465099999"
Bandar Seri Begawan,2023-01-05,31,23,27,40.5,23,30.8,25.2,90.5,3.163,100,8.33,rain,0,0,22.7,11.1,303.9,1008.5,88.5,10.3,217.5,18.6,8,30,2023-01-05T06:29:59,2023-01-05T18:20:52,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"WBSB,WBKL,96315099999,96465099999"
Bandar Seri Begawan,2023-01-06,30,25.8,27.7,38.9,25.8,32.6,26.7,94.2,0,0,0,rain,0,0,26.6,12.9,345.1,1009.3,88.4,9.9,200.7,17.1,8,60,2023-01-06T06:30:23,2023-01-06T18:21:21,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"WBSB,WBKL,96315099999,96465099999"
Bandar Seri Begawan,2023-01-07,29,25,26.8,36.7,25,29.8,26.1,96.3,22.784,100,12.5,rain,0,0,19.4,9.3,6.5,1009.7,88.5,9.8,125.7,10.8,5,60,2023-01-07T06:30:47,2023-01-07T18:21:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WBSB,WBKL,96315099999,96465099999"
Bandar Seri Begawan,2023-01-08,30,22.9,26.3,37.4,22.9,28.2,25.1,93.6,16.838,100,8.33,rain,0,0,23,12.9,26.5,1011.3,88.4,9.6,202.1,17.4,8,30,2023-01-08T06:31:10,2023-01-08T18:22:19,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"WBSB,WBKL,96315099999,96465099999"
Bandar Seri Begawan,2023-01-09,30,23,25.7,36.1,23,27.5,24.4,92.7,10.881,100,12.5,rain,0,0,21.2,14.6,167.7,1012.4,88.5,10,218.7,18.9,8,10,2023-01-09T06:31:32,2023-01-09T18:22:48,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WBSB,WBKL,96315099999,96465099999"
Bandar Seri Begawan,2023-01-10,31,24.9,27.4,39,24.9,31.2,25.7,91.2,0,0,0,,0,0,25.2,14.7,217.7,1011.7,88.5,10.3,203.2,17.4,9,30,2023-01-10T06:31:54,2023-01-10T18:23:16,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"WBSB,WBKL,96315099999,96465099999"
