name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bangalore,1/1/2023,28.9,15.9,22,28.5,15.9,21.9,14.2,65.2,0,0,0,,0,0,26.3,14.7,68.4,1020.1,18,6.7,242,20.7,9,10,2023-01-01T06:41:46,2023-01-01T18:04:20,0.3,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bangalore,1/2/2023,27.1,16,21.1,26.8,16,21.1,13.9,67.8,0,0,0,,0,0,33.5,16.4,90.8,1020,18.7,6,248.1,21.5,9,10,2023-01-02T06:42:09,2023-01-02T18:04:54,0.34,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bangalore,1/3/2023,25.9,16,20.7,25.9,16,20.7,15.3,74,0,0,0,,0,0,32.4,14.8,95.4,1020.2,38.6,5.7,237,20.7,9,10,2023-01-03T06:42:31,2023-01-03T18:05:27,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bangalore,1/4/2023,25.9,17,20.7,25.9,17,20.7,15.6,75.1,0,0,0,rain,0,0,33.1,18,99.6,1019,47.9,5.2,245.9,21.2,9,10,2023-01-04T06:42:53,2023-01-04T18:06:01,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bangalore,1/5/2023,24,16,20.1,24,16,20.1,15.9,78.3,0,0,0,,0,0,37.4,22.2,89.8,1019.6,53.8,5.1,198.6,17,8,10,2023-01-05T06:43:13,2023-01-05T18:06:35,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bangalore,1/6/2023,25.9,15,20.4,25.9,15,20.4,15.8,77.5,0,0,0,,0,0,38.9,24.1,83,1020.9,52.8,5.3,232.2,19.9,9,10,2023-01-06T06:43:32,2023-01-06T18:07:09,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bangalore,1/7/2023,25,16,20.5,25,16,20.5,15.9,76.8,0,0,0,,0,0,40.7,18.1,77,1020.3,60.8,5,172.5,15.1,8,10,2023-01-07T06:43:51,2023-01-07T18:07:43,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bangalore,1/8/2023,26,16.9,20.8,26,16.9,20.8,15.3,73.6,0,0,0,,0,0,29.9,11.4,60.9,1019.1,54.1,4.8,232.2,19.9,8,10,2023-01-08T06:44:09,2023-01-08T18:08:17,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bangalore,1/9/2023,26.9,13.5,19.7,26.6,13.5,19.6,10.2,60.7,0,0,0,,0,0,28.4,12.8,85.5,1019.7,29.9,5.1,257.1,22.2,9,10,2023-01-09T06:44:25,2023-01-09T18:08:51,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bangalore,1/10/2023,27,12.5,19.4,26.6,12.5,19.4,11.4,65.2,0,0,0,,0,0,34.9,16.4,81.8,1019.5,21.7,5.5,261.4,22.6,9,10,2023-01-10T06:44:41,2023-01-10T18:09:25,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bangalore,1/11/2023,28,12,20.1,26.9,12,19.9,9.3,57.9,0,0,0,,0,0,28.8,14.8,96,1017.9,6.7,6.3,263.3,22.8,9,10,2023-01-11T06:44:56,2023-01-11T18:09:59,0.64,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bangalore,1/12/2023,28.9,13.5,21.1,27.3,13.5,20.8,8.5,53,0,0,0,,0,0,29.2,12.7,88.9,1016.8,8.8,6.2,262.4,22.8,9,10,2023-01-12T06:45:10,2023-01-12T18:10:33,0.68,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
