name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Banlung,2023-01-01,26.5,20.5,23.1,26.5,20.5,23.1,16.4,67.4,2,100,16.67,rain,0,0,28.4,6.8,75.3,1015.8,97.7,24.1,91.6,7.9,4,10,2023-01-01T06:15:31,2023-01-01T17:35:18,0.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Banlung,2023-01-02,29.7,18.9,23.5,31.2,18.9,23.7,19.2,78.7,0.6,100,16.67,rain,0,0,21.2,7.9,9.7,1015.5,73.3,24,127.5,10.9,5,10,2023-01-02T06:15:54,2023-01-02T17:35:52,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,remote
Banlung,2023-01-03,33.3,20.6,26.3,34.1,20.6,26.7,18.5,65.2,0,0,0,,0,0,31.3,13,68,1014.9,62.4,24.1,179.2,15.4,7,10,2023-01-03T06:16:16,2023-01-03T17:36:26,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Banlung,2023-01-04,32.2,21.1,26.1,32.6,21.1,26.5,18,62.8,0,0,0,,0,0,26.3,12.2,56.3,1014.1,97.1,24.1,156.5,13.5,7,10,2023-01-04T06:16:37,2023-01-04T17:37:01,0.41,Overcast,Cloudy skies throughout the day.,cloudy,remote
Banlung,2023-01-05,29.7,21.2,25.5,30.5,21.2,25.8,18,64.1,0.4,100,12.5,rain,0,0,31.7,13.7,64.9,1014.2,100,24.1,100.4,8.6,4,10,2023-01-05T06:16:57,2023-01-05T17:37:35,0.44,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Banlung,2023-01-06,27.8,21.5,24.3,28.3,21.5,24.4,18.6,71.1,2.6,100,45.83,rain,0,0,43.9,16.2,58.4,1014.1,98,24.1,120.2,10.6,6,10,2023-01-06T06:17:16,2023-01-06T17:38:10,0.47,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Banlung,2023-01-07,26.9,21.1,23.2,27.3,21.1,23.2,18.4,75.8,8.3,100,41.67,rain,0,0,24.5,5.8,26.7,1013.6,99.9,24.1,100.8,8.7,5,10,2023-01-07T06:17:34,2023-01-07T17:38:44,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Banlung,2023-01-08,26.4,20,23.2,26.4,20,23.2,20.9,87.3,10.3,100,91.67,rain,0,0,21.6,7.2,37.6,1012.8,99.9,24.1,88.4,7.6,4,10,2023-01-08T06:17:51,2023-01-08T17:39:19,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Banlung,2023-01-09,30,21.8,25,33,21.8,25.6,22.3,86,3.8,100,41.67,rain,0,0,34.6,9.7,77.6,1013.5,90.4,23,124.5,10.7,5,30,2023-01-09T06:18:07,2023-01-09T17:39:53,0.58,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Banlung,2023-01-10,30.1,23.2,25.4,32.9,23.2,26.1,21.7,81.1,1.1,100,25,rain,0,0,38.9,9.4,82.4,1012.9,90.1,24.1,128.9,11.1,6,10,2023-01-10T06:18:23,2023-01-10T17:40:28,0.61,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Banlung,2023-01-11,32,22.4,26.4,34.8,22.4,27.6,21.1,73.9,0.2,100,8.33,rain,0,0,28.8,8.3,114.1,1011.7,79,22.6,178.2,15.5,7,10,2023-01-11T06:18:37,2023-01-11T17:41:02,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,remote
Banlung,2023-01-12,30.4,23.8,26.3,33.4,23.8,27.2,21.5,75.4,2,100,54.17,rain,0,0,24.5,7.9,194.3,1011.6,69,17.9,167.4,14.5,7,60,2023-01-12T06:18:50,2023-01-12T17:41:36,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Banlung,2023-01-13,28,23,24.9,32,23,25.5,23.6,92.5,12,100,58.33,rain,0,0,25.2,8.6,263.1,1011.9,76.8,20.8,95.2,8.1,5,30,2023-01-13T06:19:02,2023-01-13T17:42:11,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Banlung,2023-01-14,32.8,21.4,25.9,33.6,21.4,26.3,20.3,75,0,0,0,,0,0,26.3,9.7,313.8,1009.9,35.7,24.1,228.6,19.8,9,10,2023-01-14T06:19:13,2023-01-14T17:42:45,0.74,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Banlung,2023-01-15,34,20.2,26.6,33.9,20.2,26.8,18.1,62.4,0,0,0,,0,0,20.2,12.2,38,1009.3,6.2,24.1,249.8,21.5,9,10,2023-01-15T06:19:23,2023-01-15T17:43:18,0.75,Clear,Clear conditions throughout the day.,clear-day,remote
Banlung,2023-01-16,33.4,22.4,27,34.6,22.4,27.5,17.9,58.8,0,0,0,,0,0,28.1,15.1,91.7,1012.1,27.3,24.1,202.2,17.4,8,10,2023-01-16T06:19:32,2023-01-16T17:43:52,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Banlung,2023-01-17,31.5,20.3,25.5,32,20.3,25.9,17.8,63.9,0,0,0,,0,0,37.4,14.8,86.1,1014,85.6,24.1,174.7,15.1,7,10,2023-01-17T06:19:40,2023-01-17T17:44:25,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Banlung,2023-01-18,30.8,19.7,24.8,31.9,19.7,25,17.2,64.2,0,0,0,,0,0,33.1,14.8,86.8,1015.6,94,24.1,170.9,14.8,8,10,2023-01-18T06:19:47,2023-01-18T17:44:58,0.88,Overcast,Cloudy skies throughout the day.,cloudy,remote
Banlung,2023-01-19,32.1,19.8,25.1,32.3,19.8,25.3,16.7,61.4,0,0,0,,0,0,29.2,13.3,93.8,1014.8,81,24.1,201.1,17.5,8,10,2023-01-19T06:19:53,2023-01-19T17:45:30,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Banlung,2023-01-20,32.8,19.3,25.3,33.5,19.3,25.6,16.5,60,0,0,0,,0,0,25.2,13,86.4,1014,71.9,24.1,234.6,20.2,8,10,2023-01-20T06:19:57,2023-01-20T17:46:03,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Banlung,2023-01-21,32.6,20.1,25.7,34,20.1,26.3,18.1,64.5,0,0,0,,0,0,27.4,13.7,99.2,1012.5,74.4,24.1,192.9,16.7,8,10,2023-01-21T06:20:00,2023-01-21T17:46:35,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Banlung,2023-01-22,34.4,21.2,27,36,21.2,27.7,18.9,63.4,0,0,0,,0,0,26.6,13.3,101.2,1011.2,79.7,24.1,206.9,18,8,10,2023-01-22T06:20:03,2023-01-22T17:47:06,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Banlung,2023-01-23,35.2,23.1,28.2,36.7,23.1,29,19.6,62,0,0,0,,0,0,28.8,14.4,102.8,1010.3,42.3,24.1,202.2,17.6,8,10,2023-01-23T06:20:04,2023-01-23T17:47:37,0.04,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
Banlung,2023-01-24,33.9,22.3,27,35.2,22.3,27.5,18.3,60.5,0.3,100,8.33,rain,0,0,51.8,19.1,72.5,1012.5,42.6,24.1,180,15.6,8,10,2023-01-24T06:20:04,2023-01-24T17:48:08,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,remote
Banlung,2023-01-25,30.8,19,24.4,30.2,19,24.2,14.4,55.4,0,0,0,,0,0,35.6,16.2,77.8,1013.3,43.9,24.1,242.4,20.9,9,10,2023-01-25T06:20:03,2023-01-25T17:48:38,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Banlung,2023-01-26,33.7,18.3,25.3,34,18.3,25.5,15.8,57.8,0,0,0,,0,0,26.6,11.2,102.6,1011.9,30.8,24.1,219.7,19.1,9,10,2023-01-26T06:20:01,2023-01-26T17:49:08,0.15,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
Banlung,2023-01-27,32.8,21.1,26.3,33.3,21.1,26.5,17,59,0,0,0,,0,0,38.2,16.6,74,1012,63.9,24.1,190.1,16.6,8,10,2023-01-27T06:19:57,2023-01-27T17:49:37,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Banlung,2023-01-28,31.5,20.4,25.1,30.6,20.4,24.9,14.6,54.4,0,0,0,,0,0,43.2,18,72.2,1012.8,33,24.1,208.2,17.8,8,10,2023-01-28T06:19:53,2023-01-28T17:50:06,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
