name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bayanbulag,1/1/2023,-13.8,-29,-22.7,-13.8,-34.2,-24.3,-26.1,74.1,0,0,0,,0,2.5,14.4,6.5,353.2,1046.7,17.7,50,76.2,6.7,4,,2023-01-01T09:12:18,2023-01-01T17:49:22,0.3,Clear,Clear conditions throughout the day.,clear-day,"44275099999,remote"
Bayanbulag,1/2/2023,-15.3,-30.9,-22.4,-16.6,-34,-25.1,-25.4,76.7,0,0,0,,0,2.5,15.1,7.6,318.9,1043.3,66.2,50,68.9,6,3,,2023-01-02T09:12:19,2023-01-02T17:50:19,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"44275099999,remote"
Bayanbulag,1/3/2023,-14.1,-26.6,-21.9,-17,-33.6,-26.1,-26.3,68.2,0,0,0,,0,2.5,22.7,14.4,341.3,1038.4,52.7,50,79.5,6.8,4,,2023-01-03T09:12:17,2023-01-03T17:51:17,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44275099999,remote"
Bayanbulag,1/4/2023,-13.7,-25.6,-19.2,-14.6,-31.5,-21.7,-23.6,68.2,0,0,0,,0,2.5,16.9,14.4,349.7,1032.5,74.2,50,75.7,6.4,4,,2023-01-04T09:12:12,2023-01-04T17:52:18,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44275099999,remote"
Bayanbulag,1/5/2023,-13.3,-20.1,-17.4,-18.7,-28.1,-24.5,-23.2,61.4,0,0,0,,0,2.4,47.2,39.6,279.2,1031.6,50.5,50,76.7,6.7,4,,2023-01-05T09:12:05,2023-01-05T17:53:20,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44275099999,remote"
Bayanbulag,1/6/2023,-7,-19.8,-14.2,-7.6,-27.7,-19.2,-20.8,57.7,0,0,0,,0,2.5,32,14.4,292.6,1025.9,36.4,50,75.3,6.5,3,,2023-01-06T09:11:54,2023-01-06T17:54:25,0.47,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"44275099999,remote"
Bayanbulag,1/7/2023,-1.4,-19.6,-11.1,-5.4,-25.3,-16.3,-16.5,65.1,0,0,0,,0,2.5,33.5,25.2,300.2,1020.8,52.9,50,79.3,6.8,4,,2023-01-07T09:11:41,2023-01-07T17:55:31,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44275099999,remote"
Bayanbulag,1/8/2023,-7.6,-22.3,-16.6,-8.4,-28.5,-20.4,-20,75.7,0,0,0,,0,2.5,19.8,10.8,330.9,1030,18.5,50,76.8,6.6,4,,2023-01-08T09:11:26,2023-01-08T17:56:40,0.54,Clear,Clear conditions throughout the day.,clear-day,"44275099999,remote"
Bayanbulag,1/9/2023,-7.8,-22.8,-15.4,-7.8,-29.1,-17.1,-19,74,0,0,0,,0,2.5,15.5,10.8,2.1,1032.3,45.7,50,79.2,6.9,4,,2023-01-09T09:11:07,2023-01-09T17:57:49,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44275099999,remote"
Bayanbulag,1/10/2023,-3.8,-17.9,-10.7,-8.1,-23.4,-12.8,-15.4,68.3,0,0,0,,0,2.6,21.2,14.4,307.7,1023,42.1,50,82.9,7.1,4,,2023-01-10T09:10:46,2023-01-10T17:59:01,0.61,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"44275099999,remote"
