name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Beijing,2023-01-01,5,-12,-4,5,-16.4,-6.1,-14.1,48.6,0,0,0,,0,0,21.6,14.4,4.2,1035.8,26.7,11.3,103.3,8.7,4,10,2023-01-01T07:36:06,2023-01-01T16:59:36,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2023-01-02,3,-9,-2.7,3,-12.9,-6.2,-16.8,34.1,0,0,0,,0,0,25.2,18,24.4,1037.2,9.9,12.6,105.9,9.2,5,10,2023-01-02T07:36:13,2023-01-02T17:00:25,0.33,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2023-01-03,2.5,-10,-4.9,2,-15.5,-6.9,-16.4,43,0,0,0,,0,0,18,14.4,349.4,1032.3,6.6,11.9,103.4,8.9,4,10,2023-01-03T07:36:19,2023-01-03T17:01:16,0.37,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2023-01-04,5,-11,-4.3,5,-14.1,-5.1,-13.4,52.8,0,0,0,,0,0,14.8,10.8,154.3,1030.7,0.3,10.4,106,9.2,5,10,2023-01-04T07:36:22,2023-01-04T17:02:09,0.4,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2023-01-05,5,-12,-4.6,5,-16.4,-5.6,-10.9,64.7,0,0,0,,0,0,18.7,10.8,359.9,1028.9,5.7,8.4,106.6,9.3,5,10,2023-01-05T07:36:23,2023-01-05T17:03:03,0.44,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2023-01-06,9,-7,-0.2,5.7,-11.7,-2.6,-12,47.6,0,0,0,,0,0,57.6,39.6,320,1021.5,4.2,8.4,108.3,9.4,5,10,2023-01-06T07:36:22,2023-01-06T17:03:58,0.47,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2023-01-07,8,-10,-2.2,8,-11.8,-3.4,-13,47,0,0,0,,0,0,43.2,10.8,21.2,1021,40.8,10.7,89.9,7.7,4,10,2023-01-07T07:36:19,2023-01-07T17:04:54,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2023-01-08,11.5,-7,2.3,11.5,-10.6,0.6,-11.9,38.9,0,0,0,,0,0,25.2,18,22.4,1022.2,13.3,11.2,109.3,9.4,5,10,2023-01-08T07:36:13,2023-01-08T17:05:52,0.54,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2023-01-09,9,-3,3.3,9,-3.6,2,-14.8,26.6,0,0,0,,0,0,28.8,18,150.3,1032.6,6.9,11.7,109.5,9.4,5,10,2023-01-09T07:36:05,2023-01-09T17:06:51,0.57,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2023-01-10,6,-7,-1.4,4.6,-7.7,-2.2,-10.4,53.4,0,0,0,,0,0,25.2,10.8,132.8,1029,0,11.3,109.5,9.4,5,10,2023-01-10T07:35:55,2023-01-10T17:07:51,0.61,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2023-01-11,3,-8,-1.8,3,-8,-2.3,-9.5,58.6,0,0,0,,0,0,25.2,7.2,45.4,1021.9,69.9,9.7,92.7,8,5,10,2023-01-11T07:35:43,2023-01-11T17:08:53,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2023-01-12,3.3,1,1.7,3.3,-3.1,-0.4,-5.8,60.5,0.6,100,8.33,"rain,snow",0.4,0.1,14.8,14.4,341.2,1016.2,58.2,7.5,22,1.8,1,10,2023-01-12T07:35:29,2023-01-12T17:09:55,0.67,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow,"ZBAA,54511099999"
Beijing,2023-01-13,6.3,-1.8,2.2,4.4,-8,-1.3,-3.3,70.2,0,0,0,,0,0,50.4,25.2,353.2,1019.6,78,7,33.7,3,2,10,2023-01-13T07:35:12,2023-01-13T17:10:58,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2023-01-14,-2,-7,-4.5,-6.7,-14.1,-11.1,-20.7,27.7,0,0,0,,0,0,57.6,28.8,331.1,1034.8,61.7,13.2,107.1,9.4,5,10,2023-01-14T07:34:54,2023-01-14T17:12:02,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2023-01-15,-1,-14,-6.7,-6.4,-18.8,-11.2,-21,33.1,0,0,0,,0,0,43.2,28.8,305.4,1032.1,2.2,13.2,122.3,10.4,5,10,2023-01-15T07:34:33,2023-01-15T17:13:07,0.75,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
