name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Birjand,2023-01-01,12,-6.2,3,12,-11,0.9,-10.9,42.7,0,0,0,,0,2.8,24.5,18.4,17.3,1026.6,12.3,10.8,158.8,13.8,6,10,2023-01-01T06:35:54,2023-01-01T16:37:20,0.31,Clear,Clear conditions throughout the day.,clear-day,"40809099999,OIMB"
Birjand,2023-01-02,11,-7.2,1.7,11,-12.2,-0.9,-11.3,42.6,0,0,0,,0,2.5,24.5,18,69.7,1028.7,16.2,11,160.7,13.9,6,10,2023-01-02T06:36:06,2023-01-02T16:38:04,0.34,Clear,Clear conditions throughout the day.,clear-day,"40809099999,OIMB"
Birjand,2023-01-03,15,-8.1,2.1,15,-14.2,-0.7,-16,34.4,0,0,0,,0,2.2,17.6,18.1,112.9,1030.5,2.5,10.5,160.2,13.9,6,10,2023-01-03T06:36:17,2023-01-03T16:38:50,0.38,Clear,Clear conditions throughout the day.,clear-day,"40809099999,OIMB"
Birjand,2023-01-04,15.8,-5.8,4.1,15.8,-9.6,2,-16.8,25.1,0,0,0,,0,1.8,20.5,25.9,103.4,1026.7,21.2,10.2,160.1,13.9,6,10,2023-01-04T06:36:26,2023-01-04T16:39:36,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40809099999,OIMB"
Birjand,2023-01-05,13.1,3,8.1,13.1,-1.2,5.7,-14.5,19.5,0,0,0,,0,1.3,39.6,29.5,110.2,1019.5,92.1,10.2,72.9,6.2,4,10,2023-01-05T06:36:33,2023-01-05T16:40:24,0.44,Overcast,Cloudy skies throughout the day.,cloudy,"40809099999,OIMB"
Birjand,2023-01-06,15,3,8.4,15,0.9,7.1,-6.5,35.4,0.3,100,12.5,"rain,snow",0,0.9,34.9,25.9,35.5,1018.9,61.3,10.1,141,12.2,6,10,2023-01-06T06:36:39,2023-01-06T16:41:12,0.48,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"40809099999,OIMB"
Birjand,2023-01-07,14,-0.8,6.2,14,-3.4,4.9,-4.6,48.4,0,0,0,,0,0.5,35.6,25.5,314.1,1018.3,25.2,10.3,154.7,13.4,6,10,2023-01-07T06:36:42,2023-01-07T16:42:01,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40809099999,OIMB,remote"
Birjand,2023-01-08,11,-2.8,3,11,-6.9,0.5,-2.5,68.7,0.6,100,12.5,rain,0,0.3,32.8,25.2,109.5,1018.8,23.8,9.5,144.5,12.5,6,10,2023-01-08T06:36:44,2023-01-08T16:42:51,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"40809099999,OIMB"
Birjand,2023-01-09,14.1,-1,6.5,14.1,-4.8,4.2,-0.6,63.8,0,0,0,,0,0.2,39.6,25.9,87.6,1019.7,42.2,10,146.3,12.6,6,10,2023-01-09T06:36:44,2023-01-09T16:43:42,0.58,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"40809099999,OIMB"
Birjand,2023-01-10,7.2,0,5.2,7,-2.6,2.8,3,86.3,13,100,70.83,"rain,snow",0.5,1.1,25.2,21.9,87.2,1017.4,97.8,7.1,35.2,3,2,10,2023-01-10T06:36:43,2023-01-10T16:44:34,0.61,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"40809099999,OIMB"
