name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chengdu,2023-01-01,8,5,6.7,8,4.5,6.3,4.5,86.2,0.1,100,4.17,rain,0,0,19.1,10.8,353.1,1028.7,71.1,4.4,82.9,7.2,4,10,2023-01-01T08:01:08,2023-01-01T18:13:03,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"ZUUU,56294099999,56187099999"
Chengdu,2023-01-02,13,4.9,7.9,13,4.5,7.6,3.6,76.3,0,0,0,,0,0,17.6,10.8,209.8,1031.1,34.8,6.6,109.9,9.6,5,10,2023-01-02T08:01:23,2023-01-02T18:13:45,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUUU,56294099999,56187099999"
Chengdu,2023-01-03,10,2,6.8,10,2,6.5,3.7,81.3,0,0,0,,0,0,17.3,7.2,7.6,1028.3,13.5,4,64.9,5.7,3,10,2023-01-03T08:01:35,2023-01-03T18:14:29,0.37,Clear,Clear conditions throughout the day.,clear-day,"ZUUU,56294099999,56187099999"
Chengdu,2023-01-04,10,6.7,8.1,10,5.7,7.4,4.4,78.2,0.4,100,4.17,rain,0,0,16.2,7.2,348.9,1025.9,53,4.6,49,4.3,3,10,2023-01-04T08:01:46,2023-01-04T18:15:14,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"ZUUU,56294099999,56187099999"
Chengdu,2023-01-05,15,0.8,8,15,0.8,7.8,3.9,77.4,0.1,100,4.17,rain,0,0,19.4,7.2,218.8,1028.7,18.5,4.7,131.1,11.2,5,10,2023-01-05T08:01:55,2023-01-05T18:15:59,0.44,Rain,Clear conditions throughout the day with early morning rain.,rain,"ZUUU,56294099999,56187099999"
Chengdu,2023-01-06,18,4.3,10.4,18,4.3,10.3,4.8,71,0,0,0,,0,0,24.1,7.2,167.5,1032.1,5.7,5.2,144.2,12.5,6,10,2023-01-06T08:02:03,2023-01-06T18:16:46,0.47,Clear,Clear conditions throughout the day.,clear-day,"ZUUU,56294099999,56187099999"
Chengdu,2023-01-07,13,4,8.8,13,3.4,8.6,5.2,79.4,0,0,0,,0,0,16.9,7.2,200.9,1024,32.6,4,91.9,7.9,4,10,2023-01-07T08:02:08,2023-01-07T18:17:33,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUUU,56294099999,56187099999"
Chengdu,2023-01-08,13,8.5,10.6,13,8.5,10.6,6.1,73.9,0,0,0,,0,0,15.1,10.8,159.8,1021.8,53.9,4.2,61.2,5.2,3,10,2023-01-08T08:02:13,2023-01-08T18:18:21,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUUU,56294099999,56187099999"
Chengdu,2023-01-09,14,5,10,14,5,10,5.1,73.6,0,0,0,,0,0,13.7,7.2,134.2,1023.8,50.3,3.6,76.3,6.5,3,10,2023-01-09T08:02:15,2023-01-09T18:19:09,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUUU,56294099999,56187099999"
Chengdu,2023-01-10,12,8.8,10.5,12,8.8,10.5,5.4,71.6,0,0,0,,0,0,14.4,4.2,259.5,1021.9,63,4.5,86.6,7.4,4,10,2023-01-10T08:02:16,2023-01-10T18:19:58,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUUU,56294099999,56187099999"
Chengdu,2023-01-11,11,8.8,10,11,8.4,9.9,6.2,77.5,0,0,0,,0,0,15.5,7.2,293.8,1014.2,69.5,2.8,66.1,5.9,3,10,2023-01-11T08:02:15,2023-01-11T18:20:48,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUUU,56294099999,56187099999"
Chengdu,2023-01-12,17,8,11.3,17,7.9,11.2,6.1,72.7,0,0,0,,0,0,16.6,10.8,185,1008.8,32.8,4.1,91.1,7.8,4,10,2023-01-12T08:02:13,2023-01-12T18:21:38,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUUU,56294099999,56187099999"
Chengdu,2023-01-13,14,9.6,11.7,14,6.7,11.5,5.6,67,0,0,0,rain,0,0,28.8,22.4,40.8,1008.7,54.4,5.4,47.6,4.1,2,10,2023-01-13T08:02:08,2023-01-13T18:22:29,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUUU,56294099999,56187099999"
Chengdu,2023-01-14,10,4.6,7,7.2,1.4,4.3,-7.9,34.2,0,0,0,"rain,snow",0,0.1,28.8,21.6,39.6,1021.1,67.9,10,47.4,4.2,2,10,2023-01-14T08:02:02,2023-01-14T18:23:20,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUUU,56294099999,56187099999"
Chengdu,2023-01-15,5,1.7,3.1,4,-2,0.9,-2.7,66.3,0.1,100,4.17,"rain,snow",0,0,23.8,14.4,290,1029.8,69.4,10,115.4,10,4,10,2023-01-15T08:01:55,2023-01-15T18:24:12,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"ZUUU,56294099999,56187099999"
