name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chennai,2023-01-01,31,23,26.3,35.1,23,27.8,22.3,79.5,0,0,0,,0,0,21.2,18.4,79.9,1015.2,37.6,4.8,217,18.7,8,10,2023-01-01T06:31:12,2023-01-01T17:53:20,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999"
Chennai,2023-01-02,31,23.2,26.6,34.6,23.2,28,22.1,77.1,0,0,0,rain,0,0,21.2,16.6,89.5,1015,47.7,5.2,198.1,17.1,7,10,2023-01-02T06:31:35,2023-01-02T17:53:54,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
Chennai,2023-01-03,30,23.4,27,35.1,23.4,28.8,22.5,77.1,0,0,0,rain,0,0,33.1,19.5,57.9,1000,49.7,5,173.4,15,7,10,2023-01-03T06:31:57,2023-01-03T17:54:28,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
Chennai,2023-01-04,30,24,27,34.1,24,28.6,22.2,75.7,0,0,0,rain,0,0,31.7,19.6,62.4,1013.9,53.1,4.6,178.7,15.3,7,10,2023-01-04T06:32:18,2023-01-04T17:55:02,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
Chennai,2023-01-05,31,24.9,27.7,34.6,24.9,29.7,21.8,70.8,0,0,0,rain,0,0,38.2,26,66,1012.9,50.4,5.3,218.2,18.9,8,10,2023-01-05T06:32:38,2023-01-05T17:55:36,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
Chennai,2023-01-06,30,25,27.6,35.1,25,29.8,22.6,74.4,0,0,0,rain,0,0,45.7,31,58.5,1015.3,64.8,4.7,186.3,16,7,10,2023-01-06T06:32:58,2023-01-06T17:56:10,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
Chennai,2023-01-07,30,25,27.1,34.1,25,29.1,22.6,77,0.582,100,8.33,rain,0,0,39.6,28.1,51,1014.7,63.5,4.2,199.2,17.2,7,10,2023-01-07T06:33:16,2023-01-07T17:56:44,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOMM,43279099999,AUCE,43278099999"
Chennai,2023-01-08,29,22.5,25.8,32.7,22.5,26.8,21.7,78.4,0,0,0,,0,0,37.4,27.4,73.2,1014.9,61.1,3.5,168.5,14.6,6,10,2023-01-08T06:33:34,2023-01-08T17:57:18,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
Chennai,2023-01-09,30,20.6,25,31.3,20.6,25.3,18.9,70.6,0,0,0,,0,0,33.1,24.5,75,1015.2,43.8,5.1,231.4,19.9,8,10,2023-01-09T06:33:50,2023-01-09T17:57:52,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
Chennai,2023-01-10,30,22,25.6,31.9,22,26.3,19.8,71.2,0,0,0,rain,0,0,35.3,28.1,65,1014.9,47.5,5,185.2,16,7,10,2023-01-10T06:34:06,2023-01-10T17:58:26,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
