name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chiang Mai,2023-01-01,27.5,17,21.9,27.4,17,21.9,15.6,70.1,0,0,0,,0,0,16.2,9.3,217.3,1017.7,31.6,9.8,147.1,12.5,6,10,2023-01-01T06:56:37,2023-01-01T17:57:56,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48327099999,48329099999,48334099999,VTCC,48328099999,VTCL"
Chiang Mai,2023-01-02,27.5,15,20.8,27.2,15,20.7,14.5,70.7,0,0,0,,0,0,14,7.6,307.4,1018.5,25,9.7,212.5,18.4,8,10,2023-01-02T06:56:58,2023-01-02T17:58:32,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48327099999,48329099999,48334099999,VTCC,48328099999,VTCL"
Chiang Mai,2023-01-03,24.2,15,19.5,24.2,15,19.5,14.8,75.6,0,0,0,,0,0,14,9.3,261.7,1018.7,53.3,10,147.9,12.6,7,10,2023-01-03T06:57:17,2023-01-03T17:59:09,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48327099999,48329099999,48334099999,VTCC,48328099999,VTCL"
Chiang Mai,2023-01-04,28.4,17,21.8,28.9,17,21.9,16.5,73.7,0,0,0,,0,0,13.7,11.1,304,1017.8,37.5,9.9,140.9,12.2,7,10,2023-01-04T06:57:35,2023-01-04T17:59:46,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48327099999,48329099999,48334099999,VTCC,48328099999,VTCL"
Chiang Mai,2023-01-05,30.2,17,22.9,30.7,17,23,17.2,73.4,0,0,0,,0,0,12.6,7.6,1.3,1017.3,27.6,9.7,187,16.1,7,10,2023-01-05T06:57:52,2023-01-05T18:00:24,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48327099999,48329099999,48334099999,VTCC,48328099999,VTCL"
Chiang Mai,2023-01-06,28.1,17.9,22.8,28.1,17.9,22.8,15.1,65,0,0,0,,0,0,20.2,25.9,358.7,1018.3,47,9.8,176.5,15.3,7,10,2023-01-06T06:58:08,2023-01-06T18:01:01,0.47,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48327099999,48329099999,48334099999,VTCC,48328099999,VTCL"
Chiang Mai,2023-01-07,27,15.4,21.1,26.5,15.4,21.1,10.2,52.2,0,0,0,,0,0,23.8,24.1,352.4,1017.4,25.5,9.9,214,18.5,8,10,2023-01-07T06:58:23,2023-01-07T18:01:39,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48327099999,48329099999,48334099999,VTCC,48328099999,VTCL"
Chiang Mai,2023-01-08,27.4,13,19.6,27.1,13,19.6,12.5,67.2,0,0,0,,0,0,16.2,11.2,27.6,1016.4,10.1,9.8,221.5,19.3,8,10,2023-01-08T06:58:37,2023-01-08T18:02:17,0.54,Clear,Clear conditions throughout the day.,clear-day,"48327099999,48329099999,48334099999,VTCC,48328099999,VTCL"
Chiang Mai,2023-01-09,29.1,16.9,21.5,28.2,16.9,21.3,14,66,0,0,0,,0,0,15.5,7.5,353.5,1016.4,35.6,9.4,166.6,14.3,6,10,2023-01-09T06:58:49,2023-01-09T18:02:56,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"48327099999,48329099999,48334099999,VTCC,48328099999,VTCL"
Chiang Mai,2023-01-10,30.3,18,22.9,29.6,18,22.8,15.2,64.9,0,0,0,,0,0,11.9,7.6,19.5,1014.5,37.5,9.8,170.4,14.7,7,10,2023-01-10T06:59:01,2023-01-10T18:03:34,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48327099999,48329099999,48334099999,VTCC,48328099999,VTCL"
