name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chita,2023-01-01,-12,-22,-18,-17.9,-31.2,-25.8,-23.6,62.2,0,0,0,,0,3.5,32,20.2,217.9,1032.6,4.2,16.2,49,4.2,3,10,2023-01-01T09:34:22,2023-01-01T17:24:23,0.3,Clear,Clear conditions throughout the day.,clear-day,"UIAA,30758099999"
Chita,2023-01-02,-14,-27.1,-21.2,-14.4,-31.6,-24.9,-25.6,68.4,0,0,0,,0,3.5,22.3,14.6,225.5,1032.3,7.9,14.8,49.8,4.3,3,10,2023-01-02T09:34:15,2023-01-02T17:25:27,0.33,Clear,Clear conditions throughout the day.,clear-day,"UIAA,30758099999"
Chita,2023-01-03,-20.8,-32.3,-27.6,-20.8,-32.3,-27.6,-31.4,70.5,0,0,0,,0,3.5,15.5,3.6,332.8,1029.9,6.7,9.3,50.6,4.3,3,10,2023-01-03T09:34:05,2023-01-03T17:26:34,0.37,Clear,Clear conditions throughout the day.,clear-day,"UIAA,30758099999"
Chita,2023-01-04,-21,-32.9,-28.3,-21,-32.9,-28.3,-32,70.4,0,0,0,,0,3.5,18.7,3.6,11.2,1022.1,1,7.8,51,4.3,3,10,2023-01-04T09:33:52,2023-01-04T17:27:43,0.4,Clear,Clear conditions throughout the day.,clear-day,"UIAA,30758099999"
Chita,2023-01-05,-20,-31.2,-27.2,-20,-31.2,-27.4,-31,69.9,0,0,0,,0,3.5,14.8,7.2,5.5,1020,1.5,6.9,51.4,4.4,3,10,2023-01-05T09:33:35,2023-01-05T17:28:55,0.44,Clear,Clear conditions throughout the day.,clear-day,"UIAA,30758099999"
Chita,2023-01-06,-21,-30.4,-26.4,-21,-30.4,-26.4,-29.6,74.4,0.4,100,4.17,snow,0,3.5,16.9,3.6,344.8,1015.9,28.4,4.3,35,3.1,2,10,2023-01-06T09:33:15,2023-01-06T17:30:10,0.47,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"UIAA,30758099999"
Chita,2023-01-07,-19,-29.5,-24.8,-20,-29.5,-26.1,-28.2,73.8,0,0,0,snow,0.3,3.7,28.8,10.8,228.4,1011.2,23.9,4.7,45.2,3.9,2,10,2023-01-07T09:32:51,2023-01-07T17:31:27,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UIAA,30758099999"
Chita,2023-01-08,-7,-17,-11.7,-9.6,-21.7,-16.8,-18.6,57.7,0,0,0,,0,3.9,38.9,25.2,242.5,1018.7,7.3,15.3,53.3,4.6,3,10,2023-01-08T09:32:24,2023-01-08T17:32:47,0.54,Clear,Clear conditions throughout the day.,clear-day,"UIAA,30758099999"
Chita,2023-01-09,-12.3,-24.2,-19,-12.3,-24.2,-19,-22.3,75.4,0,0,0,,0,3.4,19.8,3.8,337.7,1018.8,22.1,11.8,49.2,4.2,3,10,2023-01-09T09:31:54,2023-01-09T17:34:08,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UIAA,30758099999"
Chita,2023-01-10,-12,-23.1,-17.7,-12,-25.9,-18,-20.6,78.5,0,0,0,snow,0.2,3.5,20.9,7.2,47.3,1010.8,27.7,6,31.5,2.8,2,10,2023-01-10T09:31:21,2023-01-10T17:35:32,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UIAA,30758099999"
Chita,2023-01-11,-8,-20,-14,-9,-23.4,-14.8,-15.5,88.9,0.3,100,4.17,snow,1,3.8,18.4,10.8,26.4,1007.8,40.6,4.3,33.6,2.8,2,10,2023-01-11T09:30:44,2023-01-11T17:36:58,0.64,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"UIAA,30758099999"
Chita,2023-01-12,-7,-22,-13.7,-8,-34.8,-22.4,-20.1,61.6,2,100,4.17,snow,2.8,5.5,57.6,39.6,311.2,1016.4,62.7,11.3,45.4,3.7,2,10,2023-01-12T09:30:04,2023-01-12T17:38:26,0.67,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"UIAA,30758099999"
Chita,2023-01-13,-20,-26,-23.3,-28.7,-37.5,-32.5,-31.7,46.3,0,0,0,,0,5.6,40.7,28.8,245.2,1034.7,7.5,16.2,59.3,5,3,10,2023-01-13T09:29:21,2023-01-13T17:39:56,0.71,Clear,Clear conditions throughout the day.,clear-day,"UIAA,30758099999"
Chita,2023-01-14,-19,-31.6,-24.6,-27.2,-37.5,-31.8,-31.2,55.2,0,0,0,,0,5.5,31.3,18,220.8,1028,16.8,13.1,49.2,4,2,10,2023-01-14T09:28:35,2023-01-14T17:41:28,0.74,Clear,Clear conditions throughout the day.,clear-day,"UIAA,30758099999"
Chita,2023-01-15,-16,-26.8,-22.6,-21.4,-35.5,-29.3,-28.5,59.5,0,0,0,,0,5.4,32.8,25.2,227.4,1017.7,14.5,16.2,59.4,5.2,3,10,2023-01-15T09:27:46,2023-01-15T17:43:02,0.75,Clear,Clear conditions throughout the day.,clear-day,"UIAA,30758099999"
Chita,2023-01-16,-13,-27.1,-20.7,-20.9,-27.6,-24.3,-26.3,62.4,0.5,100,4.17,snow,0.4,5.5,50.4,32.4,287.6,1012.8,43.2,13,53.8,4.4,3,10,2023-01-16T09:26:54,2023-01-16T17:44:37,0.81,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"UIAA,30758099999"
Chita,2023-01-17,-16,-25.4,-20.5,-16,-32,-24.5,-25.1,67.1,0.3,100,4.17,snow,0.3,5.5,32.4,21.6,274.6,1013.4,36.6,12.8,50.6,4.3,2,10,2023-01-17T09:25:59,2023-01-17T17:46:14,0.84,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"UIAA,30758099999"
Chita,2023-01-18,-13,-26,-19.8,-18.8,-32.7,-24.4,-24.4,68,0.3,100,4.17,snow,0.6,5.7,35.6,25.2,274.5,1006.9,38.5,11.7,57.2,4.9,3,10,2023-01-18T09:25:02,2023-01-18T17:47:52,0.87,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"UIAA,30758099999"
Chita,2023-01-19,-17,-27,-21.7,-24.8,-36.2,-32.3,-29.4,50.1,0,0,0,snow,0,5.5,61.2,43.2,286.9,1016.7,22.1,16.2,57.3,4.9,3,10,2023-01-19T09:24:01,2023-01-19T17:49:31,0.91,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"UIAA,30758099999"
Chita,2023-01-20,-26,-35.2,-31,-26,-40.9,-31.3,-35.3,65.7,0,0,0,,0,5.3,15.1,7.2,321.6,1017.7,31.5,9.4,58.1,5.2,3,10,2023-01-20T09:22:57,2023-01-20T17:51:12,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UIAA,30758099999"
Chita,2023-01-21,-27,-37,-31.1,-27,-43.2,-33.1,-35.3,66.9,0,0,0,snow,0,5.4,15.5,10.8,28.7,1022.3,31.2,9.6,57.2,5,3,10,2023-01-21T09:21:51,2023-01-21T17:52:54,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UIAA,30758099999"
Chita,2023-01-22,-28,-40.2,-35,-28,-40.2,-35.4,-39.8,61.5,0,0,0,,0,5.4,27,10.8,197.6,1035.1,36.8,5.3,71.2,6.1,3,10,2023-01-22T09:20:43,2023-01-22T17:54:38,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UIAA,30758099999"
Chita,2023-01-23,-25,-34,-29.7,-33,-43.6,-38.8,-37.3,48.4,0,0,0,,0,5.5,34.6,21.6,221.2,1038,18.3,15.3,71.6,6.1,3,10,2023-01-23T09:19:31,2023-01-23T17:56:22,0.04,Clear,Clear conditions throughout the day.,clear-day,"UIAA,30758099999"
Chita,2023-01-24,-27,-39.5,-33.4,-27,-42,-34.3,-38.7,59.2,0,0,0,,0,5.4,19.1,7.2,39.7,1026.5,17.7,9.6,72.2,6.2,3,10,2023-01-24T09:18:17,2023-01-24T17:58:07,0.08,Clear,Clear conditions throughout the day.,clear-day,"UIAA,30758099999"
Chita,2023-01-25,-25,-39.5,-33.4,-25,-39.5,-33.4,-38.2,62.2,0,0,0,,0,5.4,23.4,3.6,17.6,1016.2,18.5,7.5,75.4,6.4,3,10,2023-01-25T09:17:01,2023-01-25T17:59:54,0.11,Clear,Clear conditions throughout the day.,clear-day,"UIAA,30758099999"
Chita,2023-01-26,-16,-35.7,-26.7,-17,-35.7,-28.2,-32.3,59.8,0,0,0,,0,5.4,31,14.4,211,1021,32.2,8.2,68.7,5.8,3,10,2023-01-26T09:15:42,2023-01-26T18:01:41,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UIAA,30758099999"
Chita,2023-01-27,-10,-18,-14.1,-11.6,-27.4,-20.3,-20.5,58.8,0,0,0,,0,5.3,39.2,18,208.4,1016.6,35,14.9,68,5.9,3,10,2023-01-27T09:14:21,2023-01-27T18:03:29,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UIAA,30758099999"
Chita,2023-01-28,-5,-15.8,-9.8,-6,-22.6,-16.1,-16.5,58.8,0,0,0,snow,0,5.3,43.2,39.6,262.6,1006.8,45.4,15.6,69.9,6,3,10,2023-01-28T09:12:57,2023-01-28T18:05:17,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UIAA,30758099999"
Chita,2023-01-29,-6,-19,-12.1,-11.7,-25.1,-18,-18.5,60.2,0,0,0,,0,5.4,37.8,25.2,284.4,1012.2,21.7,16.2,74,6.4,3,10,2023-01-29T09:11:31,2023-01-29T18:07:07,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UIAA,30758099999"
Chita,2023-01-30,-13,-25.3,-19,-13,-25.3,-19,-22.3,75.8,0,0,0,snow,1.9,5.4,14.8,3.6,294.1,1011.8,27.3,10.1,59.3,5.2,3,10,2023-01-30T09:10:03,2023-01-30T18:08:56,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UIAA,30758099999"
Chita,2023-01-31,-8.1,-20,-12,-11.2,-25.1,-18.8,-19.7,55.4,0.2,100,4.17,snow,0.5,5.6,51.8,36,306.4,1014.6,34.3,13.8,68.4,6,3,10,2023-01-31T09:08:33,2023-01-31T18:10:47,0.31,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"UIAA,30758099999"
Chita,2023-02-01,-10,-24,-17.2,-14.1,-29.7,-22.3,-23.9,57.6,0,0,0,,0,5,54,36,276.6,1025.9,3.4,16.2,84.6,7.2,4,10,2023-02-01T09:07:00,2023-02-01T18:12:37,0.34,Clear,Clear conditions throughout the day.,clear-day,"UIAA,30758099999"
Chita,2023-02-02,-12,-27.4,-20.7,-12,-27.4,-21.3,-25.1,68.2,0,0,0,,0,4.6,26.3,7.2,311.9,1022,25.7,10.6,77.1,6.7,3,10,2023-02-02T09:05:26,2023-02-02T18:14:28,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UIAA,30758099999"
