name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chittagong,1/1/2023,26.8,14.6,20.1,26.5,14.6,20.1,13.2,67.8,0,0,0,,0,0,21.2,14.8,2,1017.8,0.3,3,191.7,16.6,7,,2023-01-01T06:32:26,2023-01-01T17:19:55,0.3,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
Chittagong,1/2/2023,27.5,15,20.5,27.3,15,20.5,13.6,67.7,0,0,0,,0,0,23,18.4,1.1,1018.1,0.2,4.1,194.3,16.7,7,,2023-01-02T06:32:44,2023-01-02T17:20:33,0.34,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41977099999,41964099999,VGEG,remote,41989099999"
Chittagong,1/3/2023,26.3,15.1,20.5,26.3,15.1,20.5,13.4,66.7,0,0,0,,0,0,24.1,24.1,354.2,1018.1,1,4.5,196.8,16.9,7,,2023-01-03T06:33:02,2023-01-03T17:21:12,0.37,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41977099999,41964099999,VGEG,remote,41989099999"
Chittagong,1/4/2023,26,15.6,20.1,26,15.6,20.1,14.9,73.7,0,0,0,,0,0,28.1,33.5,349.6,1017.4,2.5,3.8,196.2,16.9,7,,2023-01-04T06:33:18,2023-01-04T17:21:51,0.41,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41977099999,41964099999,VGEG,remote,41989099999"
Chittagong,1/5/2023,26,15.5,19.6,26,15.5,19.6,15.6,78.5,0,0,0,,0,0,27.7,29.5,342.7,1017.8,11.7,3.4,194.8,16.8,7,,2023-01-05T06:33:33,2023-01-05T17:22:31,0.44,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41977099999,41964099999,VGEG,remote,41989099999"
Chittagong,1/6/2023,22,15.8,18,22,15.8,18,15.9,87.9,0,0,0,,0,0,27,18.4,340.1,1017.5,23.1,2.9,193.1,16.7,7,,2023-01-06T06:33:46,2023-01-06T17:23:11,0.48,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41977099999,41964099999,VGEG,remote,41989099999"
Chittagong,1/7/2023,22,14.4,18.1,22,14.4,18.1,15.8,86.9,0,0,0,,0,0,23.8,18.4,335.4,1016.1,34.4,2.8,182.2,15.7,7,,2023-01-07T06:33:59,2023-01-07T17:23:51,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41977099999,41964099999,VGEG,remote,41989099999"
Chittagong,1/8/2023,23,15.6,18.9,23,15.6,18.9,17,89.4,0,0,0,,0,0,18,16.6,341.9,1016,42.3,2.9,173.9,14.8,7,,2023-01-08T06:34:10,2023-01-08T17:24:32,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41977099999,41964099999,VGEG,remote,41989099999"
Chittagong,1/9/2023,28.9,16.7,21.1,29.8,16.7,21.1,17.8,83.4,0,0,0,,0,0,21.2,18.4,335.7,1016.2,19.2,3,193,16.5,7,,2023-01-09T06:34:20,2023-01-09T17:25:13,0.58,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41977099999,41964099999,VGEG,remote,41989099999"
Chittagong,1/10/2023,29,17.8,21.6,28.2,17.8,21.5,16.8,76.6,0,0,0,,0,0,21.2,18.4,347.1,1016.1,10.8,4.2,196.6,16.9,7,,2023-01-10T06:34:28,2023-01-10T17:25:55,0.61,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41977099999,41964099999,VGEG,remote,41989099999"
Chittagong,1/11/2023,28,16.6,21.4,27.6,16.6,21.3,14.5,68.3,0,0,0,,0,0,23,18.4,318.8,1013.6,0,4.1,200.1,17.2,7,,2023-01-11T06:34:35,2023-01-11T17:26:36,0.64,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41977099999,41964099999,VGEG,remote,41989099999"
Chittagong,1/12/2023,25.5,14.6,19.6,25.5,14.6,19.6,13.1,68.2,0,0,0,,0,0,23,14.8,309.6,1013.1,9.4,4,203.6,17.5,7,,2023-01-12T06:34:41,2023-01-12T17:27:18,0.68,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41977099999,41964099999,VGEG,remote,41989099999"
Chittagong,1/13/2023,27.5,14,19.6,26.8,14,19.6,12.5,68.4,0,0,0,,0,0,18,25.9,331.3,1013.9,5,3.6,203.6,17.5,7,,2023-01-13T06:34:45,2023-01-13T17:28:00,0.71,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41977099999,41964099999,VGEG,remote,41989099999"
Chittagong,1/14/2023,26,15,20.3,26,15,20.3,16.3,79.3,0,0,0,,0,0,16.2,18.4,311,1013.3,2.1,3.8,192.6,16.8,7,,2023-01-14T06:34:48,2023-01-14T17:28:42,0.74,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41977099999,41964099999,VGEG,remote,41989099999"
Chittagong,1/15/2023,27.6,18.7,21.5,27.7,18.7,21.5,17.5,80.2,0,0,0,,0,0,22.3,22.3,7.1,1012.7,20.7,3.3,170.4,14.7,7,,2023-01-15T06:34:50,2023-01-15T17:29:24,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41977099999,41964099999,VGEG,remote,41989099999"
Chittagong,1/16/2023,27,17,21,26.6,17,20.9,12.1,60.2,0,0,0,,0,0,24.1,18.4,40.5,1014.1,15.9,4.4,200.8,17.2,7,,2023-01-16T06:34:50,2023-01-16T17:30:07,0.81,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41977099999,41964099999,VGEG,remote,41989099999"
Chittagong,1/17/2023,26.5,15.7,20.1,26.5,15.7,20.1,12.6,65.7,0,0,0,,0,0,20.5,22.3,340.4,1015.1,6.9,3.8,199.1,17,8,,2023-01-17T06:34:49,2023-01-17T17:30:49,0.85,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41977099999,41964099999,VGEG,remote,41989099999"
