name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chongjin,2023-01-01,0.8,-8.7,-4.1,-3.4,-13.7,-8.7,-16.9,37.3,0,0,0,,0,4.6,40,21.6,324.1,1024.1,1.9,21.9,104.9,9.2,5,10,2023-01-01T07:48:19,2023-01-01T17:00:10,0.3,Clear,Clear conditions throughout the day.,clear-day,"47008099999,47003099999,remote"
Chongjin,2023-01-02,-0.9,-10.2,-5.6,-3.4,-15.5,-9.1,-16,44.7,0,0,0,,0,2.3,38.2,18,333.2,1026.6,1.8,22.7,104.4,9.2,5,10,2023-01-02T07:48:25,2023-01-02T17:01:02,0.33,Clear,Clear conditions throughout the day.,clear-day,"47008099999,47003099999,remote"
Chongjin,2023-01-03,1.3,-6.6,-3.6,-0.9,-11,-7.1,-15.1,41.4,0,0,0,,0,0.8,32,18,337,1024.7,1.6,22,102.2,9,4,10,2023-01-03T07:48:28,2023-01-03T17:01:54,0.37,Clear,Clear conditions throughout the day.,clear-day,"47008099999,47003099999,remote"
Chongjin,2023-01-04,1.3,-6.8,-3.7,-0.9,-11.9,-6.4,-15,42,0,0,0,,0,0.6,32.8,14.4,323.5,1026.3,3.7,22.7,104.1,9,4,10,2023-01-04T07:48:30,2023-01-04T17:02:49,0.4,Clear,Clear conditions throughout the day.,clear-day,"47008099999,47003099999,remote"
Chongjin,2023-01-05,3.1,-6.6,-3,1.2,-11.1,-5.1,-11.8,51.7,0,0,0,,0,0.2,22,9.7,284.6,1026.8,11,21.9,104.9,9,5,10,2023-01-05T07:48:29,2023-01-05T17:03:45,0.44,Clear,Clear conditions throughout the day.,clear-day,"47008099999,47003099999,remote"
Chongjin,2023-01-06,2.8,-7.2,-2.7,2.8,-10,-4.8,-7.5,70.1,0,0,0,,0,0,22.7,10.1,348.1,1020.9,60.7,21.2,74.8,6.3,3,10,2023-01-06T07:48:26,2023-01-06T17:04:42,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47008099999,47003099999,remote"
Chongjin,2023-01-07,-1,-3.4,-1.8,-1,-7.9,-4.1,-3.9,85.9,0.599,100,4.17,"rain,snow",2.5,1.7,24.1,25.2,64.5,1017.7,96.3,13.8,41.3,3.6,2,10,2023-01-07T07:48:20,2023-01-07T17:05:41,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"47008099999,47003099999,remote"
Chongjin,2023-01-08,1.1,-4.2,-2,1.1,-7.8,-3.3,-4.3,84.1,0.1,100,4.17,"rain,snow",3,5.3,24.8,13.3,113.1,1021.2,90.5,17.2,45.6,4,2,10,2023-01-08T07:48:12,2023-01-08T17:06:41,0.54,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"47008099999,47003099999,remote"
Chongjin,2023-01-09,3.3,-7,-2.7,0.5,-12.9,-7,-11.9,53.3,0,0,0,,0,5.9,41.8,18.4,332.3,1023.1,13.4,22.3,110.3,9.6,5,10,2023-01-09T07:48:02,2023-01-09T17:07:43,0.57,Clear,Clear conditions throughout the day.,clear-day,"47008099999,47003099999,remote"
Chongjin,2023-01-10,4,-8.6,-3.6,3.1,-11.8,-6.1,-10.3,61,0,0,0,,0,5.4,29.9,11.9,247.5,1025.9,10.5,21.9,107.8,9.4,5,10,2023-01-10T07:47:49,2023-01-10T17:08:46,0.61,Clear,Clear conditions throughout the day.,clear-day,"47008099999,47003099999,remote"
