name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chongqing,2023-01-01,9.1,7,7.8,8.7,6.1,7.5,5.9,88.3,6.2,100,8.33,rain,0,0,14,10.8,0.6,1028.6,83.9,5.7,32.6,2.6,2,10,2023-01-01T07:48:48,2023-01-01T18:05:50,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"ZUCK,57516099999"
Chongqing,2023-01-02,9.1,7,8,9.1,4.9,7.7,6.5,90.3,0.4,100,4.17,rain,0,0,15.1,10.8,291.5,1031.2,80.3,3.9,62.9,5.6,3,10,2023-01-02T07:49:03,2023-01-02T18:06:32,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"ZUCK,57516099999"
Chongqing,2023-01-03,9,7,8,9,5.5,7.1,7,93.2,1.4,100,8.33,rain,0,0,12.2,14.4,4.2,1028.8,91.7,3.5,67.9,5.8,4,10,2023-01-03T07:49:16,2023-01-03T18:07:15,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"ZUCK,57516099999"
Chongqing,2023-01-04,10,8,8.8,10,5.1,8,5.9,82.2,0,0,0,rain,0,0,11.9,18,19.3,1025.6,65.8,5.5,33.5,2.9,1,10,2023-01-04T07:49:27,2023-01-04T18:07:59,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUCK,57516099999"
Chongqing,2023-01-05,11.6,8,9.7,11.6,6.9,9.4,6.7,81.6,0,0,0,rain,0,0,17.6,7.2,226.8,1028.8,73.8,4.6,59.3,5.2,3,10,2023-01-05T07:49:38,2023-01-05T18:08:44,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUCK,57516099999"
Chongqing,2023-01-06,14,6,9.8,14,4.5,9.2,6.1,79.5,0,0,0,,0,0,16.9,10.8,136.4,1033,39.8,4.5,118.8,10.2,5,10,2023-01-06T07:49:46,2023-01-06T18:09:29,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUCK,57516099999"
Chongqing,2023-01-07,15,5,9.1,15,1.9,8,5.1,77.9,0.1,100,4.17,rain,0,0,17.6,14.4,24.8,1024,5.8,5.5,156.8,13.6,6,10,2023-01-07T07:49:53,2023-01-07T18:10:15,0.5,Rain,Clear conditions throughout the day with morning rain.,rain,"ZUCK,57516099999"
Chongqing,2023-01-08,15,5,9.5,15,4.1,9.3,5.8,79.5,0,0,0,,0,0,16.6,10.8,277.5,1021.6,18,4.2,132.7,11.5,6,10,2023-01-08T07:49:58,2023-01-08T18:11:02,0.54,Clear,Clear conditions throughout the day.,clear-day,"ZUCK,57516099999"
Chongqing,2023-01-09,17,7,10.7,17,5.7,10.5,6.2,75.2,0,0,0,,0,0,16.9,14.4,350.3,1023.6,48.4,4.1,132.9,11.3,5,10,2023-01-09T07:50:02,2023-01-09T18:11:49,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUCK,57516099999"
Chongqing,2023-01-10,16,7,10.9,16,5.7,10.8,6.5,75.6,0,0,0,,0,0,17.6,7.2,78.1,1021.5,21.6,4,127.2,11,5,10,2023-01-10T07:50:04,2023-01-10T18:12:37,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUCK,57516099999"
