name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chukotka,2023-01-01,-20,-27.3,-24.5,-26,-39.3,-35.6,-27.5,76.1,0,0,0,,0,20.3,32.4,25.2,338.5,1007.3,89.4,16.4,2.1,0.2,0,10,2023-01-01T10:12:28,2023-01-01T14:14:14,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UHMA,25469099999,25563099999"
Chukotka,2023-01-02,-20,-27,-23.5,-31.2,-40,-35.4,-26.8,74.5,0,0,0,,0,20.3,39.4,32.2,339.3,1006.5,81.1,16.4,2.3,0.2,0,10,2023-01-02T10:11:20,2023-01-02T14:16:20,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UHMA,25469099999,25563099999"
Chukotka,2023-01-03,-26.8,-29,-28,-38.7,-43.2,-40.8,-31.4,72.9,0,0,0,,0,20.3,39.6,32.3,354.4,1007.8,85.8,16.5,2.5,0.2,0,10,2023-01-03T10:10:04,2023-01-03T14:18:34,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UHMA,25469099999,25563099999"
Chukotka,2023-01-04,-24.8,-30.6,-28,-36.2,-44.5,-41.5,-31.3,73.7,0.5,100,4.17,snow,0.3,20.4,43.2,35.9,353.5,1007.6,74.4,11.7,2.3,0.2,0,10,2023-01-04T10:08:40,2023-01-04T14:20:54,0.4,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"UHMA,25469099999,25563099999"
Chukotka,2023-01-05,-22,-24,-23,-29.9,-38,-34.2,-25.6,79.6,2.871,100,8.33,snow,0.5,20.7,43.2,32.4,334.7,1006.4,82.3,7.8,1.8,0.1,0,10,2023-01-05T10:07:09,2023-01-05T14:23:21,0.43,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"UHMA,25469099999,25563099999"
Chukotka,2023-01-06,-20,-22,-20.9,-29.9,-34.5,-32,-23.2,81.5,0.894,100,8.33,snow,0.9,21.1,39.1,32.1,333.2,1006,94.9,9.1,2,0.1,0,10,2023-01-06T10:05:31,2023-01-06T14:25:54,0.47,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"UHMA,25469099999,25563099999"
Chukotka,2023-01-07,-19,-23,-20.2,-20,-33.1,-28.4,-22.5,81.8,1.581,100,8.33,snow,1.7,22,42.7,25,332.6,1006.8,69.9,11,2.1,0.1,0,10,2023-01-07T10:03:47,2023-01-07T14:28:32,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"UHMA,25469099999,25563099999"
Chukotka,2023-01-08,-12.9,-20,-16.8,-15,-29.6,-24.2,-18.9,83.9,0,0,0,snow,0.1,21.8,32.2,21.6,9.5,1008.5,91.5,14.7,2.2,0.2,0,10,2023-01-08T10:01:56,2023-01-08T14:31:16,0.53,Overcast,Cloudy skies throughout the day.,cloudy,"UHMA,25469099999,25563099999"
Chukotka,2023-01-09,-9,-18,-11.8,-11.6,-26.7,-21,-13.7,85.5,0.794,100,4.17,snow,1,22.7,67.2,53,78,1010.4,91.1,7.6,2.5,0.2,0,10,2023-01-09T10:00:00,2023-01-09T14:34:04,0.57,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"UHMA,25469099999,25563099999"
Chukotka,2023-01-10,-11,-20,-13.7,-18,-27.5,-21.6,-16.7,78.3,0.774,100,4.17,snow,0,22.9,77.6,42,83.4,1013.9,58,13.6,3.4,0.3,0,10,2023-01-10T09:57:58,2023-01-10T14:36:58,0.6,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"UHMA,25469099999,25563099999"
Chukotka,2023-01-11,-20.2,-26.6,-23.2,-23,-39.3,-31.2,-26.1,77.2,0,0,0,,0,22.7,35.2,25.2,342.9,1014.9,54.3,16.5,4.4,0.3,0,10,2023-01-11T09:55:51,2023-01-11T14:39:55,0.64,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"UHMA,25469099999,25563099999"
