name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Colombo,1/1/2023,31.9,21.1,26.6,35.6,21.1,27.4,20,69.3,0,0,0,,0,0,38.2,18.7,31.1,1013.6,39.6,13,248.7,21.5,8,,2023-01-01T06:22:12,2023-01-01T18:05:49,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43450099999,43467099999,43486099999,43466099999,remote"
Colombo,1/2/2023,31.9,23.1,26.9,34.7,23.1,27.9,20.6,69.9,0,0,0,,0,0,36.4,14.8,25.4,1013.3,43.6,12.8,261.1,22.5,9,,2023-01-02T06:22:37,2023-01-02T18:06:20,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43,450,099,999,434,600,000,000,000,000,000,000,000,000,000"
Colombo,1/3/2023,32.1,22.1,27,34.5,22.1,28.1,20.1,67.2,0,0,0,,0,0,38.5,16.6,23.9,1013,27.4,13,253.1,21.9,9,,2023-01-03T06:23:02,2023-01-03T18:06:51,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43,450,099,999,434,600,000,000,000,000,000,000,000,000,000"
Colombo,1/4/2023,32.1,23.1,27.4,33.3,23.1,28.1,19.7,64.8,0,0,0,,0,0,35.6,18.4,33.6,1012,47.9,13.1,253.4,21.8,9,,2023-01-04T06:23:26,2023-01-04T18:07:22,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43,450,099,999,434,600,000,000,000,000,000,000,000,000,000"
Colombo,1/5/2023,32.2,23.1,27.3,36.5,23.1,29.4,22.2,74.8,0,0,0,,0,0,37.1,20.5,43.9,1011.5,47.7,12.8,232.3,20,8,,2023-01-05T06:23:50,2023-01-05T18:07:52,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43,450,099,999,434,600,000,000,000,000,000,000,000,000,000"
Colombo,1/6/2023,32.7,25.1,27.4,36.9,25.1,29.2,23.2,79.1,0.83,100,12.5,rain,0,0,40,20.5,31.8,1012.7,54.5,12.9,201.9,17.3,7,,2023-01-06T06:24:13,2023-01-06T18:08:23,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43,450,099,999,434,600,000,000,000,000,000,000,000,000,000"
Colombo,1/7/2023,31.5,24.1,26.7,36.2,24.1,28.1,22.8,80,12.142,100,12.5,rain,0,0,37.1,25.9,36,1012.5,56.5,12.8,206.9,18,8,,2023-01-07T06:24:35,2023-01-07T18:08:53,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43,450,099,999,434,600,000,000,000,000,000,000,000,000,000"
Colombo,1/8/2023,30.9,23.1,26.9,34.7,23.1,28.3,22.1,76.4,0.19,100,8.33,rain,0,0,37.8,24.1,40,1012,56.1,12.5,197.8,17.1,8,,2023-01-08T06:24:57,2023-01-08T18:09:23,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43,450,099,999,434,600,000,000,000,000,000,000,000,000,000"
Colombo,1/9/2023,31.9,23.1,27.2,36.3,23.1,28.4,20.5,68,0,0,0,,0,0,43.6,18.4,38.1,1012.8,35.8,13.3,251.7,21.8,9,,2023-01-09T06:25:18,2023-01-09T18:09:53,0.58,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43,450,099,999,434,600,000,000,000,000,000,000,000,000,000"
Colombo,1/10/2023,31.7,22.1,26.5,33.9,22.1,27.6,20.3,69.9,0,0,0,,0,0,40.3,18.8,23.1,1012.7,58.7,13.2,261.9,22.8,9,,2023-01-10T06:25:38,2023-01-10T18:10:22,0.61,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43,450,099,999,434,600,000,000,000,000,000,000,000,000,000"
