name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dhaka,1/1/2023,23.4,14.8,18.8,23.4,14.8,18.8,14.9,79.6,0,0,0,,0,0,20.2,14.8,54.8,1018.7,30.2,1.8,172.4,14.8,7,,2023-01-01T06:40:48,2023-01-01T17:22:48,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
Dhaka,1/2/2023,25.4,14.9,20,25.4,14.9,20,14.7,73.5,0,0,0,,0,0,18.7,11.2,340.3,1018.8,17.7,2.8,177.9,15.5,7,,2023-01-02T06:41:06,2023-01-02T17:23:27,0.34,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
Dhaka,1/3/2023,24,15.1,19.5,24,15.1,19.5,15.8,79.6,0,0,0,,0,0,22,17.2,287,1019,34.6,2.1,168.1,14.5,7,,2023-01-03T06:41:23,2023-01-03T17:24:06,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
Dhaka,1/4/2023,19,15.1,17,19,15.1,17,14.5,85.4,0,0,0,,0,0,22,18.4,283.7,1018.9,75.6,1.8,164.9,14.3,7,,2023-01-04T06:41:38,2023-01-04T17:24:46,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
Dhaka,1/5/2023,20,13.1,16.5,20,13.1,16.5,14.1,86.1,0,0,0,,0,0,25.6,13,301.8,1019.1,46,1.5,181.8,15.8,7,,2023-01-05T06:41:52,2023-01-05T17:25:27,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
Dhaka,1/6/2023,20,12.9,16.2,20,12.9,16.2,13.6,85.3,0,0,0,,0,0,24.8,14.8,282.9,1018.3,27.7,1.4,187,16.1,7,,2023-01-06T06:42:05,2023-01-06T17:26:08,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
Dhaka,1/7/2023,22,12.1,16.5,22,12.1,16.5,14.1,86.1,0,0,0,,0,0,19.8,13,295,1017.1,45.6,1.1,182.3,15.6,7,,2023-01-07T06:42:16,2023-01-07T17:26:50,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
Dhaka,1/8/2023,22,12,16.5,22,12,16.5,14.2,87,0,0,0,,0,0,19.8,7.6,261.1,1016.4,45.8,0.9,181,15.7,7,,2023-01-08T06:42:26,2023-01-08T17:27:31,0.54,Partially cloudy,Partly cloudy throughout the day.,fog,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
Dhaka,1/9/2023,27.3,14,19.7,27.8,14,19.8,14.8,74.2,0,0,0,,0,0,18,11.2,313.5,1016.8,0,2.6,186.2,16.1,7,,2023-01-09T06:42:35,2023-01-09T17:28:14,0.58,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
Dhaka,1/10/2023,29,16,21.2,28.6,16,21.2,14.1,65.6,0,0,0,,0,0,19.8,14.8,288.4,1015.4,0,3.1,190,16.5,7,,2023-01-10T06:42:42,2023-01-10T17:28:56,0.61,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
