name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dharan,2023-01-01,19.7,8.4,14.2,19.7,8.4,14.2,10.2,77.6,0,0,0,,0,0,18.7,6.5,11.8,1019.7,26.9,19.6,105.6,9.2,4,10,2023-01-01T06:44:43,2023-01-01T17:13:50,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-02,18.2,8.2,13.7,18.2,8.2,13.7,10.1,80.2,0,0,0,,0,0,24.5,6.8,326.7,1020.3,14.2,19.5,129.7,11.4,5,10,2023-01-02T06:44:59,2023-01-02T17:14:31,0.34,Clear,Clear conditions throughout the day.,clear-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-03,19,7.6,13.2,19,7.6,13.2,9.7,81,0,0,0,,0,0,21.6,6.8,311.9,1020.4,9.8,19.7,152,13.2,7,10,2023-01-03T06:45:14,2023-01-03T17:15:12,0.37,Clear,Clear conditions throughout the day.,clear-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-04,19.6,7.4,13.3,19.6,7.4,13.2,9.8,81,0,0,0,,0,0,21.2,7.6,289,1020.1,14.2,20.1,167.7,14.5,7,10,2023-01-04T06:45:27,2023-01-04T17:15:54,0.41,Clear,Clear conditions throughout the day.,clear-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-05,19.7,7.1,12.5,19.7,7.1,12.5,8.7,79.3,0,0,0,,0,0,19.1,5.8,300.8,1021,6.2,20.4,176,15.2,7,10,2023-01-05T06:45:39,2023-01-05T17:16:37,0.44,Clear,Clear conditions throughout the day.,clear-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-06,20.7,6.6,12.3,20.7,6.2,12.2,7.8,75.6,0,0,0,,0,0,24.8,8.3,297.4,1020.2,0.8,21.3,182.1,15.8,7,10,2023-01-06T06:45:50,2023-01-06T17:17:20,0.48,Clear,Clear conditions throughout the day.,clear-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-07,22.7,7.8,13.1,22.7,7,13,8.2,74.3,0,0,0,,0,0,24.5,8.3,298.5,1018.6,1.4,20.6,185.9,16,7,10,2023-01-07T06:45:59,2023-01-07T17:18:04,0.5,Clear,Clear conditions throughout the day.,clear-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-08,21.6,6.6,12.6,21.6,6.6,12.6,7.6,73.7,0,0,0,,0,0,21.2,6.5,298.2,1017.7,4.2,20.5,185.4,16,7,10,2023-01-08T06:46:06,2023-01-08T17:18:48,0.54,Clear,Clear conditions throughout the day.,clear-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-09,21.8,6,12.9,21.8,5.7,12.9,7.3,70.8,0,0,0,,0,0,24.8,8.3,289.1,1018.6,3.6,20.7,184.8,15.9,7,10,2023-01-09T06:46:12,2023-01-09T17:19:33,0.58,Clear,Clear conditions throughout the day.,clear-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-10,21.4,6.6,12.9,21.4,6.6,12.9,7.8,72.8,0,0,0,,0,0,23.4,7.6,275.9,1017.1,13.3,20.3,186.1,15.9,7,10,2023-01-10T06:46:17,2023-01-10T17:20:19,0.61,Clear,Clear conditions throughout the day.,clear-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-11,19.4,7.5,12.2,19.4,7.5,12.2,7.9,76.3,0,0,0,,0,0,20.5,6.1,293.4,1015.2,1.1,20.6,186.5,16,7,10,2023-01-11T06:46:20,2023-01-11T17:21:04,0.64,Clear,Clear conditions throughout the day.,clear-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-12,20.7,6.6,12.9,20.7,6.6,12.8,8.1,74.4,0,0,0,,0,0,22,6.7,284.2,1013.1,2.7,20.5,188.5,16.3,7,10,2023-01-12T06:46:21,2023-01-12T17:21:51,0.68,Clear,Clear conditions throughout the day.,clear-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-13,21.3,6.9,12.9,21.3,6.9,12.9,8.3,75.4,0,0,0,,0,0,25.9,8.3,288.2,1013.7,2.1,20.4,188.2,16.4,7,10,2023-01-13T06:46:21,2023-01-13T17:22:37,0.71,Clear,Clear conditions throughout the day.,clear-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-14,21.5,5.8,13.1,21.5,5.8,13.1,9,77.8,0,0,0,,0,0,33.5,12.2,255.2,1013.1,12.8,20.9,181,15.6,7,10,2023-01-14T06:46:19,2023-01-14T17:23:24,0.74,Clear,Clear conditions throughout the day.,clear-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-15,17.9,11.4,13.7,17.9,11.4,13.7,10.9,83.3,0.1,100,4.17,rain,0,0,31.7,11.5,229.7,1013.1,59.7,20.5,118.7,10.2,5,10,2023-01-15T06:46:16,2023-01-15T17:24:11,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-16,17.7,7.7,12.9,17.7,7.7,12.9,10.3,85.2,0,0,0,,0,0,26.6,7.9,238.9,1015.2,67.8,19.6,130,11.2,5,10,2023-01-16T06:46:11,2023-01-16T17:24:58,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-17,19.2,7.1,12.9,19.2,7.1,12.9,10.2,84.2,0.3,100,12.5,rain,0,0,25.2,11.9,233.4,1015.9,67.2,19.4,127,10.8,5,10,2023-01-17T06:46:05,2023-01-17T17:25:46,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-18,19.1,6.3,12.7,19.1,6.3,12.7,9.1,79.8,0,0,0,,0,0,29.5,10.2,244.6,1017.9,37,19.4,148.3,12.9,6,10,2023-01-18T06:45:57,2023-01-18T17:26:33,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-19,19.5,5.9,13,19.5,5.9,12.9,9,77.9,0,0,0,,0,0,26.6,8.3,279.5,1018.7,28.2,19.4,148,12.9,6,10,2023-01-19T06:45:48,2023-01-19T17:27:21,0.91,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"44478099999,44474099999,remote,44477099999"
Dharan,2023-01-20,21.2,6.1,14,21.2,6.1,14,9.6,76,0,0,0,,0,0,22.3,7.2,283.1,1017.6,14.2,19.5,168.7,14.8,6,10,2023-01-20T06:45:37,2023-01-20T17:28:09,0.95,Clear,Clear conditions throughout the day.,clear-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-21,22,6.9,14.3,22,6.9,14.3,9.9,76.4,0,0,0,,0,0,28.4,9,212.7,1015.6,23.5,19.8,187.8,16.2,7,10,2023-01-21T06:45:25,2023-01-21T17:28:56,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-22,21.9,7.5,14.7,21.9,7.5,14.7,10.7,78.6,0,0,0,,0,0,27.4,9,120.4,1015.5,22.7,19.6,179.4,15.5,7,10,2023-01-22T06:45:11,2023-01-22T17:29:44,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-23,21.8,7.4,14.2,21.8,7.4,14.2,10.7,80.5,0,0,0,,0,0,24.5,7.3,56.2,1014.7,33.6,19.5,158,13.6,6,10,2023-01-23T06:44:55,2023-01-23T17:30:32,0.05,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-24,22.3,8.4,15.8,22.3,8.4,15.8,11.2,75.6,0,0,0,,0,0,24.1,6.8,80.4,1015.8,14.3,19.7,171.5,14.8,7,10,2023-01-24T06:44:39,2023-01-24T17:31:20,0.08,Clear,Clear conditions throughout the day.,clear-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-25,23.9,8.6,16,23.9,8.6,16,11.5,76.2,0,0,0,,0,0,24.5,6.8,26.6,1014.8,4.1,19.7,191.2,16.4,7,10,2023-01-25T06:44:20,2023-01-25T17:32:07,0.11,Clear,Clear conditions throughout the day.,clear-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-26,23.8,9.4,17.2,23.8,9.4,17.2,13.3,78.5,0,0,0,,0,0,28.8,9.7,232.8,1014.1,25.6,19.7,163.2,14,6,10,2023-01-26T06:44:00,2023-01-26T17:32:55,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44478099999,42395099999,44474099999,remote,44477099999"
Dharan,2023-01-27,23.1,9.4,16.7,23.1,9.4,16.7,13.4,81.8,0,0,0,,0,0,31.3,9.7,186.3,1013.9,31,19.6,171.4,14.7,6,10,2023-01-27T06:43:39,2023-01-27T17:33:42,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44478099999,42395099999,44474099999,remote,44477099999"
