name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dili,2023-01-01,26.9,24.7,25.8,29.5,24.7,26.1,22.8,83.9,19.2,100,83.33,rain,0,0,70.9,21.2,270.3,1008,96.9,18.5,169.3,14.6,6,30,2023-01-01T06:22:41,2023-01-01T18:59:21,0.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Dili,2023-01-02,28.7,24.7,26.4,32.7,24.7,27.7,22.9,81,3.6,100,83.33,rain,0,0,60.1,20.2,268.1,1007.5,88.9,18.9,238,20.7,9,30,2023-01-02T06:23:13,2023-01-02T18:59:46,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Dili,2023-01-03,28.4,25,26.4,32,25,27.4,22.7,80.4,2.5,100,50,rain,0,0,64.8,23,272.2,1006.6,86.1,22.6,249.4,21.4,9,30,2023-01-03T06:23:45,2023-01-03T19:00:10,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Dili,2023-01-04,28.2,25,26,31.4,25,26.8,22.4,80.7,3.3,100,37.5,rain,0,0,51.1,17.3,267.1,1006.8,89.2,22.7,222.7,19.3,7,30,2023-01-04T06:24:17,2023-01-04T19:00:33,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Dili,2023-01-05,28.5,24.7,26.4,31.8,24.7,27.6,22.7,80.3,2.3,100,41.67,rain,0,0,41.4,16.6,268.7,1007.8,96.7,23.3,239.7,20.7,8,30,2023-01-05T06:24:49,2023-01-05T19:00:55,0.44,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Dili,2023-01-06,28.3,24.3,25.9,31.7,24.3,26.8,22.5,81.9,2.4,100,29.17,rain,0,0,47.2,16.6,264.1,1008.1,97.6,23.9,253,21.8,9,30,2023-01-06T06:25:20,2023-01-06T19:01:17,0.47,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Dili,2023-01-07,27.9,24.7,26.1,30.7,24.7,27,22.1,79,0.3,100,12.5,rain,0,0,42.5,16.6,251,1007.7,72.3,24.1,223.1,19.3,8,30,2023-01-07T06:25:52,2023-01-07T19:01:37,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,remote
Dili,2023-01-08,28.8,24.1,26.1,31.7,24.1,27.1,22.2,79.3,0,0,0,rain,0,0,35.6,14,251.7,1009,80.2,22.4,244.6,21.2,8,30,2023-01-08T06:26:23,2023-01-08T19:01:58,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Dili,2023-01-09,28.5,23.4,25.9,31.2,23.4,26.7,21.9,79,0.2,100,8.33,rain,0,0,32,14.4,246.4,1010.7,95,23.6,239.7,20.7,8,30,2023-01-09T06:26:54,2023-01-09T19:02:17,0.57,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,remote
Dili,2023-01-10,28.9,23.6,26.1,31.6,23.6,27.1,21.7,77.2,1,100,29.17,rain,0,0,29.2,10.8,241,1010.2,46.5,21.1,275.3,23.8,9,10,2023-01-10T06:27:25,2023-01-10T19:02:35,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Dili,2023-01-11,27.9,23.8,25.7,30.6,23.8,26.5,22,80.1,3.3,100,41.67,rain,0,0,28.4,10.4,245.5,1009.6,64.8,23.1,240.9,20.9,8,30,2023-01-11T06:27:56,2023-01-11T19:02:53,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Dili,2023-01-12,27.8,23.4,25.5,30.7,23.4,26.2,22.3,82.4,1.3,100,41.67,rain,0,0,25.9,9.4,261.3,1009.7,73.9,23.7,226.8,19.7,8,30,2023-01-12T06:28:26,2023-01-12T19:03:10,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Dili,2023-01-13,28.8,23.5,26.2,32.1,23.5,27.6,22.4,79.7,0.4,100,12.5,rain,0,0,27.4,9.7,252.7,1009,78.2,24.1,264.3,22.8,9,60,2023-01-13T06:28:57,2023-01-13T19:03:25,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,remote
Dili,2023-01-14,29.4,24.7,26.6,32,24.7,27.7,22.1,76.8,0.4,100,8.33,rain,0,0,28.8,11.9,269,1007.7,91.1,24.1,280.8,24.1,10,30,2023-01-14T06:29:26,2023-01-14T19:03:40,0.74,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,remote
Dili,2023-01-15,29.7,24.1,26.6,33.7,24.1,27.8,22.4,78,0,0,0,,0,0,33.1,11.2,258.1,1007.3,97.3,24.1,239.5,20.6,8,30,2023-01-15T06:29:56,2023-01-15T19:03:54,0.75,Overcast,Cloudy skies throughout the day.,cloudy,remote
Dili,2023-01-16,28.2,24.7,26.3,30.6,24.7,27.1,21.8,77,1.2,100,20.83,rain,0,0,36.4,13,277.4,1008.7,85.4,24,261.2,22.6,9,30,2023-01-16T06:30:25,2023-01-16T19:04:07,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,remote
