name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Gaziantep,2023-01-01,12.2,-2,4.7,12.2,-4.2,4.5,-3.6,59.2,0,0,0,,0,0,22.3,9.3,44.1,1029.5,8.6,9.7,127.5,10.9,5,,2023-01-01T07:44:03,2023-01-01T17:23:57,0.31,Clear,Clear conditions throughout the day.,clear-day,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-02,13.1,-1.1,4.7,13.1,-3.8,4.3,-5.6,52.6,0,0,0,,0,0,22.3,13.7,32.3,1028.8,0,9.9,131.8,11.3,5,,2023-01-02T07:44:12,2023-01-02T17:24:44,0.34,Clear,Clear conditions throughout the day.,clear-day,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-03,12.3,-1,5,12.3,-3.7,3.9,-4.9,52.5,0,0,0,,0,0,25.9,12.9,20.5,1027,0.5,10.2,130.8,11.1,5,,2023-01-03T07:44:19,2023-01-03T17:25:33,0.38,Clear,Clear conditions throughout the day.,clear-day,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-04,14.1,-0.1,6,14.1,-1.8,4.9,-6.1,45.4,0,0,0,,0,0,20.5,14.7,2.2,1019.8,0.1,10.3,130.3,11,5,,2023-01-04T07:44:25,2023-01-04T17:26:23,0.41,Clear,Clear conditions throughout the day.,clear-day,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-05,14.1,-0.9,7.1,14.1,-0.9,6.7,-5.6,42.8,0,0,0,,0,0,20.5,12,14.9,1016.3,0,10.2,127.5,11,5,,2023-01-05T07:44:28,2023-01-05T17:27:14,0.45,Clear,Clear conditions throughout the day.,clear-day,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-06,11.1,-0.9,4.7,11.1,-2.7,4.5,-0.3,70.9,0,0,0,,0,0,18.4,12,85.7,1019.5,39,9.3,114.8,9.8,5,,2023-01-06T07:44:30,2023-01-06T17:28:07,0.48,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-07,11.1,2.1,5.9,11.1,0.6,5.1,2.4,81,4.596,100,8.33,rain,0,0,18,12.3,29.5,1020.2,45.8,7.3,122.8,10.6,5,,2023-01-07T07:44:29,2023-01-07T17:29:00,0.5,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-08,9.1,-0.8,3.4,8.7,-2.3,2.9,-0.3,79.7,0,0,0,,0,0,14.8,7.4,42.9,1019.6,33.4,6.9,107.1,9.1,5,,2023-01-08T07:44:27,2023-01-08T17:29:55,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-09,8.3,-1,3.1,7,-2.8,2.1,-3.5,65.3,0,0,0,,0,0,28.1,14.4,42.5,1020.6,12.9,9.5,128.1,11,5,,2023-01-09T07:44:22,2023-01-09T17:30:51,0.58,Clear,Clear conditions throughout the day.,clear-day,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-10,10.1,-3,2.4,10.1,-4,1.8,-4.6,64,0,0,0,,0,0,16.6,10.8,256.8,1023.5,0,9.1,134.7,11.7,5,,2023-01-10T07:44:15,2023-01-10T17:31:47,0.61,Clear,Clear conditions throughout the day.,clear-day,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-11,10.1,-3,2.7,10.1,-4.9,2.2,-3.5,66.9,0,0,0,,0,0,21.6,9,40.6,1024.9,36.8,10,134.6,11.7,5,,2023-01-11T07:44:07,2023-01-11T17:32:45,0.65,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-12,7.2,-0.1,3.5,4.6,-4.7,1.2,-3.6,61.1,0,0,0,,0,0,36.4,21.4,50.1,1022.5,82.2,10.3,115.2,10,5,,2023-01-12T07:43:56,2023-01-12T17:33:43,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-13,8.2,-0.1,4.4,6.2,-2.7,2.5,-1.8,65.1,0,0,0,,0,0,37.1,18.4,64,1020.1,72.2,10.3,121.5,10.3,5,,2023-01-13T07:43:43,2023-01-13T17:34:42,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-14,5.1,3,3.9,2.3,-0.5,0.8,2.7,91.9,3.755,100,8.33,rain,0.6,0.2,38.9,19.6,29.6,1019.7,99.1,7.9,20.7,1.8,1,,2023-01-14T07:43:28,2023-01-14T17:35:42,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-15,10,4.9,6.8,10,1.9,5.3,3.9,82.1,0,0,0,,0,0,27.7,14.2,32,1019.8,88.7,9.9,88.5,7.5,4,,2023-01-15T07:43:12,2023-01-15T17:36:43,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-16,8,5.9,6.7,7.1,3.7,5.2,5.2,90.1,2.845,100,12.5,rain,0,0,35.6,16.2,50,1018.2,96.8,6.8,23.4,2.2,1,,2023-01-16T07:42:53,2023-01-16T17:37:44,0.82,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-17,9.9,6,7.5,9.9,4.5,7.3,6.3,92.3,6.934,100,8.33,rain,0,0,22.3,7.4,2.2,1021.4,89.4,5.8,55.3,4.9,2,,2023-01-17T07:42:32,2023-01-17T17:38:46,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-18,14,3.2,8.4,14,2.4,8.3,6.1,86.2,0,0,0,,0,0,25.9,14.1,242.4,1023,46.4,6.3,115.5,9.9,5,,2023-01-18T07:42:09,2023-01-18T17:39:49,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTCN,LTAJ,17260099999,17262099999,17255099999"
Gaziantep,2023-01-19,13.1,2.9,7.6,13.1,0.9,7.5,4.9,84.5,0,0,0,,0,0,15.8,9.1,7.3,1023.6,15.8,8.2,141.9,12.4,6,,2023-01-19T07:41:45,2023-01-19T17:40:52,0.92,Clear,Clear conditions throughout the day.,clear-day,"LTCN,LTAJ,17260099999,17262099999,17255099999"
