name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Ghurmach,2023-01-01,8.7,-2.3,1.9,8,-5.3,0.6,-3.7,67.8,0,0,0,,0,0,15.1,8.3,72,1031.3,7.5,24.1,130.7,11.5,6,10,2023-01-01T07:25:40,2023-01-01T17:12:31,0.31,Clear,Clear conditions throughout the day.,clear-day,remote
Ghurmach,2023-01-02,6.4,-4.1,0.4,6.4,-6.8,-1.1,-3.9,72.8,0,0,0,,0,0,17.6,7.9,176.5,1034.2,0,24.1,134.8,11.7,5,10,2023-01-02T07:25:50,2023-01-02T17:13:17,0.34,Clear,Clear conditions throughout the day.,clear-day,remote
Ghurmach,2023-01-03,11.7,-4.1,2,11.7,-6.4,0.7,-7.1,54.1,0,0,0,,0,0,17.3,7.6,152.4,1031.9,0,24.1,136.5,11.7,6,10,2023-01-03T07:25:59,2023-01-03T17:14:05,0.37,Clear,Clear conditions throughout the day.,clear-day,remote
Ghurmach,2023-01-04,13,-3.7,2.7,13,-6.2,1,-5.7,55.7,0,0,0,,0,0,16.2,10.4,119.7,1027.8,0,24.1,135.7,11.7,5,10,2023-01-04T07:26:06,2023-01-04T17:14:53,0.41,Clear,Clear conditions throughout the day.,clear-day,remote
Ghurmach,2023-01-05,13.4,-3.6,4.3,13.4,-7.1,2.7,-3.1,60,0,0,0,,0,0,18.7,9.4,141.8,1018.8,66.9,24.1,101,8.6,4,10,2023-01-05T07:26:10,2023-01-05T17:15:43,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Ghurmach,2023-01-06,14.6,3.7,8.3,14.6,1.9,7.6,2.7,68.7,0.5,100,16.67,rain,0,0,20.2,10.4,98.3,1020.4,49.7,23.9,104.1,9.1,5,10,2023-01-06T07:26:13,2023-01-06T17:16:35,0.48,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,remote
Ghurmach,2023-01-07,18,1.6,8.5,18,-0.9,7.3,1.8,65.4,0,0,0,rain,0,0,22,10.1,171.1,1016,16.5,23.8,126.1,11,5,10,2023-01-07T07:26:14,2023-01-07T17:17:27,0.5,Clear,Clear conditions throughout the day.,clear-day,remote
Ghurmach,2023-01-08,12.6,2.5,7.3,12.6,0.9,6.5,3.1,75.1,3,100,37.5,rain,0,0,21.6,8.3,175.6,1018.6,35.1,23.9,101.8,8.8,4,10,2023-01-08T07:26:13,2023-01-08T17:18:20,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Ghurmach,2023-01-09,7.7,-1.4,3,5.9,-4.3,1.4,0.5,84.3,0,0,0,,0,0,27.4,11.9,292,1023.9,18,24.1,130.6,11.3,5,10,2023-01-09T07:26:10,2023-01-09T17:19:14,0.58,Clear,Clear conditions throughout the day.,clear-day,remote
Ghurmach,2023-01-10,2.1,-7.2,-3.2,0.7,-12.7,-7.2,-3.8,95.3,13.8,100,91.67,"rain,snow",6,3.5,24.1,13.3,351.1,1033.3,99.8,7.7,40.8,3.6,2,10,2023-01-10T07:26:05,2023-01-10T17:20:09,0.61,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,remote
