name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Gowurdak,2023-01-01,7.7,-2.7,1.4,6.5,-4.7,0.1,-1.8,80.2,0,0,0,,0,0,18.4,8.3,43.1,1033,23.9,19.4,120.9,10.3,5,10,2023-01-01T07:51:03,2023-01-01T17:25:35,0.3,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"38915099999,remote"
Gowurdak,2023-01-02,2.9,-3.1,0.2,1.7,-4.3,-0.7,-3.1,79.5,0,0,0,,0,0,20.9,7.9,130.3,1034.1,22.4,18.7,116.4,9.8,5,10,2023-01-02T07:51:11,2023-01-02T17:26:23,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38915099999,remote"
Gowurdak,2023-01-03,10.4,-2.7,2.8,10.4,-6.6,0.1,-3,68.6,0,0,0,,0,0,27,21.6,124.9,1032.9,59.1,19.4,93.3,8,4,10,2023-01-03T07:51:18,2023-01-03T17:27:13,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38915099999,remote"
Gowurdak,2023-01-04,17.6,2.3,8.1,17.6,-0.6,6.8,-3.7,48.1,0,0,0,,0,0,24.5,32.4,100.4,1029.1,31.3,19.4,117.1,10.1,5,10,2023-01-04T07:51:23,2023-01-04T17:28:04,0.41,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"38915099999,remote"
Gowurdak,2023-01-05,17.4,1.6,9.5,17.4,-1.7,8.4,-2.9,43.6,0,0,0,,0,0,25.9,25.2,123.6,1018.8,43.2,19.4,118.7,10.3,5,10,2023-01-05T07:51:26,2023-01-05T17:28:56,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"38915099999,remote"
Gowurdak,2023-01-06,14.9,6.8,10.1,14.9,4.5,9.6,0.2,52,0.2,100,8.33,rain,0,0,28.4,14.4,120.2,1021,78,19.4,40.6,3.6,2,10,2023-01-06T07:51:26,2023-01-06T17:29:49,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"38915099999,remote"
Gowurdak,2023-01-07,18.9,6.8,11.3,18.9,4.2,10.5,2.3,55.2,0.3,100,8.33,rain,0,0,38.9,15.8,123.3,1016.8,46.2,19.4,87,7.4,4,10,2023-01-07T07:51:25,2023-01-07T17:30:44,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38915099999,remote"
Gowurdak,2023-01-08,13.2,5.1,9.3,13.2,3.6,8.7,3.2,66.2,1,100,8.33,rain,0,0,26.6,14.4,164.2,1018.4,52.7,18.8,77.4,6.6,4,10,2023-01-08T07:51:21,2023-01-08T17:31:39,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38915099999,remote"
Gowurdak,2023-01-09,17.7,1.7,6.7,17.7,-0.9,5.7,1.7,72.7,0.1,100,4.17,rain,0,0,29.2,21.6,126.2,1023,23.3,19.4,109.8,9.4,5,10,2023-01-09T07:51:16,2023-01-09T17:32:36,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"38915099999,remote"
Gowurdak,2023-01-10,5.1,-8,-3,3.5,-13.5,-7,-3.8,94.5,16,100,16.67,snow,9.7,4.5,33.1,21.6,316.2,1031.4,98.1,6.6,56.1,4.9,3,10,2023-01-10T07:51:08,2023-01-10T17:33:34,0.61,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"38915099999,remote"
Gowurdak,2023-01-11,-6.8,-14.9,-11.4,-12.7,-19.8,-15.7,-13.4,85.3,0.3,100,4.17,snow,1,6.9,28.4,21.6,309.9,1042.5,34,17.4,143.3,12.5,6,10,2023-01-11T07:50:58,2023-01-11T17:34:33,0.65,"Snow, Partially cloudy",Clearing in the afternoon with morning snow.,snow,"38915099999,remote"
Gowurdak,2023-01-12,-9.6,-20.2,-14.9,-12.6,-20.2,-16.5,-18,77.9,0,0,0,,0,6,16.6,8.3,282.6,1049.8,17.9,12.7,136.1,12,6,10,2023-01-12T07:50:46,2023-01-12T17:35:32,0.68,Clear,Clear conditions throughout the day.,clear-day,"38915099999,remote"
Gowurdak,2023-01-13,-7.6,-18.8,-13.6,-7.6,-23.3,-15.1,-16.4,79.8,0,0,0,,0,5.7,14,7.2,81.2,1047.1,9.2,17.4,144,12.4,6,10,2023-01-13T07:50:32,2023-01-13T17:36:33,0.71,Clear,Clear conditions throughout the day.,clear-day,"38915099999,remote"
Gowurdak,2023-01-14,-6.9,-18.9,-13.5,-6.9,-24.2,-14.5,-17.3,74,0,0,0,,0,6.1,15.5,7.6,76.9,1041.3,2.5,19.6,143.2,12.5,6,10,2023-01-14T07:50:16,2023-01-14T17:37:34,0.75,Clear,Clear conditions throughout the day.,clear-day,"38915099999,remote"
Gowurdak,2023-01-15,-6.9,-17.8,-12.5,-6.9,-21.9,-13.6,-17.4,68.4,0,0,0,,0,6.1,13.7,6.1,86.9,1036.6,9.9,18.4,146,12.7,6,10,2023-01-15T07:49:58,2023-01-15T17:38:36,0.75,Clear,Clear conditions throughout the day.,clear-day,"38915099999,remote"
Gowurdak,2023-01-16,-0.7,-14.8,-9.1,-0.7,-16,-9.5,-15.2,63.6,0,0,0,,0,5.9,13.7,6.8,69.6,1030.1,0,19.4,148.1,12.8,6,10,2023-01-16T07:49:38,2023-01-16T17:39:39,0.81,Clear,Clear conditions throughout the day.,clear-day,"38915099999,remote"
Gowurdak,2023-01-17,1.8,-14.1,-7.1,1.8,-15.5,-8,-14.6,58.5,0,0,0,,0,5.1,13.3,6.5,76.3,1028.6,1.5,19.4,147.8,12.8,6,10,2023-01-17T07:49:16,2023-01-17T17:40:42,0.85,Clear,Clear conditions throughout the day.,clear-day,"38915099999,remote"
Gowurdak,2023-01-18,2.5,-8.3,-4.1,1.2,-11.1,-4.9,-9.1,69.2,0,0,0,,0,5.1,14.4,7.2,36.6,1025.3,74.8,19.4,125.5,10.9,5,10,2023-01-18T07:48:52,2023-01-18T17:41:46,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38915099999,remote"
Gowurdak,2023-01-19,3.7,-6.6,-1.9,3.7,-6.6,-1.9,-7.7,65.9,0,0,0,,0,5,10.8,4.3,114.3,1028.9,74.2,19.4,119.3,10.3,5,10,2023-01-19T07:48:26,2023-01-19T17:42:51,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38915099999,remote"
Gowurdak,2023-01-20,4.1,-7.5,-2.5,4.1,-7.5,-2.8,-6.5,74.7,0,0,0,,0,4.5,15.8,6.5,76.8,1031.8,71.1,19.4,137.5,12,6,10,2023-01-20T07:47:57,2023-01-20T17:43:56,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38915099999,remote"
