name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Guangzhou,2023-01-01,20,8,13.7,20,6.1,13.3,7.2,66.2,0,0,0,,0,0,32.8,14.4,354,1024.8,57.2,13.4,108.1,9.4,5,10,2023-01-01T07:08:15,2023-01-01T17:52:31,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
Guangzhou,2023-01-02,19,12,15.5,19,12,15.5,8.4,63.3,0,0,0,,0,0,39.6,28.8,357.8,1024.8,85.2,13.4,75.7,6.5,4,10,2023-01-02T07:08:33,2023-01-02T17:53:10,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
Guangzhou,2023-01-03,18.3,11.2,14.9,18.3,11.2,14.9,9.2,69.2,1.067,100,12.5,rain,0,0,36,25.2,354.5,1025.3,85.7,12.7,55.9,4.6,3,10,2023-01-03T07:08:50,2023-01-03T17:53:49,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"ZGGG,59287099999,59278099999"
Guangzhou,2023-01-04,18,12.8,15,18,12.8,15,9.6,70.6,0,0,0,,0,0,28.8,18,11.7,1024.3,87.8,13.1,96.9,8.4,5,10,2023-01-04T07:09:06,2023-01-04T17:54:29,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
Guangzhou,2023-01-05,24,14,18.4,24,14,18.4,12.8,71.2,0,0,0,,0,0,27.7,14.4,358.3,1023.6,55,12.4,114.7,9.9,5,10,2023-01-05T07:09:21,2023-01-05T17:55:09,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
Guangzhou,2023-01-06,22.3,15.5,18.5,22.3,15.5,18.5,11.7,65.6,0,0,0,,0,0,41.4,28.8,356.8,1024,89.2,13.3,151.3,13,6,10,2023-01-06T07:09:34,2023-01-06T17:55:49,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
Guangzhou,2023-01-07,25,13,18.4,25,13,18.4,9.1,56.1,0,0,0,,0,0,31.6,18,11.3,1021,26.2,13.4,189,16.2,7,10,2023-01-07T07:09:46,2023-01-07T17:56:30,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
Guangzhou,2023-01-08,18.4,14.8,16.2,18.4,14.8,16.2,13.1,82.1,2.907,100,16.67,rain,0,0,33.1,10.8,36.9,1020.4,97.5,11.1,65.9,5.7,3,10,2023-01-08T07:09:56,2023-01-08T17:57:12,0.54,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"ZGGG,59287099999,59278099999"
Guangzhou,2023-01-09,16,14,15.3,16,14,15.3,15,98.2,8.814,100,16.67,rain,0,0,31.3,12.8,6.1,1020.4,100,7.3,25.9,2.3,1,10,2023-01-09T07:10:05,2023-01-09T17:57:54,0.57,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"ZGGG,59287099999,59278099999"
Guangzhou,2023-01-10,19,15.6,16.9,19,15.6,16.9,15.8,93.3,3.682,100,29.17,rain,0,0,24.4,14.4,33.9,1019.6,100,10.8,18.8,1.6,1,10,2023-01-10T07:10:13,2023-01-10T17:58:36,0.61,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"ZGGG,59287099999,59278099999"
