name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Gwangju,1/1/2023,6.3,-2.8,1,4.7,-2.8,0.6,-4.6,68.5,0,0,0,,0,4.3,41,8.6,5.2,1031.3,21.7,11.2,123.7,10.7,5,,2023-01-01T07:41:20,2023-01-01T17:30:57,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"471,720,999,994,715,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Gwangju,1/2/2023,2.6,-2.6,-0.3,0.4,-5.3,-2.5,-10.3,47.8,0,0,0,,0,3.5,46.4,9.5,33.1,1032.5,39.4,24.1,115.8,10,5,,2023-01-02T07:41:31,2023-01-02T17:31:43,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"471,720,999,994,715,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Gwangju,1/3/2023,4,-3.5,-0.3,2.7,-6.1,-1.9,-7.5,59.5,0,0,0,,0,2.9,28.8,9.6,36.1,1030.9,14.9,23.2,101.6,8.8,4,,2023-01-03T07:41:41,2023-01-03T17:32:30,0.37,Clear,Clear conditions throughout the day.,clear-day,"471,720,999,994,715,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Gwangju,1/4/2023,5,-4.3,0,5,-6.1,-0.4,-6.5,62.4,0,0,0,,0,2.2,39.2,6.7,25.3,1031.3,24.9,18,118,10.1,5,,2023-01-04T07:41:48,2023-01-04T17:33:18,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"471,720,999,994,715,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Gwangju,1/5/2023,7.6,-0.9,2.5,7.5,-0.9,2.5,-1.6,76,0,0,0,,0,1.8,24.8,5,331.6,1030.9,59.2,4.9,119.4,10.3,5,,2023-01-05T07:41:54,2023-01-05T17:34:07,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"471,720,999,994,715,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Gwangju,1/6/2023,8.1,-1.3,3.2,8.1,-1.3,3.1,-0.2,80,0,0,0,,0,1.8,34.9,5.4,231.1,1024.2,45.4,2.5,127.4,11,5,,2023-01-06T07:41:58,2023-01-06T17:34:57,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"471,720,999,994,715,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Gwangju,1/7/2023,6.9,1.3,4.7,5.2,1.3,3.4,-3,58.4,0.027,100,4.17,rain,0,1.1,56.5,9.8,330.7,1020.9,53.7,7.9,111.8,9.6,5,,2023-01-07T07:42:00,2023-01-07T17:35:49,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"471,720,999,994,715,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Gwangju,1/8/2023,8.8,-2.4,2.9,8.8,-2.4,2.9,-3.3,67,0,0,0,,0,0.8,16.9,4.9,314,1025.5,0.2,11.5,134.3,11.6,5,,2023-01-08T07:41:59,2023-01-08T17:36:41,0.54,Clear,Clear conditions throughout the day.,clear-day,"471,720,999,994,715,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Gwangju,1/9/2023,10.5,0.7,4,10.5,-0.7,3.7,-1.1,69.9,0,0,0,,0,0.2,42.8,10.7,354.2,1024.6,45.2,12.5,83.7,7.2,3,,2023-01-09T07:41:57,2023-01-09T17:37:34,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"471,720,999,994,715,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Gwangju,1/10/2023,9.9,-2.8,2.9,9.9,-3.1,2.8,-4.2,61.9,0,0,0,,0,0,28.8,5.5,19.5,1028.5,20.3,13.2,140.1,12.1,6,,2023-01-10T07:41:53,2023-01-10T17:38:28,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"471,720,999,994,715,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
