name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Haifa,2023-01-01,19,7.1,15,19,3.4,14.3,6.1,56.4,0,0,0,,0,0,57.6,37,108.8,1024,47.4,10,100.2,8.7,4,,2023-01-01T06:42:32,2023-01-01T16:44:25,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40176199999,40153099999,LLIB,LLHA,remote,40155099999"
Haifa,2023-01-02,18,6.6,13.6,18,1.8,12.2,3.3,51.9,0,0,0,,0,0,50,42.8,95,1023.9,58.7,10,117.6,10.2,5,,2023-01-02T06:42:45,2023-01-02T16:45:09,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40176199999,40153099999,LLIB,LLHA,remote,40155099999"
Haifa,2023-01-03,20,7.6,14.5,20,3.4,13.3,2.5,45.1,0.4,100,4.17,rain,0,0,55.4,36.4,95.3,1021.9,41.9,10,134.7,11.7,5,,2023-01-03T06:42:55,2023-01-03T16:45:55,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"40176199999,40153099999,LLIB,LLHA,remote,40155099999"
Haifa,2023-01-04,18,7.7,13.5,18,3.7,12.6,4.7,56.4,0.5,100,4.17,rain,0,0,22.7,37.1,122.7,1019.3,44.9,10,108.4,9.3,4,,2023-01-04T06:43:04,2023-01-04T16:46:41,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"40176199999,40153099999,LLIB,LLHA,remote,40155099999"
Haifa,2023-01-05,19,6.6,13.8,19,4.5,12.9,8.2,70.6,0,0,0,,0,0,32.8,18,277.6,1019.9,42.7,10,118.2,10.3,5,,2023-01-05T06:43:12,2023-01-05T16:47:29,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40176199999,40153099999,F1003,LLIB,LLHA,40155099999"
Haifa,2023-01-06,20,7.7,13.7,20,4.4,12.7,10.1,79.8,0.2,100,8.33,rain,0,0,32,22.3,206.8,1020.9,49.3,8.1,67.1,5.9,3,,2023-01-06T06:43:17,2023-01-06T16:48:17,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"40176199999,40153099999,F1003,LLHA,LLIB,remote,40155099999"
Haifa,2023-01-07,19,7.1,12.5,19,4.2,11.6,10.6,88.9,3.1,100,4.17,rain,0,0,26.3,25.6,260.6,1020.4,64.2,8.4,79.3,6.9,5,,2023-01-07T06:43:21,2023-01-07T16:49:06,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"40176199999,40153099999,F1003,LLHA,LLIB,40155099999"
Haifa,2023-01-08,19,6.2,13.3,19,3.2,12.8,8.5,74,1.9,100,4.17,rain,0,0,20.9,22.2,122.8,1017.2,29.3,9.9,125.2,10.9,5,,2023-01-08T06:43:23,2023-01-08T16:49:56,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"40176199999,40153099999,F1003,LLIB,LLHA,remote,40155099999"
Haifa,2023-01-09,19,6.1,13.2,19,2.5,12.5,7,67.1,0,0,0,,0,0,20.5,22.3,105.7,1017.7,38.9,10,103,8.9,5,,2023-01-09T06:43:23,2023-01-09T16:50:47,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40176199999,40153099999,F1003,LLIB,LLHA,remote,40155099999"
Haifa,2023-01-10,19,5.2,12.4,19,2.3,11.7,6.5,68.5,0,0,0,,0,0,24.8,16.5,141.8,1023.4,27.7,10,123,10.7,5,,2023-01-10T06:43:21,2023-01-10T16:51:39,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40176199999,40153099999,F1003,LLIB,LLHA,remote,40155099999"
