name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Hajjiabad,2023-01-01,6,-6.3,-0.5,3.6,-10.4,-3.3,-4,78.1,0,0,0,,0,0.7,24.1,18.4,332.7,1030.4,16,12.4,161.8,14.1,6,10,2023-01-01T06:57:53,2023-01-01T17:07:40,0.31,Clear,Clear conditions throughout the day.,clear-day,"40818099999,remote,OISA"
Hajjiabad,2023-01-02,5,-6,-0.5,5,-9.6,-2.2,-5.5,71.1,0,0,0,,0,0.5,16.6,11.2,304,1033.1,87.9,11.8,133.8,11.5,6,10,2023-01-02T06:58:06,2023-01-02T17:08:23,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40818099999,remote,OISA"
Hajjiabad,2023-01-03,7.4,-5,0.4,7.4,-8.7,-1.1,-4.8,70.3,0,0,0,,0,0.4,18.7,10.8,306.6,1033.1,12,12.4,164.5,14.1,6,10,2023-01-03T06:58:18,2023-01-03T17:09:08,0.38,Clear,Clear conditions throughout the day.,clear-day,"40818099999,remote,OISA"
Hajjiabad,2023-01-04,7.2,-4.3,1.8,6.2,-7.5,-0.1,-3.7,68.9,0.8,100,25,"rain,snow",0,0.3,25.6,9.7,186.6,1026.7,72,15.6,104.1,8.9,4,10,2023-01-04T06:58:28,2023-01-04T17:09:53,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"40818099999,remote,OISA"
Hajjiabad,2023-01-05,9.9,0.7,4.8,6.9,-1.5,2.6,0.1,72.9,2.3,100,50,"rain,snow",0,0.5,35.3,25.2,192.7,1017.4,70.9,20.2,124.7,10.9,5,10,2023-01-05T06:58:37,2023-01-05T17:10:39,0.44,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"40818099999,remote"
Hajjiabad,2023-01-06,8.4,-1.7,2.9,5.9,-4.9,0.7,-2.9,67.2,0,0,0,,0,0.5,32.4,28.8,238.3,1020.6,16.5,20.8,149.4,13.1,6,10,2023-01-06T06:58:44,2023-01-06T17:11:26,0.48,Clear,Clear conditions throughout the day.,clear-day,"40818099999,remote"
Hajjiabad,2023-01-07,9.8,-4.7,1.4,9.4,-9.1,-1.2,-5.4,65.2,0,0,0,,0,0.3,25.9,25.2,244.6,1020.7,36.7,21.6,159.6,13.8,6,10,2023-01-07T06:58:49,2023-01-07T17:12:13,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"40818099999,remote"
Hajjiabad,2023-01-08,8.8,-5.6,1,8.8,-10.2,-1.4,-7.5,57.1,0,0,0,,0,0.3,23.4,21.6,242.8,1021.3,30.2,21.4,165.9,14.2,7,10,2023-01-08T06:58:53,2023-01-08T17:13:02,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40818099999,remote"
Hajjiabad,2023-01-09,7.8,-6.2,1.5,7.2,-11.1,-0.6,-7.4,55.4,1.2,100,16.67,snow,0.1,0.3,23,18,237.2,1020.7,72,17.9,124.1,10.7,5,10,2023-01-09T06:58:54,2023-01-09T17:13:51,0.58,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"40818099999,remote"
Hajjiabad,2023-01-10,4.2,-2.6,0.3,3.4,-9.3,-1.5,-0.9,92,14.6,100,70.83,"rain,snow",9.9,9,30.2,25.2,340.8,1021,83.2,4.2,125.8,10.9,6,10,2023-01-10T06:58:55,2023-01-10T17:14:41,0.61,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"40818099999,remote"
Hajjiabad,2023-01-11,-1.3,-5.6,-3.2,-4,-11,-7.1,-4.7,89.2,0.2,100,8.33,snow,0,11.6,22.3,25.2,338.4,1032.6,85.6,14,116,10,5,10,2023-01-11T06:58:53,2023-01-11T17:15:31,0.65,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"40818099999,remote"
Hajjiabad,2023-01-12,0.6,-10.3,-3.4,0.1,-15.9,-5.7,-7.1,76.3,0,0,0,,0,7.1,16.9,10.8,311.4,1034.9,62.6,17.4,158.2,13.7,7,10,2023-01-12T06:58:50,2023-01-12T17:16:22,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40818099999,remote"
Hajjiabad,2023-01-13,0.4,-10,-5.2,0.4,-14.6,-6.8,-9.1,75.2,0,0,0,,0,3.3,18,8.3,261.4,1032.2,42.9,15.3,175.6,15.1,7,10,2023-01-13T06:58:45,2023-01-13T17:17:13,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40818099999,remote"
Hajjiabad,2023-01-14,6.2,-8.1,-0.6,6.2,-11.9,-1.8,-6.7,64.5,0.1,100,4.17,"rain,snow",0,2.3,19.4,7.2,263.6,1028.1,59.3,19.4,134.2,11.6,6,10,2023-01-14T06:58:38,2023-01-14T17:18:05,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"40818099999,remote"
