name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Hakha,2023-01-01,18.4,3.1,10.3,18.4,3.1,10.3,3.8,66.7,0,0,0,,0,0,29.2,6.5,253.4,1019.8,1.3,22.1,202.9,17.6,8,10,2023-01-01T06:55:48,2023-01-01T17:42:05,0.3,Clear,Clear conditions throughout the day.,clear-day,"48030099999,remote,48031099999"
Hakha,2023-01-02,19.7,0.9,10.3,19.7,0.9,10.3,6.6,80.4,0,0,0,,0,0,23,4.3,167.4,1020.3,28.3,20.5,194.3,16.9,7,10,2023-01-02T06:56:06,2023-01-02T17:42:43,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48030099999,remote,48031099999"
Hakha,2023-01-03,20.9,0.7,11.3,20.9,0.7,11.3,7.8,81.4,0,0,0,,0,0,20.9,4,158.8,1019.9,17.3,20.6,200,17.4,7,10,2023-01-03T06:56:23,2023-01-03T17:43:22,0.37,Clear,Clear conditions throughout the day.,clear-day,"48030099999,remote,48031099999"
Hakha,2023-01-04,20.5,6.1,12,20.5,6.1,12,8.4,80.7,0,0,0,,0,0,21.6,3.6,159.8,1019.6,17.3,20.6,202.7,17.6,7,10,2023-01-04T06:56:39,2023-01-04T17:44:02,0.41,Clear,Clear conditions throughout the day.,clear-day,"48030099999,remote,48031099999"
Hakha,2023-01-05,19.8,3.1,11.3,19.8,3.1,11.3,8.3,84,0,0,0,,0,0,17.3,4.7,123.1,1019.8,25.2,20.4,201.1,17.4,8,10,2023-01-05T06:56:54,2023-01-05T17:44:42,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"48030099999,remote,48031099999"
Hakha,2023-01-06,20.1,4.9,11.5,20.1,4.9,11.5,8.5,83.9,0,0,0,,0,0,22,4.7,121.5,1019.7,29.2,20,200.3,17.3,7,10,2023-01-06T06:57:07,2023-01-06T17:45:22,0.47,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"48030099999,remote,48031099999"
Hakha,2023-01-07,20.4,6.9,12.8,20.4,6.9,12.8,9.5,81.9,0,0,0,,0,0,19.1,4,135.9,1018.4,32.6,21.3,191.5,16.5,7,10,2023-01-07T06:57:20,2023-01-07T17:46:03,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"48030099999,remote,48031099999"
Hakha,2023-01-08,20.4,3.9,12.7,20.4,3.9,12.7,8.9,79.1,0,0,0,,0,0,17.3,3.6,115.9,1017.8,22.7,20,192.1,16.7,7,10,2023-01-08T06:57:30,2023-01-08T17:46:44,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48030099999,remote,48031099999"
Hakha,2023-01-09,20.8,2.9,13,20.8,2.9,13,9.5,81.1,0,0,0,,0,0,24.5,4.3,193.9,1018.7,21.9,20.1,183.3,15.7,7,10,2023-01-09T06:57:40,2023-01-09T17:47:25,0.58,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48030099999,remote,48031099999"
Hakha,2023-01-10,21.8,5.9,13.4,21.8,5.9,13.4,8.8,76.1,0,0,0,,0,0,23.8,5.4,230.4,1017.5,15.3,20.7,194.8,17,7,10,2023-01-10T06:57:48,2023-01-10T17:48:07,0.61,Clear,Clear conditions throughout the day.,clear-day,"48030099999,remote,48031099999"
