name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Hang zhou,1/1/2023,9,2,5.8,8,-0.1,4.9,1.8,76.1,0,0,0,,0,0,21.6,10.8,80.3,1031.6,25.4,4.8,73.9,6.4,4,10,2023-01-01T06:55:41,2023-01-01T17:09:25,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58457099999,ZSHC"
Hang zhou,1/2/2023,8,4.6,6,7,2.5,4.6,2.2,77.6,3.4,100,16.67,rain,0,0,18.4,12.6,323.3,1033.2,88.7,4.3,33,2.8,2,10,2023-01-02T06:55:56,2023-01-02T17:10:07,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"58457099999,ZSHC"
Hang zhou,1/3/2023,10,2.7,6.1,10,0.6,5.3,2.4,78.9,2.1,100,8.33,rain,0,0,20.9,7.2,0.6,1032.8,56.5,6.4,124.1,10.8,6,10,2023-01-03T06:56:08,2023-01-03T17:10:51,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"58457099999,ZSHC"
Hang zhou,1/4/2023,11,0,5.6,11,-2.5,4.6,1.7,79.2,0,0,0,,0,0,28.8,14.4,104.8,1030.7,29.2,5.3,155.1,13.5,6,10,2023-01-04T06:56:20,2023-01-04T17:11:35,0.4,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"58457099999,ZSHC"
Hang zhou,1/5/2023,13,7,9.8,13,5.7,9.7,4.7,71.3,0,0,0,,0,0,18.4,7.2,300.3,1028.8,22,5.5,71.1,6.1,3,10,2023-01-05T06:56:29,2023-01-05T17:12:20,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58457099999,ZSHC"
Hang zhou,1/6/2023,17,6,10.8,17,6,10.6,4.9,69.2,0,0,0,,0,0,27.4,18,261.9,1026.4,8.1,6.3,154,13.2,6,10,2023-01-06T06:56:37,2023-01-06T17:13:06,0.47,Clear,Clear conditions throughout the day.,clear-day,"58457099999,ZSHC"
Hang zhou,1/7/2023,17,3,9.4,17,3,9.1,2.6,66.9,0,0,0,,0,0,19.1,9,179.1,1024.6,0,6.1,157.5,13.5,6,10,2023-01-07T06:56:43,2023-01-07T17:13:53,0.5,Clear,Clear conditions throughout the day.,clear-day,"58457099999,ZSHC"
Hang zhou,1/8/2023,21,3,10.5,21,1.5,10.3,3.1,64.7,0,0,0,,0,0,25.2,10.8,186.1,1022.1,0,7.5,160.5,13.9,6,10,2023-01-08T06:56:48,2023-01-08T17:14:40,0.54,Clear,Clear conditions throughout the day.,clear-day,"58457099999,ZSHC"
Hang zhou,1/9/2023,17.2,5,10.7,17.2,3.4,10.5,5,70.1,0,0,0,,0,0,28.8,18,32.7,1024,8.6,7.1,157.8,13.7,6,10,2023-01-09T06:56:51,2023-01-09T17:15:29,0.57,Clear,Clear conditions throughout the day.,clear-day,"58457099999,ZSHC"
Hang zhou,1/10/2023,11,7.4,9.5,11,6.1,8.8,4,69.1,0,0,0,,0,0,28.8,18,82.7,1027.4,59.8,8.9,107.7,9.2,5,10,2023-01-10T06:56:52,2023-01-10T17:16:17,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58457099999,ZSHC"
Hang zhou,1/11/2023,17,4,9.9,17,4,9.8,6.9,83.7,0,0,0,,0,0,23.4,10.8,84.8,1022.6,10.9,7.3,135.3,11.7,6,10,2023-01-11T06:56:52,2023-01-11T17:17:07,0.64,Clear,Clear conditions throughout the day.,clear-day,"58457099999,ZSHC"
Hang zhou,1/12/2023,22.9,7,14.6,22.9,5.7,14.5,11.5,83.6,2,100,4.17,rain,0,0,21.2,14.4,175.2,1014.7,22.1,5.6,130.3,11.3,6,10,2023-01-12T06:56:50,2023-01-12T17:17:56,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"58457099999,ZSHC"
Hang zhou,1/13/2023,17,15,16.2,17,15,16.2,15.7,96.8,26,100,20.83,rain,0,0,15.8,10.8,49.2,1010.7,68.8,2.6,19.3,1.8,1,10,2023-01-13T06:56:46,2023-01-13T17:18:47,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"58457099999,ZSHC"
Hang zhou,1/14/2023,16.2,3.9,10.9,16.2,-0.5,9.5,9.9,94,14.9,100,20.83,rain,0,0,57.6,28.8,11.1,1015.6,89.6,5.4,10.9,0.8,1,10,2023-01-14T06:56:41,2023-01-14T17:19:38,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"58457099999,ZSHC"
Hang zhou,1/15/2023,4,-1,0.7,-0.8,-6.7,-4.3,-3,76.3,0.2,100,4.17,"rain,snow",0.4,0.1,57.6,28.8,335.8,1028.5,82.3,10.3,34.5,3,2,10,2023-01-15T06:56:34,2023-01-15T17:20:29,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"58457099999,ZSHC"
Hang zhou,1/16/2023,3.1,-1.1,1,0.2,-6.3,-2.7,-7.7,52.9,0,0,0,,0,0.1,43.2,21.6,336.4,1031.4,35.2,11,167.6,14.5,6,10,2023-01-16T06:56:25,2023-01-16T17:21:20,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58457099999,ZSHC"
Hang zhou,1/17/2023,5.1,1,3.4,5,-1.1,2,-6.3,49.5,0,0,0,,0,0,28.8,10.8,313.3,1030,53.4,10.7,153,13.2,6,10,2023-01-17T06:56:14,2023-01-17T17:22:12,0.84,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"58457099999,ZSHC"
Hang zhou,1/18/2023,10,0,4.3,10,-2.5,2.9,-4.6,56.7,0,0,0,,0,0,28.8,18,298.8,1029.9,3.7,9.7,169.9,14.5,7,10,2023-01-18T06:56:02,2023-01-18T17:23:04,0.88,Clear,Clear conditions throughout the day.,clear-day,"58457099999,ZSHC"
Hang zhou,1/19/2023,12,0,5.9,12,-2.5,5.4,-2.7,57.8,0,0,0,,0,0,18,7.2,216.2,1026.9,11.8,9.5,168.8,14.4,7,10,2023-01-19T06:55:49,2023-01-19T17:23:56,0.91,Clear,Clear conditions throughout the day.,clear-day,"58457099999,ZSHC"
Hang zhou,1/20/2023,12,1,7.1,12,-0.1,6.4,-1.5,58.6,0,0,0,,0,0,29.2,18,42.6,1029.7,22.2,9.6,167.4,14.4,7,10,2023-01-20T06:55:33,2023-01-20T17:24:49,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58457099999,ZSHC"
Hang zhou,1/21/2023,11,6,8.4,11,3.7,7.1,3.1,70,0.3,100,4.17,rain,0,0,34.6,18,99.1,1025.7,75.4,10.1,141,12.1,6,10,2023-01-21T06:55:16,2023-01-21T17:25:42,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"58457099999,ZSHC"
Hang zhou,1/22/2023,10,6.8,8.1,10,4.3,7.2,6.3,88.4,1,100,8.33,rain,0,0,28.8,14.4,352.1,1021.1,94.3,5.4,18.7,1.7,1,10,2023-01-22T06:54:57,2023-01-22T17:26:35,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"58457099999,ZSHC"
Hang zhou,1/23/2023,8,5.8,6.7,5.7,1.9,4.4,5.4,91.2,7.9,100,12.5,rain,0,0,36,21.6,347,1023.9,88.7,5.6,16.7,1.6,1,10,2023-01-23T06:54:37,2023-01-23T17:27:28,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"58457099999,ZSHC"
Hang zhou,1/24/2023,5,-2,1.3,0.5,-6.7,-3.8,-7.7,53.9,0.9,100,8.33,"rain,snow",0,0,52.2,32.4,338,1037.2,60.3,9.5,167,14.5,6,10,2023-01-24T06:54:15,2023-01-24T17:28:21,0.08,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"58457099999,ZSHC"
Hang zhou,1/25/2023,4,-6,-1.2,1.3,-10.7,-3.6,-9.7,54.6,0,0,0,,0,0,43.2,18,72.1,1031.6,8.2,10.7,186.6,16.1,7,10,2023-01-25T06:53:51,2023-01-25T17:29:14,0.11,Clear,Clear conditions throughout the day.,clear-day,"58457099999,ZSHC"
Hang zhou,1/26/2023,9.2,-4,3.2,8,-8.3,1.5,-5.1,58.8,0,0,0,,0,0,36,18,338.8,1024.4,20.1,10.4,177.2,15.4,7,10,2023-01-26T06:53:26,2023-01-26T17:30:07,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58457099999,ZSHC"
Hang zhou,1/27/2023,6,0,3.1,2.2,-4.2,-0.4,-9.6,40.4,0,0,0,,0,0,48.6,25.2,338.3,1032,3.3,10.8,183.3,15.7,7,10,2023-01-27T06:52:59,2023-01-27T17:30:59,0.18,Clear,Clear conditions throughout the day.,clear-day,"58457099999,ZSHC"
