name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Hazem Aljalamid,1/1/2023,10.5,4.9,6.9,10.5,1.6,4.5,4.8,86.7,0,0,0,,0,0,34.6,20.9,93.3,1029.8,80.3,,100,8.7,4,,2023-01-01T07:18:30,2023-01-01T17:27:38,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Hazem Aljalamid,1/2/2023,9.9,3.6,6.9,7.5,0.3,4.3,2.4,74.3,0.6,100,20.83,rain,0,0,31,18,86.8,1028.5,41.9,,118.4,10.3,5,,2023-01-02T07:18:43,2023-01-02T17:28:22,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Hazem Aljalamid,1/3/2023,8.6,5.1,7.2,5.7,1,4.2,3.2,75.9,0.2,100,4.17,rain,0,0,34.6,21.2,88,1026.3,96.1,,69.7,5.9,4,,2023-01-03T07:18:55,2023-01-03T17:29:06,0.38,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,remote
Hazem Aljalamid,1/4/2023,5.6,3.3,4.4,1.6,-1.6,0.1,3.5,94.1,15.6,100,70.83,rain,0,0,37.4,24.1,354.8,1018.8,99.7,,32.6,2.8,2,,2023-01-04T07:19:05,2023-01-04T17:29:51,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Hazem Aljalamid,1/5/2023,12.8,3,7.4,12.8,-1.6,5,3.5,77.4,0,0,0,,0,0,34.2,21.2,283.9,1020.3,3.7,,163.8,14.1,6,,2023-01-05T07:19:14,2023-01-05T17:30:38,0.45,Clear,Clear conditions throughout the day.,clear-day,remote
Hazem Aljalamid,1/6/2023,13.7,3.3,8.5,13.7,0.1,7.1,5.2,80.7,0,0,0,,0,0,31.7,18.4,272.5,1022.5,23.2,,139.8,12.1,6,,2023-01-06T07:19:20,2023-01-06T17:31:25,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Hazem Aljalamid,1/7/2023,14.1,6.7,9.9,14.1,4.2,8.5,5.5,75.4,0.4,100,12.5,rain,0,0,36.7,22,255.9,1021.6,31.5,,128.1,11.1,5,,2023-01-07T07:19:25,2023-01-07T17:32:12,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,remote
Hazem Aljalamid,1/8/2023,12.6,5.6,8.8,12.6,4,8,5.9,83.1,0,0,0,,0,0,28.1,19.1,130.2,1020.1,31.6,,138.7,11.9,6,,2023-01-08T07:19:29,2023-01-08T17:33:01,0.55,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Hazem Aljalamid,1/9/2023,7.8,6.4,7,4.7,2.7,3.8,6.7,97.6,14.9,100,62.5,rain,0,0,39.2,22,65.8,1018.6,100,,49.5,4.3,3,,2023-01-09T07:19:30,2023-01-09T17:33:50,0.58,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Hazem Aljalamid,1/10/2023,9.5,5.6,7.2,7.7,2.8,5.1,3.7,79.6,0,0,0,,0,0,26.3,16.9,342.6,1025.2,75.7,,121,10.4,5,,2023-01-10T07:19:30,2023-01-10T17:34:40,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Hazem Aljalamid,1/11/2023,10.9,3.8,6.9,10.9,1.8,5.9,3,77.8,0,0,0,,0,0,13.3,7.9,323.7,1026.6,47.6,,119.9,10.4,6,,2023-01-11T07:19:28,2023-01-11T17:35:31,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Hazem Aljalamid,1/12/2023,10.4,3.4,6.6,10.4,0.8,4.5,2.6,77,0,0,0,,0,0,29.5,17.3,135.6,1023,57.3,,158.9,13.8,7,,2023-01-12T07:19:25,2023-01-12T17:36:22,0.68,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Hazem Aljalamid,1/13/2023,11.9,3.6,7.5,11.9,1.2,5.9,4.5,82,0,0,0,,0,0,22,14.4,111.6,1020.7,53.7,,162.3,14.1,6,,2023-01-13T07:19:20,2023-01-13T17:37:13,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Hazem Aljalamid,1/14/2023,9.8,5.6,7.4,9.8,3.3,5.7,5.9,90.2,0.2,100,8.33,rain,0,0,22.7,13.3,88.8,1019.4,75.5,,71.4,6.1,3,,2023-01-14T07:19:13,2023-01-14T17:38:05,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Hazem Aljalamid,1/15/2023,11.9,5.8,8.4,11.9,3.9,7.2,5.7,85,0,0,0,,0,0,19.1,12.6,192.7,1020.9,54.7,,148.2,12.8,7,,2023-01-15T07:19:04,2023-01-15T17:38:58,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Hazem Aljalamid,1/16/2023,11.5,3.6,7.3,11.5,0.7,5.1,5.1,86.7,0.1,100,4.17,rain,0,0,29.9,16.9,129.1,1019.3,57.9,,140.8,12.2,6,,2023-01-16T07:18:53,2023-01-16T17:39:51,0.82,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,remote
Hazem Aljalamid,1/17/2023,13,6.2,9.1,13,4,8.2,4.5,74.6,0.6,100,12.5,rain,0,0,20.9,13,357.1,1022,36.1,,162,13.9,7,,2023-01-17T07:18:41,2023-01-17T17:40:44,0.85,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,remote
Hazem Aljalamid,1/18/2023,14.9,3.7,9.3,14.9,1.3,8.2,3.3,69,0,0,0,,0,0,19.8,10.8,299.8,1024.8,0.3,,173.5,15.2,7,,2023-01-18T07:18:27,2023-01-18T17:41:38,0.88,Clear,Clear conditions throughout the day.,clear-day,remote
Hazem Aljalamid,1/19/2023,15.1,3.2,8.8,15.1,1,7.7,3.3,70.8,0,0,0,,0,0,13.3,10.4,219.3,1024.8,0,,175.4,15.2,7,,2023-01-19T07:18:12,2023-01-19T17:42:31,0.92,Clear,Clear conditions throughout the day.,clear-day,remote
Hazem Aljalamid,1/20/2023,15.7,3.6,9.7,15.7,1.1,8.5,3.6,67.6,0,0,0,,0,0,33.1,19.8,138.1,1020.8,4.4,,175.9,15.2,7,,2023-01-20T07:17:55,2023-01-20T17:43:26,0.95,Clear,Clear conditions throughout the day.,clear-day,remote
Hazem Aljalamid,1/21/2023,15.6,6.7,10.8,15.6,4.1,9.5,6.3,74.6,0,0,0,,0,0,29.5,17.6,107,1019.4,22.6,,156.8,13.5,6,,2023-01-21T07:17:36,2023-01-21T17:44:20,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Hazem Aljalamid,1/22/2023,14.5,8.3,10.6,14.5,6,9.2,6.7,77.9,0,0,0,,0,0,36,21.6,88.7,1020.4,39.1,,125.9,10.8,5,,2023-01-22T07:17:15,2023-01-22T17:45:14,0.02,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Hazem Aljalamid,1/23/2023,14.1,7.2,9.9,14.1,5.3,8.8,5.4,74.9,0,0,0,,0,0,25.2,13.3,78.2,1022.2,40.8,,146.3,12.6,6,,2023-01-23T07:16:53,2023-01-23T17:46:09,0.05,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Hazem Aljalamid,1/24/2023,13.6,5.7,8.9,13.6,4.3,8.4,4.6,75.9,0,0,0,,0,0,21.6,11.9,92.6,1022.1,35.6,,146.1,12.6,6,,2023-01-24T07:16:29,2023-01-24T17:47:03,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Hazem Aljalamid,1/25/2023,13.2,4.2,8.4,13.2,2.5,7.3,3.1,70.9,0,0,0,,0,0,19.4,11.2,133,1020.3,9.7,,171.9,14.9,6,,2023-01-25T07:16:03,2023-01-25T17:47:58,0.12,Clear,Clear conditions throughout the day.,clear-day,remote
