name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Hong Kong,2023-01-01,18.4,13.5,15.5,18.4,13.5,15.5,8.6,63.7,0,0,0,rain,0,0,38.2,21.8,8.1,1023.6,48.6,11,31.2,2.8,1,10,2023-01-01T07:02:52,2023-01-01T17:50:35,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59493099999,45045099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45039099999,45044099999"
Hong Kong,2023-01-02,20.4,16.4,17.8,20.4,16.4,17.8,10.8,63.8,0.003,100,4.17,rain,0,0,41.4,26,3.8,1023.1,48.5,11.1,56,4.7,2,10,2023-01-02T07:03:11,2023-01-02T17:51:13,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"59493099999,45045099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45039099999,45044099999"
Hong Kong,2023-01-03,18,14.8,16.5,18,14.8,16.5,10.6,68.5,0.004,100,4.17,rain,0,0,43.9,23.2,13.9,1023.9,60.2,10.2,89,7.8,4,10,2023-01-03T07:03:28,2023-01-03T17:51:52,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"59493099999,45045099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45039099999,45044099999"
Hong Kong,2023-01-04,18.8,15.2,16.7,18.8,15.2,16.7,11.3,70.5,0.182,100,4.17,rain,0,0,38.5,19.1,28.9,1023.3,61.7,9.8,104.5,9.1,4,10,2023-01-04T07:03:44,2023-01-04T17:52:31,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"59493099999,45045099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45039099999,45044099999"
Hong Kong,2023-01-05,20.9,16.5,18.5,20.9,16.5,18.5,13.5,73.6,0,0,0,rain,0,0,32,15.4,37.6,1023.2,39.9,8.6,154.1,13.4,6,10,2023-01-05T07:03:59,2023-01-05T17:53:11,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59493099999,45045099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45039099999,45044099999"
Hong Kong,2023-01-06,23.8,16.2,19.8,23.8,16.2,19.8,11.9,62.4,0,0,0,,0,0,42.1,21,22.3,1022.7,38.5,12,180.9,15.7,7,10,2023-01-06T07:04:13,2023-01-06T17:53:51,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59493099999,45045099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45039099999,45044099999"
Hong Kong,2023-01-07,22.3,16.8,19.1,22.3,16.8,19.1,9.6,54.3,0,0,0,,0,0,43.2,20.3,39,1020.4,53.4,13.4,109.6,9.6,5,10,2023-01-07T07:04:26,2023-01-07T17:54:31,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59493099999,45045099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45039099999,45044099999"
Hong Kong,2023-01-08,20.9,16.5,19,20.9,16.5,19,9.5,55.4,0.013,100,4.17,rain,0,0,46.4,21.4,64.1,1019.7,62.4,15.1,87.6,7.6,4,10,2023-01-08T07:04:37,2023-01-08T17:55:12,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"59493099999,45045099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45039099999,45044099999"
Hong Kong,2023-01-09,20.6,17.5,18.7,20.6,17.5,18.7,14.1,75.1,0,0,0,rain,0,0,33.8,23.5,13,1019.4,69,11.2,57.6,4.9,3,10,2023-01-09T07:04:47,2023-01-09T17:55:53,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59493099999,45045099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45039099999,45044099999"
Hong Kong,2023-01-10,18.6,16.8,17.7,18.6,16.8,17.7,16.3,91.5,2.656,100,25,rain,0,0,36,18.2,24.3,1018.7,70.4,10.4,21.9,2,1,10,2023-01-10T07:04:55,2023-01-10T17:56:34,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59493099999,45045099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45039099999,45044099999"
Hong Kong,2023-01-11,20.3,16.6,18.2,20.3,16.6,18.2,15.9,86.7,6.327,100,29.17,rain,0,0,43.2,18.6,72.3,1017.5,69.4,9.7,83.8,7.3,4,10,2023-01-11T07:05:03,2023-01-11T17:57:16,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59493099999,45045099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45039099999,45044099999"
Hong Kong,2023-01-12,21.5,17.6,19.6,21.5,17.6,19.6,17,85.4,0.009,100,8.33,rain,0,0,40.7,24.3,93.5,1014,68,12.4,83.7,7.3,3,10,2023-01-12T07:05:08,2023-01-12T17:57:58,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"59493099999,45045099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45039099999,45044099999"
