name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Hyderabad,1/1/2023,30.9,19,24.8,30,19,24.8,17.1,65.9,0,0,0,,0,0,20.5,10.8,130,1017.8,46,5.5,162,13.9,7,10,2023-01-01T06:46:17,2023-01-01T17:52:45,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Hyderabad,1/2/2023,29.5,19,23.9,29.1,19,24,17,67.3,0,0,0,,0,0,27.4,14.4,113.4,1018.1,32.1,5.3,186.3,16.2,7,10,2023-01-02T06:46:38,2023-01-02T17:53:21,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Hyderabad,1/3/2023,28.8,18,23.2,28.8,18,23.3,16.4,67.5,0,0,0,,0,0,25.9,14.6,117.8,1018.3,36,4.7,185.1,16,7,10,2023-01-03T06:46:58,2023-01-03T17:53:57,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Hyderabad,1/4/2023,27.9,18,23.2,27.8,18,23.2,16.3,68,0,0,0,,0,0,30.6,14.9,124,1017.6,39.2,5,202.7,17.5,8,10,2023-01-04T06:47:17,2023-01-04T17:54:34,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Hyderabad,1/5/2023,26.6,19,22.3,26.6,19,22.3,17.3,74.1,0,0,0,rain,0,0,30.6,16.7,114.9,1018.7,36.5,4.1,141.1,12,6,10,2023-01-05T06:47:35,2023-01-05T17:55:10,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Hyderabad,1/6/2023,25,19,21.7,25,19,21.7,18.2,80.9,0,0,0,rain,0,0,24.1,15.7,82.8,1020.3,77.5,2.8,151.9,13.2,6,10,2023-01-06T06:47:52,2023-01-06T17:55:47,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Hyderabad,1/7/2023,28.5,17.9,21.7,27.5,17.9,21.7,13.3,63.5,0,0,0,,0,0,33.5,18.8,51.7,1019.6,47.5,4,216,18.6,8,10,2023-01-07T06:48:08,2023-01-07T17:56:24,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Hyderabad,1/8/2023,28.1,12,19.7,26.7,12,19.5,6.3,49.5,0,0,0,,0,0,27.4,16.7,54.4,1018.5,8.4,5.2,235.9,20.4,8,10,2023-01-08T06:48:22,2023-01-08T17:57:01,0.54,Clear,Clear conditions throughout the day.,clear-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Hyderabad,1/9/2023,29,12.1,19.5,27.4,12.1,19.2,5.3,46.6,0,0,0,,0,0,21.6,11.6,81.3,1019.2,0.2,5.3,233.9,20.4,8,10,2023-01-09T06:48:36,2023-01-09T17:57:38,0.58,Clear,Clear conditions throughout the day.,clear-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Hyderabad,1/10/2023,29.2,10.5,20,27.6,10.5,19.6,7.9,52.9,0,0,0,,0,0,23.4,12.8,81.3,1018.5,1.3,5.3,234.1,20.4,8,10,2023-01-10T06:48:48,2023-01-10T17:58:16,0.61,Clear,Clear conditions throughout the day.,clear-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Hyderabad,1/11/2023,29.8,13.2,21.3,28.2,13.2,20.9,9.5,52.2,0,0,0,,0,0,16.9,9.4,148.6,1016.4,2.3,5.2,232.8,20.4,8,10,2023-01-11T06:48:59,2023-01-11T17:58:53,0.64,Clear,Clear conditions throughout the day.,clear-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Hyderabad,1/12/2023,30.9,14.1,22.1,29.1,14.1,21.7,10.9,53.1,0,0,0,,0,0,19.8,10.9,165.8,1014.8,0.2,5.4,230.2,19.8,8,10,2023-01-12T06:49:09,2023-01-12T17:59:30,0.68,Clear,Clear conditions throughout the day.,clear-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
Hyderabad,1/13/2023,30.4,15.1,22.7,29.2,15.1,22.4,12.3,55.6,0,0,0,,0,0,20.2,11.2,135.9,1015,5.3,5.2,229.3,19.7,8,10,2023-01-13T06:49:18,2023-01-13T18:00:08,0.71,Clear,Clear conditions throughout the day.,clear-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
