name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Isfahan,1/1/2023,8.7,-8,0,7.6,-11.9,-2.3,-5.8,68.2,0,0,0,,0,0,15.1,11.2,301.8,1030.3,0,5.1,154.5,13.5,6,,2023-01-01T07:05:26,2023-01-01T17:08:02,0.31,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
Isfahan,1/2/2023,7.3,-10,-0.8,7.2,-16.7,-2.5,-7.3,65.2,0,0,0,,0,0,12.2,14.8,302.8,1032.9,12.3,6.1,154.1,13.4,6,,2023-01-02T07:05:39,2023-01-02T17:08:46,0.34,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
Isfahan,1/3/2023,8.5,-9,-0.9,8.5,-13.2,-2.3,-8,63.3,0,0,0,,0,0,13.3,11.2,309.6,1033.2,0,4.7,158.6,13.7,6,,2023-01-03T07:05:50,2023-01-03T17:09:31,0.38,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
Isfahan,1/4/2023,6,-8,-0.2,5.8,-13.2,-1.9,-6.9,62.9,0,0,0,,0,0,18,11.2,304.5,1027.2,65.5,4.4,115.1,9.8,4,,2023-01-04T07:05:59,2023-01-04T17:10:17,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,1/5/2023,6.3,-1,2.1,6.3,-2.6,0.7,0.5,89.8,6.9,100,54.17,"rain,snow",0,0,24.5,14.8,303.5,1019.3,63.3,2.9,80.3,6.9,4,,2023-01-05T07:06:06,2023-01-05T17:11:05,0.44,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"OIFM,40800099999"
Isfahan,1/6/2023,9.2,-3,1.9,8.7,-3,1.1,1.2,95.6,0,0,0,,0,0,19.4,11.2,326.7,1021,53.4,1.3,133,11.6,5,,2023-01-06T07:06:12,2023-01-06T17:11:53,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,1/7/2023,8.8,-6,0.7,7.8,-7.3,-0.2,-2.1,83.9,0,0,0,,0,0,16.2,7.6,206.6,1020.4,44.1,3.3,149.7,13,6,,2023-01-07T07:06:16,2023-01-07T17:12:42,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,1/8/2023,10.1,-5,2.5,10.1,-8.4,1,-5.9,58.3,0,0,0,,0,0,16.2,14.8,205.7,1020.2,1.9,8.6,157.1,13.6,6,,2023-01-08T07:06:18,2023-01-08T17:13:32,0.55,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
Isfahan,1/9/2023,7.3,-6,1.6,7.3,-9.6,-0.1,-5.6,62.2,0.3,100,12.5,rain,0,0,14.8,11.2,314.3,1021,55.8,10,131.2,11.3,5,,2023-01-09T07:06:18,2023-01-09T17:14:22,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"OIFM,40800099999"
Isfahan,1/10/2023,3.4,-1,0.7,3.4,-4.4,-1.1,0.1,96,16.9,100,100,"rain,snow",6.9,3.6,22.3,18.4,309,1021,97.3,4.7,63.4,5.6,3,,2023-01-10T07:06:17,2023-01-10T17:15:14,0.61,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"OIFM,40800099999"
Isfahan,1/11/2023,1.2,-3,-0.8,1.2,-6,-2.4,-1.6,94.2,0.9,100,37.5,"rain,snow",0.4,5.4,22,14.8,163.1,1029.6,88.9,5.1,110.9,9.6,4,,2023-01-11T07:06:14,2023-01-11T17:16:06,0.65,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"OIFM,40800099999"
Isfahan,1/12/2023,1.9,-3,-1,0,-7.2,-3.9,-4.8,76.7,0,0,0,,0,3.4,16.6,14.8,141.5,1030.8,66.1,8.8,158.1,13.8,6,,2023-01-12T07:06:09,2023-01-12T17:16:58,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,1/13/2023,0,-3,-1.4,0,-6,-2.8,-6.3,69.8,0,0,0,,0,1.6,18.4,11.2,248.9,1028.7,79.9,9.9,163.6,14,6,,2023-01-13T07:06:02,2023-01-13T17:17:52,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,1/14/2023,3.7,-5,-0.4,3.7,-6.9,-0.9,-4,77.5,0,0,0,,0,0.9,13,7.6,79.8,1026.9,75.9,5.6,138,12,6,,2023-01-14T07:05:53,2023-01-14T17:18:46,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,1/15/2023,7.6,-3,2.2,7,-3,1.5,0.1,86.9,0.4,100,12.5,"rain,snow",0,0.4,18.7,9.1,301.3,1022.5,34.3,3.5,145.1,12.4,6,,2023-01-15T07:05:43,2023-01-15T17:19:40,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"OIFM,40800099999"
Isfahan,1/16/2023,11.3,-1,3.9,11.3,-2.6,3.1,0.4,80,0,0,0,,0,0.1,14.8,7.6,291.5,1021.4,16,3.9,131.4,11.2,5,,2023-01-16T07:05:30,2023-01-16T17:20:35,0.81,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
Isfahan,1/17/2023,3.8,-4,0.8,3.8,-7.3,-1.1,-0.1,93.7,8.5,100,58.33,"rain,snow",2.6,1.2,14.8,14.8,293.5,1020.1,73.6,3.1,44.2,3.7,2,,2023-01-17T07:05:16,2023-01-17T17:21:30,0.85,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"OIFM,40800099999"
Isfahan,1/18/2023,6,-1,1.5,4.4,-3.7,-0.8,0.2,91.7,0.1,100,4.17,rain,0.5,1.3,18.7,25.9,167.7,1022.5,49.3,3.1,151.1,12.9,6,,2023-01-18T07:05:01,2023-01-18T17:22:25,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"OIFM,40800099999"
Isfahan,1/19/2023,6.8,-2,0.9,5,-6.2,-1.3,-0.8,89.7,0,0,0,,0,0,14.4,18.4,178.9,1025.6,64.8,1.3,164.8,14.2,7,,2023-01-19T07:04:43,2023-01-19T17:23:21,0.92,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,1/20/2023,3.3,-3,-0.7,2.8,-6.1,-2.5,-1.4,95.5,0,0,0,,0,0,14,11.2,168.1,1027.6,86.5,0.9,168.9,14.6,7,,2023-01-20T07:04:24,2023-01-20T17:24:17,0.95,Partially cloudy,Partly cloudy throughout the day.,fog,"OIFM,40800099999"
Isfahan,1/21/2023,3.9,-5,-0.2,2.7,-8.4,-1.9,-2.2,87.4,0,0,0,,0,0,13,11.2,98.1,1026.5,62.4,1.9,174.4,14.9,7,,2023-01-21T07:04:03,2023-01-21T17:25:14,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,1/22/2023,2.4,-3.7,-0.8,0.5,-6.1,-2.3,-2.1,91.1,0,0,0,,0,0,18.4,14.8,131.7,1027.2,60.9,2.7,126.8,10.8,5,,2023-01-22T07:03:40,2023-01-22T17:26:10,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,1/23/2023,5,-4,0.1,4.1,-4,-0.6,-4.6,73.5,0,0,0,,0,0,16.2,11.2,164.1,1026.6,50.6,5.8,160.2,13.8,6,,2023-01-23T07:03:16,2023-01-23T17:27:07,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,1/24/2023,5.4,-7,0.1,3.8,-9.6,-2.1,-6.2,66.4,0,0,0,,0,0,18,18.4,144.4,1025.9,30.2,9.3,163.9,14.1,7,,2023-01-24T07:02:49,2023-01-24T17:28:04,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,1/25/2023,6,-8,0,6,-8.4,-1.9,-7.9,57.3,0,0,0,,0,0,17.6,22.3,121.3,1023.4,19.3,9.9,178.2,15.4,7,,2023-01-25T07:02:22,2023-01-25T17:29:01,0.12,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
Isfahan,1/26/2023,7.4,-6,1.2,6.2,-9.6,-0.3,-5.3,64.6,0,0,0,,0,0,18.7,18.4,126.8,1021.9,62.2,9.8,168.6,14.4,7,,2023-01-26T07:01:52,2023-01-26T17:29:58,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,1/27/2023,6.2,-4,1,6.2,-6.1,-1,-0.8,89.3,1.4,100,45.83,"rain,snow",0.2,1.3,14,16.3,98.7,1021.2,69.5,6.1,135.1,11.6,6,,2023-01-27T07:01:21,2023-01-27T17:30:55,0.18,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"OIFM,40800099999"
Isfahan,1/28/2023,7.2,-7,-0.1,6,-8.4,-1.7,-5.3,73.3,0,0,0,,0,0.7,22.3,9.2,140,1021.3,32.6,6.5,188.4,16.4,7,,2023-01-28T07:00:48,2023-01-28T17:31:52,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,1/29/2023,11.1,-4,3.1,11.1,-7.3,2,-4,62.7,0.2,100,4.17,"rain,snow",0,0.1,25.9,14.8,74.6,1016.4,51.9,8.5,181.4,15.6,7,,2023-01-29T07:00:14,2023-01-29T17:32:49,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"OIFM,40800099999"
Isfahan,1/30/2023,10,1,5.7,10,-1.4,3.7,0.8,72.6,0.8,100,12.5,rain,0,0,23.8,29.5,233.1,1015.8,78,9,132,11.3,5,,2023-01-30T06:59:38,2023-01-30T17:33:46,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"OIFM,40800099999"
Isfahan,1/31/2023,8.9,0,4.3,6.9,-2.6,2.3,2.9,92,3.8,100,50,rain,0,0,51.5,36,152.8,1013.7,95.3,5.1,99.2,8.4,5,,2023-01-31T06:59:01,2023-01-31T17:34:43,0.32,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"OIFM,40800099999"
Isfahan,2/1/2023,7.4,2,4.9,6.2,0.6,3,3.4,89.7,1.1,100,29.17,rain,0,0,28.1,35.3,225.7,1012.5,84.4,8.7,159.5,13.9,6,,2023-02-01T06:58:22,2023-02-01T17:35:40,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"OIFM,40800099999"
Isfahan,2/2/2023,11.7,-2.2,3.2,11.7,-4.9,1.8,-2.5,71.8,0,0,0,,0,0,33.5,29.5,281.6,1016.8,27,6.3,188.1,16.3,7,,2023-02-02T06:57:41,2023-02-02T17:36:36,0.39,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,2/3/2023,11.4,-2,4.6,11.4,-4.7,2.7,-7.2,44.6,0,0,0,,0,0,19.1,25.9,271.2,1020.4,0.2,10.3,197.6,17,7,,2023-02-03T06:56:59,2023-02-03T17:37:33,0.42,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
Isfahan,2/4/2023,9,-6,1.4,9,-10.8,0.3,-7.2,58.4,0,0,0,,0,0,18.4,11.2,313.3,1018.6,27.2,10.2,197.4,17.1,7,,2023-02-04T06:56:16,2023-02-04T17:38:29,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,2/5/2023,11,-7,3.6,11,-8,1.8,-9.1,42.2,0,0,0,,0,0,21.2,25.9,266.8,1017.5,2.1,10.3,201.9,17.4,7,,2023-02-05T06:55:31,2023-02-05T17:39:25,0.5,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
Isfahan,2/6/2023,12.3,-3,4.2,12.3,-6.1,3.1,-3.7,60.7,0,0,0,,0,0,24.5,22.3,213.2,1017.9,75.1,9.9,182.5,15.6,7,,2023-02-06T06:54:44,2023-02-06T17:40:21,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,2/7/2023,16,-3,5.8,16,-3.7,4.7,-1.7,66,0,0,0,,0,0,53.6,35.3,249.9,1013,15,9.2,200.1,17.4,7,,2023-02-07T06:53:57,2023-02-07T17:41:16,0.55,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
Isfahan,2/8/2023,12.2,-2,5.3,12.2,-4.3,2.8,-7,47.8,0,0,0,,0,0,50.8,42.5,251.3,1012.8,17.8,8.8,203.9,17.7,7,,2023-02-08T06:53:08,2023-02-08T17:42:12,0.59,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
Isfahan,2/9/2023,8.3,-3,2.4,5.3,-8,-1.1,-10.8,40.2,0,0,0,,0,0,39.2,35.3,267.5,1017.1,7.7,10,205.9,17.7,8,,2023-02-09T06:52:17,2023-02-09T17:43:07,0.62,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
Isfahan,2/10/2023,5.8,-6,0.2,4,-11.2,-3,-11.8,42.6,0,0,0,,0,0,20.5,18.4,333,1023.5,30,10.2,197.2,17.1,7,,2023-02-10T06:51:26,2023-02-10T17:44:01,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,2/11/2023,8.9,-5,1.9,7.9,-8.4,0.6,-8.9,46.1,0,0,0,,0,0,23,14.8,110.5,1024.1,21.7,10,210.4,18.2,8,,2023-02-11T06:50:33,2023-02-11T17:44:56,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OIFM,40800099999"
Isfahan,2/12/2023,9.3,-3,3.8,9.2,-7.2,2.5,-2.3,64.7,5.5,100,45.83,"rain,snow",0,0.9,28.8,14.8,77.4,1018.3,73.2,8.1,114.3,9.8,4,,2023-02-12T06:49:39,2023-02-12T17:45:50,0.73,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"OIFM,40800099999"
Isfahan,2/13/2023,9,2,6.3,6.9,-0.7,3.7,0,64.6,2.5,100,75,rain,0,0.7,40,38.9,253.7,1019.1,75.3,9.7,123.1,10.8,5,,2023-02-13T06:48:43,2023-02-13T17:46:43,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"OIFM,40800099999"
Isfahan,2/14/2023,6.3,1,4.2,6.2,-1.4,3.2,3.1,92.5,9.9,100,75,"rain,snow",0,0.2,18,14.8,25.6,1019.2,86.6,5.8,66.6,5.6,3,,2023-02-14T06:47:47,2023-02-14T17:47:37,0.8,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"OIFM,40800099999"
Isfahan,2/15/2023,9,2,5.9,5.3,-0.2,3.2,5,94.4,18.6,100,100,rain,0,0.1,44.6,38.9,182.6,1013.2,100,4.8,60.6,5,3,,2023-02-15T06:46:49,2023-02-15T17:48:30,0.83,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"OIFM,40800099999"
Isfahan,2/16/2023,12.2,0,5.5,12.2,-3,3.3,-0.5,69.1,1.2,100,25,rain,0,0,41.8,35.3,279.6,1016.7,51.6,9.3,194.9,16.9,7,,2023-02-16T06:45:50,2023-02-16T17:49:23,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OIFM,40800099999"
Isfahan,2/17/2023,9.2,-3,3,8.2,-6,1.5,-3.9,64.6,0,0,0,,0,0,17.6,14.8,308.5,1023.1,3.1,10,215.9,18.7,8,,2023-02-17T06:44:50,2023-02-17T17:50:15,0.9,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
Isfahan,2/18/2023,11,-2.3,3.7,11,-6,2.1,-4.9,58.5,0,0,0,,0,0,15.1,14.8,297.6,1023.7,1.4,10,225.4,19.4,8,,2023-02-18T06:43:49,2023-02-18T17:51:07,0.93,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
Isfahan,2/19/2023,12.8,-3.8,3.8,12.8,-6.1,2.3,-8.3,46.6,0,0,0,,0,0,21.2,18.4,306.4,1024,1.7,10.3,232,20.1,8,,2023-02-19T06:42:47,2023-02-19T17:51:59,0.97,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
Isfahan,2/20/2023,15.2,-3,4.7,15.2,-6.1,3.8,-5.5,53.9,0,0,0,,0,0,14.8,11.2,344.8,1022.7,0,10.8,230.6,19.8,8,,2023-02-20T06:41:44,2023-02-20T17:52:50,0,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
Isfahan,2/21/2023,15,-3,5.4,15,-6.1,3.9,-3.8,56.7,0,0,0,,0,0,47.2,42.5,274,1018.5,8.5,10,228,19.7,8,,2023-02-21T06:40:40,2023-02-21T17:53:41,0.03,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
Isfahan,2/22/2023,17.3,-2,7.5,17.3,-4.9,6.6,-3.9,49.5,0,0,0,,0,0,22,18.4,322,1018.6,14.6,10,231.8,20,8,,2023-02-22T06:39:35,2023-02-22T17:54:31,0.07,Clear,Clear conditions throughout the day.,clear-day,"OIFM,40800099999"
