name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Islamabad,1/1/2023,17.4,4.8,10,17.4,3.3,9.4,3.3,66.6,0,0,0,,0,0,16.9,7.9,19.4,1020.4,11.2,4.1,138.5,12,6,,2023-01-01T07:12:29,2023-01-01T17:09:50,0.3,Clear,Clear conditions throughout the day.,clear-day,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
Islamabad,1/2/2023,16.9,4.6,9.7,16.9,4.6,9.7,3.3,67.4,0,0,0,,0,0,20.2,9.8,332.7,1022,0.9,3.9,135.8,11.7,6,,2023-01-02T07:12:41,2023-01-02T17:10:35,0.34,Clear,Clear conditions throughout the day.,clear-day,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
Islamabad,1/3/2023,17.3,0.6,8.8,17.3,0.6,8.6,2.8,68.7,0,0,0,,0,0,24.5,10.4,344.2,1023.2,0.4,5.7,137.6,11.8,6,,2023-01-03T07:12:51,2023-01-03T17:11:21,0.37,Clear,Clear conditions throughout the day.,clear-day,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
Islamabad,1/4/2023,17.5,3.7,9,17.5,2.1,8.5,1.5,63.3,0,0,0,,0,0,17.3,9.9,350.4,1023.2,0,3.7,138.3,11.9,6,,2023-01-04T07:13:00,2023-01-04T17:12:08,0.41,Clear,Clear conditions throughout the day.,clear-day,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
Islamabad,1/5/2023,16.7,3.9,9.3,16.7,2.7,9.1,1,60.7,0,0,0,,0,0,16.9,7,19,1024,0,3.9,141,12.1,6,,2023-01-05T07:13:06,2023-01-05T17:12:56,0.44,Clear,Clear conditions throughout the day.,clear-day,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
Islamabad,1/6/2023,13.8,0.4,8.4,13.8,0.4,8,0.7,60.7,0,0,0,,0,0,15.1,7.2,82,1024.2,77.8,3.7,89.4,7.8,4,,2023-01-06T07:13:11,2023-01-06T17:13:45,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
Islamabad,1/7/2023,14,5.7,10.1,14,4.2,9.7,3.3,65,0,0,0,,0,0,15.8,10.2,12.6,1022.6,89.3,2.7,73.4,6.3,4,,2023-01-07T07:13:14,2023-01-07T17:14:35,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
Islamabad,1/8/2023,14.5,6.5,10.5,14.5,6.1,10.2,5.4,70.9,0.696,100,16.67,rain,0,0,29.9,10.2,29.3,1020.1,76.7,2.3,42.3,3.6,2,,2023-01-08T07:13:15,2023-01-08T17:15:26,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
Islamabad,1/9/2023,17.9,7.3,12.4,17.9,7.3,12.1,7.2,71.4,0.07,100,4.17,rain,0,0,23.8,13.1,345.7,1020.6,63.1,2.8,113.7,9.8,4,,2023-01-09T07:13:15,2023-01-09T17:16:18,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
Islamabad,1/10/2023,17.2,4.2,11.6,17.2,4.2,11.5,6.3,71.5,0.088,100,4.17,rain,0,0,19.8,22.9,330,1019.6,58.7,3.6,134.3,11.6,6,,2023-01-10T07:13:12,2023-01-10T17:17:11,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
Islamabad,1/11/2023,12.5,9,10.9,12.5,7.7,10.7,8.2,83.7,16.39,100,20.83,rain,0,0,24.5,19.4,70.8,1014.9,95.4,1.9,32.2,2.7,2,,2023-01-11T07:13:08,2023-01-11T17:18:04,0.65,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
Islamabad,1/12/2023,11.8,6.6,9.9,11.8,6.6,9.8,7.6,85.4,0.527,100,25,rain,0,0,33.5,10.1,29.9,1014.3,88.8,3,57.3,5,4,,2023-01-12T07:13:01,2023-01-12T17:18:58,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
