name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Izmir,2023-01-01,16.9,7.2,10.9,16.9,6.8,10.6,7.1,79.3,0.004,100,4.17,rain,0,0,25.2,7.8,136,1030.3,0,8.1,110.8,9.6,5,,2023-01-01T08:28:47,2023-01-01T18:01:06,0.31,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"17232099999,17219099999,LTBJ,17220099999,17218099999,17186099999"
Izmir,2023-01-02,16,5.1,9.5,16,5.1,9.3,5,75.3,0,0,0,,0,0,20.9,7.4,145.2,1030.3,0,9.5,114.7,9.9,5,,2023-01-02T08:28:56,2023-01-02T18:01:55,0.34,Clear,Clear conditions throughout the day.,clear-day,"17219099999,LTBJ,17220099999,17218099999,17186099999"
Izmir,2023-01-03,16.5,4.9,8.8,16.5,3.9,8.3,3.9,73.1,0,0,0,,0,0,15.1,7.3,140,1028.1,0,9.8,118,10.1,5,,2023-01-03T08:29:02,2023-01-03T18:02:45,0.38,Clear,Clear conditions throughout the day.,clear-day,"17219099999,LTBJ,17220099999,17218099999,17186099999"
Izmir,2023-01-04,14.1,3.7,8.8,14.1,2.6,8.6,4.1,73.8,0,0,0,,0,0,27,9.7,228.6,1025.2,2.9,8,115.8,10,5,,2023-01-04T08:29:06,2023-01-04T18:03:36,0.41,Clear,Clear conditions throughout the day.,clear-day,"17219099999,LTBJ,17220099999,17218099999,17186099999"
Izmir,2023-01-05,14.6,7.5,10,14.6,6.9,9.8,6.2,77.6,0.004,100,4.17,rain,0,0,25.9,11.5,154.2,1021.9,12.4,7.9,105.5,9,4,,2023-01-05T08:29:08,2023-01-05T18:04:29,0.45,Rain,Clear conditions throughout the day with morning rain.,rain,"17232099999,17219099999,LTBJ,17220099999,17218099999,17186099999"
Izmir,2023-01-06,16.7,7.7,10.9,16.7,5.9,10.3,7.2,79.2,0,0,0,,0,0,23.4,12.3,118.3,1021.6,10.8,6.3,102.4,8.9,4,,2023-01-06T08:29:08,2023-01-06T18:05:22,0.48,Clear,Clear conditions throughout the day.,clear-day,"17232099999,17219099999,LTBJ,17220099999,17218099999,17186099999"
Izmir,2023-01-07,16.1,6.4,10.2,16.1,5,9.9,4.4,69.4,0,0,0,,0,0,27.4,9.7,148.7,1023.4,0,11.2,116.1,10,5,,2023-01-07T08:29:06,2023-01-07T18:06:18,0.5,Clear,Clear conditions throughout the day.,clear-day,"17232099999,17219099999,LTBJ,17220099999,17218099999,17186099999"
Izmir,2023-01-08,14.6,4.7,8.9,14.6,4.7,8.5,2.7,66.6,0,0,0,,0,0,22.3,10,160.9,1021.3,0,13,119,10.2,5,,2023-01-08T08:29:02,2023-01-08T18:07:14,0.55,Clear,Clear conditions throughout the day.,clear-day,"17232099999,17219099999,LTBJ,17220099999,17218099999,17186099999"
Izmir,2023-01-09,16.5,4.5,9.6,16.5,3.7,9.4,2.4,62.6,0,0,0,,0,0,25.6,8.8,126.5,1021.1,0.7,12.7,120,10.3,5,,2023-01-09T08:28:55,2023-01-09T18:08:11,0.58,Clear,Clear conditions throughout the day.,clear-day,"17232099999,17219099999,LTBJ,17220099999,17218099999,17186099999"
Izmir,2023-01-10,17.1,9.3,12.6,17.1,6.6,12.4,8,74.7,28.448,100,4.17,rain,0,0,82.1,28.2,128.7,1016.1,66.4,14.4,67.4,5.5,3,,2023-01-10T08:28:47,2023-01-10T18:09:10,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"17232099999,17219099999,LTBJ,17220099999,17218099999,17186099999"
Izmir,2023-01-11,13.1,10.6,11.5,13.1,10.6,11.5,9.7,88.9,11.175,100,12.5,rain,0,0,54.7,22.5,131.7,1012.9,86.1,16.9,33.5,2.9,2,,2023-01-11T08:28:36,2023-01-11T18:10:09,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17232099999,17219099999,LTBJ,17220099999,17218099999,17186099999"
Izmir,2023-01-12,16.4,8.5,11.2,16.4,7,11,7.9,81,0.483,100,8.33,rain,0,0,22,10.8,118.6,1015.7,49.9,17,111.8,9.6,5,,2023-01-12T08:28:24,2023-01-12T18:11:09,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"17232099999,17219099999,LTBJ,17184099999,17220099999,17218099999,17186099999"
