name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Jaffna,2023-01-01,29,23.6,26.5,32.8,23.6,27.3,22.3,78.3,0,0,0,rain,0,0,33.5,22.3,37,1015.2,46.5,22.6,219.2,18.9,8,10,2023-01-01T06:26:13,2023-01-01T18:00:25,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43413099999,remote,43404099999"
Jaffna,2023-01-02,28.7,24.9,26.4,31.4,24.9,27.1,21.1,72.9,0,0,0,,0,0,33.5,23.4,54.8,1014.9,63.2,22.7,206.3,17.8,7,10,2023-01-02T06:26:38,2023-01-02T18:00:57,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43413099999,remote,43404099999"
Jaffna,2023-01-03,28.2,21.2,25.9,30.9,21.2,26.4,21.4,76.8,4.999,100,4.17,rain,0,0,38.2,26.3,43,1014.9,44.3,22.3,229.8,19.8,8,10,2023-01-03T06:27:01,2023-01-03T18:01:29,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43413099999,remote,43404099999"
Jaffna,2023-01-04,28.6,21.2,26.2,30.7,21.2,26.7,21.2,74.8,0,0,0,rain,0,0,35.6,25.2,50.1,1013.8,64.8,22.6,235.3,20.3,8,10,2023-01-04T06:27:24,2023-01-04T18:02:01,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43413099999,remote,43404099999"
Jaffna,2023-01-05,28.7,22.7,26.4,32,22.7,27.4,22.3,78.4,0.2,100,4.17,rain,0,0,41.4,28.1,44.8,1013.7,52.6,22.2,196.6,16.8,7,10,2023-01-05T06:27:46,2023-01-05T18:02:34,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43413099999,remote,43404099999"
Jaffna,2023-01-06,27.3,24.2,26.1,30.2,24.2,26.5,22.7,81.6,2.801,100,16.67,rain,0,0,39.2,30.2,39.3,1014.3,90.9,22.1,56.1,5,3,10,2023-01-06T06:28:08,2023-01-06T18:03:06,0.48,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"43413099999,remote,43404099999"
Jaffna,2023-01-07,28,25.6,26.3,31.2,25.6,26.7,22.5,79.6,0.703,100,12.5,rain,0,0,46.4,33.1,40.9,1014.1,68.3,22.2,171.8,14.9,7,10,2023-01-07T06:28:28,2023-01-07T18:03:38,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43413099999,remote,43404099999"
Jaffna,2023-01-08,28.4,25.2,26.2,31,25.2,26.6,22,77.6,0,0,0,,0,0,41.8,29.5,46,1013.7,39,22.7,227.9,19.6,8,10,2023-01-08T06:28:48,2023-01-08T18:04:09,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43413099999,remote,43404099999"
Jaffna,2023-01-09,27.7,24.7,25.6,29.1,24.7,25.7,20.2,72.1,0,0,0,,0,0,40,28.4,41.1,1015.1,35.1,22.6,236.8,20.4,8,10,2023-01-09T06:29:07,2023-01-09T18:04:41,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43413099999,remote,43404099999"
Jaffna,2023-01-10,28.2,20.1,25.3,28.9,20.1,25.4,18.8,67.6,0,0,0,,0,0,37.8,25.9,34.7,1014.8,52.8,22.7,220.2,19,8,10,2023-01-10T06:29:25,2023-01-10T18:05:12,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43413099999,remote,43404099999"
