name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kamchatka,2023-01-01,11.1,8,9.7,11.1,5.1,7.5,7,83.6,0,0,0,,0,0,46.8,28.8,211.6,1030.6,78.9,8.7,43.8,3.7,2,,2023-01-01T08:06:49,2023-01-01T16:59:10,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-02,13.1,7,10.3,13.1,4.3,8.3,8.1,86.4,0,0,0,,0,0,44.3,32.4,204.3,1030.2,36.2,8.9,72.2,6.2,3,,2023-01-02T08:06:52,2023-01-02T17:00:04,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-03,13,6,9,13,3.1,7,6.7,86.1,0,0,0,,0,0,39.6,28.8,192.4,1025.9,35.5,9.9,74.5,6.3,3,,2023-01-03T08:06:52,2023-01-03T17:01:01,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-04,10,1,6.7,8.5,-1.3,4.8,5,89,0,0,0,,0,0,31.7,18,310.3,1021.7,79.5,8.4,26.9,2.2,1,,2023-01-04T08:06:49,2023-01-04T17:01:59,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-05,10,-3,4.4,5.7,-7.1,1.3,1.8,84.1,0,0,0,,0,0,68.4,46.8,209.4,1018.3,79.7,9.8,51.3,4.5,3,,2023-01-05T08:06:44,2023-01-05T17:02:59,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-06,11,4,8.7,11,-1.1,5.5,6.6,86.7,0,0,0,,0,0,75.6,46.8,266.3,1010,79.2,7.3,40.7,3.6,2,,2023-01-06T08:06:37,2023-01-06T17:04:01,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-07,3,-7,-2.1,-1.6,-14.3,-8,-5.9,75.3,0,0,0,,0,0,46.4,28.8,16.1,1023.5,67.6,10,29.3,2.6,1,,2023-01-07T08:06:26,2023-01-07T17:05:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-08,-7,-12,-9.1,-13.9,-20.7,-17.4,-12.9,74.7,0,0,0,,0,0.3,49.3,36,70.8,1028.7,29.2,10,83.2,7.1,4,,2023-01-08T08:06:13,2023-01-08T17:06:09,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-09,0,-11.3,-5.7,-4.9,-20.9,-12.7,-11.1,67.1,0,0,0,,0,0,46.8,28.8,91.1,1027.8,16.1,10,82.8,7.3,4,,2023-01-09T08:05:58,2023-01-09T17:07:16,0.58,Clear,Clear conditions throughout the day.,clear-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-10,0,-6.3,-3.4,-5.9,-13.8,-10.3,-8.7,67.4,0,0,0,,0,0,54,39.6,92.4,1025.4,27.4,10,85.1,7.2,4,,2023-01-10T08:05:40,2023-01-10T17:08:24,0.61,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-11,2,-8.1,-2.7,-3.3,-15.4,-9,-8.8,63.7,0,0,0,,0,0.2,50.4,39.6,91.3,1025.1,36.9,10,86.9,7.5,4,,2023-01-11T08:05:20,2023-01-11T17:09:33,0.65,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-12,5,-5,-0.8,5,-8.3,-2.9,-6.1,68.1,0,0,0,,0,0.3,36,21.6,67.5,1022,71.3,10,83,7.1,4,,2023-01-12T08:04:57,2023-01-12T17:10:44,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-13,9,-5,-0.5,8,-8.3,-1.9,-4.8,73.9,0,0,0,,0,0.2,18.7,14.4,39,1020.1,62.5,10,81.8,7.1,4,,2023-01-13T08:04:31,2023-01-13T17:11:56,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-14,9,-6,2.1,8,-8.9,0.5,-1.6,77.4,0,0,0,,0,0,22.7,10.8,88.1,1019.3,69.5,10,64.8,5.5,3,,2023-01-14T08:04:03,2023-01-14T17:13:09,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-15,3,-1,1.4,2,-4.7,-0.8,-0.9,85,0,0,0,,0,0,21.6,10.8,9.1,1021.2,93.9,10,62.7,5.4,3,,2023-01-15T08:03:33,2023-01-15T17:14:24,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-16,12,-2,3.5,12,-5.9,1,-1.5,71.3,0,0,0,,0,0,21.6,21.6,111.8,1019.2,39.4,10,84.2,7.3,4,,2023-01-16T08:03:00,2023-01-16T17:15:39,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-17,14,-1.9,7.6,14,-4.9,5.4,3.9,78.9,0,0,0,,0,0,43.2,32.4,149.9,1016,53,10,69.2,6,3,,2023-01-17T08:02:25,2023-01-17T17:16:56,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-18,15,7.2,10.8,15,3.8,9.5,5.3,69.7,0,0,0,,0,0,46.8,32.4,152.2,1016.7,69.5,10,73.1,6.3,3,,2023-01-18T08:01:47,2023-01-18T17:18:13,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-19,17,9,12.4,17,6.3,12,1.5,48.2,0,0,0,,0,0,36,32.4,152,1019.9,34,10,90.3,7.8,4,,2023-01-19T08:01:07,2023-01-19T17:19:31,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-20,18,3,9.7,18,1,8.1,-0.3,51.3,0,0,0,,0,0,26.3,25.2,98.7,1017.4,81.8,10,86.7,7.4,4,,2023-01-20T08:00:25,2023-01-20T17:20:51,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-21,13,1.6,5.9,13,-0.7,4.3,1,71.8,0,0,0,,0,0,23.8,14.4,66.4,1018.5,67.8,10,83.6,7.1,3,,2023-01-21T07:59:41,2023-01-21T17:22:11,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-22,11,1,4.8,11,-0.4,2.7,1.2,78.2,0,0,0,,0,0,24.5,28.8,68.2,1024.5,57.8,10,84.4,7.3,4,,2023-01-22T07:58:54,2023-01-22T17:23:31,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-23,8,0.4,3.8,5.1,-3.1,0.6,0,76.8,0,0,0,,0,0,25.6,25.2,79.8,1026.7,22.4,9.9,96.8,8.4,4,,2023-01-23T07:58:05,2023-01-23T17:24:53,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-24,10,-3,2.6,8.5,-6,0.2,-1.4,76.3,0,0,0,,0,0,22.3,18,59.3,1028.7,2.1,10,98.3,8.4,4,,2023-01-24T07:57:14,2023-01-24T17:26:15,0.08,Clear,Clear conditions throughout the day.,clear-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-25,4,-5,-0.8,-0.4,-9.5,-5.3,-3,86,0,0,0,,0,0,20.5,25.2,42.2,1026.9,45.9,8.3,98.9,8.5,4,,2023-01-25T07:56:21,2023-01-25T17:27:37,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-26,4,-3,0.2,2.2,-6.7,-2.3,-0.5,95.1,0,0,0,,0,0,16.2,18,52.3,1025.1,90.2,3.5,93.1,8.1,4,,2023-01-26T07:55:25,2023-01-26T17:29:00,0.15,Overcast,Cloudy skies throughout the day.,cloudy,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-27,11,-6,2.5,11,-7,0.8,-2.1,74.7,0,0,0,,0,0,29.5,18,89.1,1018,25.7,8,103.6,8.9,4,,2023-01-27T07:54:28,2023-01-27T17:30:24,0.18,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
Kamchatka,2023-01-28,13,3,8.2,13,-0.6,6.1,-0.5,57.8,0,0,0,,0,0,27.4,28.8,139.5,1010,65,10,45.7,4,2,,2023-01-28T07:53:28,2023-01-28T17:31:48,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,34915099999,37001099999,34924099999"
