name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kandahar,2023-01-01,12.8,1.1,6.2,12.8,-0.7,5,-0.1,66.4,0,0,0,,0,0,19.8,10.4,224.9,1026,21,24.1,161.3,14,6,10,2023-01-01T07:06:53,2023-01-01T17:14:23,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Kandahar,2023-01-02,12.3,-1,5.2,12.3,-1,4.6,-0.7,68.1,0,0,0,,0,0,18.7,10.8,229.4,1027,0,24.1,162.4,14,6,10,2023-01-02T07:07:06,2023-01-02T17:15:07,0.34,Clear,Clear conditions throughout the day.,clear-day,remote
Kandahar,2023-01-03,12,-1.4,4.5,12,-1.4,4.2,-2.1,65.1,0,0,0,,0,0,15.1,7.9,200.6,1029.7,0,24.1,165.6,14.2,6,10,2023-01-03T07:07:18,2023-01-03T17:15:51,0.37,Clear,Clear conditions throughout the day.,clear-day,remote
Kandahar,2023-01-04,12,-2.5,4.6,12,-3.9,4.6,-3.1,61.5,0,0,0,,0,0,13,5.4,160.3,1028.7,0,24.1,165.6,14.2,6,10,2023-01-04T07:07:28,2023-01-04T17:16:37,0.41,Clear,Clear conditions throughout the day.,clear-day,remote
Kandahar,2023-01-05,16.7,-2,6.5,16.7,-5,5.3,-3.2,54.7,0,0,0,,0,0,19.8,9.4,101.9,1024.8,36.6,24.1,163.5,14,6,10,2023-01-05T07:07:36,2023-01-05T17:17:23,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Kandahar,2023-01-06,18.6,5.4,11.1,18.6,3.5,10.3,-1.5,44.4,0,0,0,,0,0,20.2,9.7,96.3,1021.6,63.7,24.1,131.3,11.3,6,10,2023-01-06T07:07:43,2023-01-06T17:18:10,0.48,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Kandahar,2023-01-07,16.7,5.4,10.2,16.7,1.7,9.2,2.7,60.9,5.8,100,37.5,rain,0,0,35.3,19.8,65.9,1021.7,84.9,24.1,102.7,8.7,5,10,2023-01-07T07:07:48,2023-01-07T17:18:58,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Kandahar,2023-01-08,13.7,6.5,10,13.7,5.6,9.1,7,81.7,20.6,100,75,rain,0,0,38.5,14.4,73.8,1019.6,72.1,21,74.6,6.5,3,10,2023-01-08T07:07:51,2023-01-08T17:19:47,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Kandahar,2023-01-09,16.1,4.6,9.5,16.1,2.7,8.4,5.7,78.3,0,0,0,,0,0,25.6,14.8,66.4,1022.3,47.6,24.1,143.8,12.3,6,10,2023-01-09T07:07:52,2023-01-09T17:20:37,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Kandahar,2023-01-10,16.3,4.4,9.5,16.3,1.1,8,3.4,66.3,1.9,100,16.67,rain,0,0,29.5,16.9,62.8,1020,59.1,22.9,139,12.1,6,10,2023-01-10T07:07:52,2023-01-10T17:21:27,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,remote
