name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kaohsiung,2023-01-01,23.2,18.9,20.3,23.2,18.9,20.3,15.8,75.7,0.5,100,16.67,rain,0,0,27.7,12.9,354.7,1019.9,89,6.7,39.7,3.4,2,10,2023-01-01T06:38:56,2023-01-01T17:25:18,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"9V2911,RCNN,D5562,RCKH,46743099999,59358099999,46740099999"
Kaohsiung,2023-01-02,24,18.9,20.5,24,18.9,20.5,17.4,82.6,0.5,100,4.17,rain,0,0,33.8,20.5,349.7,1020,90.1,5.9,86.3,7.4,5,10,2023-01-02T06:39:15,2023-01-02T17:25:56,0.33,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"9V2911,RCNN,D5562,RCKH,46743099999,59358099999,46740099999"
Kaohsiung,2023-01-03,22.9,17.9,20,22.9,17.9,20,16.3,79.4,0.4,100,16.67,rain,0,0,33.8,18.4,339.6,1020,78.8,5.9,84.2,7.2,3,10,2023-01-03T06:39:32,2023-01-03T17:26:35,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"9V2911,RCNN,D5562,RCKH,46743099999,59358099999,46740099999"
Kaohsiung,2023-01-04,25.9,17,20.2,25.9,17,20.2,14.7,71.9,0.2,100,8.33,rain,0,0,28.8,19.6,322.8,1020.1,71.1,9.3,159.2,13.7,6,10,2023-01-04T06:39:48,2023-01-04T17:27:14,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"9V2911,RCNN,D5562,RCKH,46743099999,59358099999,46740099999"
Kaohsiung,2023-01-05,24,16.9,20,24,16.9,20,15.9,78,0,0,0,,0,0,28.8,13.4,339.1,1020.3,75.5,6,94.4,8.1,4,10,2023-01-05T06:40:03,2023-01-05T17:27:54,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"9V2911,RCNN,D5562,RCKH,46743099999,59358099999,46740099999"
Kaohsiung,2023-01-06,25.9,18,21,25.9,18,21,16.3,75.9,0,0,0,,0,0,36.7,15.3,331.9,1019.1,66.5,6.3,144.8,12.5,6,10,2023-01-06T06:40:16,2023-01-06T17:28:34,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"RCNN,D5562,RCKH,46743099999,59358099999,46740099999"
Kaohsiung,2023-01-07,24,17.9,21,24,17.9,21,16.1,74.2,0,0,0,,0,0,23,16.3,292.9,1017.7,87.1,8.9,109.6,9.5,4,10,2023-01-07T06:40:29,2023-01-07T17:29:15,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"9V2911,RCNN,D5562,RCKH,46743099999,59358099999,46740099999"
Kaohsiung,2023-01-08,25,19.9,22.3,25,19.9,22.3,16.6,70.5,0,0,0,,0,0,17.6,16.5,301.8,1019,71.7,7.6,134.1,11.5,6,10,2023-01-08T06:40:40,2023-01-08T17:29:56,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"9V2911,RCNN,D5562,RCKH,46743099999,59358099999,46740099999"
Kaohsiung,2023-01-09,26.9,18.9,22.2,27.4,18.9,22.2,16.2,70.2,0.4,100,12.5,rain,0,0,19.8,18,326.1,1018,64.3,5.6,147.6,12.9,6,10,2023-01-09T06:40:49,2023-01-09T17:30:37,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"9V2911,RCNN,D5562,RCKH,46743099999,59358099999,46740099999"
Kaohsiung,2023-01-10,25.9,18.9,21.9,25.9,18.9,21.9,16.8,73.2,0.9,100,33.33,rain,0,0,30.6,16.7,326.8,1016.7,86.8,5.7,100.1,8.6,4,10,2023-01-10T06:40:57,2023-01-10T17:31:19,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"9V2911,RCNN,D5562,RCKH,46743099999,59358099999,46740099999"
Kaohsiung,2023-01-11,26.9,19.9,22.6,27.8,19.9,22.7,17.4,72.7,0.2,100,8.33,rain,0,0,26.6,16.9,335.8,1015.8,80.6,6,138.2,11.9,6,10,2023-01-11T06:41:04,2023-01-11T17:32:00,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"9V2911,RCNN,D5562,RCKH,46743099999,59358099999,46740099999"
