name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kara-Suu,1/1/2023,4.3,-2,0.3,4.3,-4.7,-0.7,-1.8,86.2,0,0,0,,0,0.5,17.3,10.8,200.5,1033.8,62.8,2.7,103.4,8.9,5,,2023-01-01T08:32:33,2023-01-01T17:51:17,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UCFO,38613099999,38615599999,38616099999"
Kara-Suu,1/2/2023,3,-4.1,-0.3,3,-7.1,-1.2,-2.7,84.8,0,0,0,,0,0.1,14.8,10.8,146.8,1031.8,48.1,4.2,93.5,8.1,4,,2023-01-02T08:32:39,2023-01-02T17:52:07,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UCFO,38613099999,38615599999,38616099999"
Kara-Suu,1/3/2023,2.8,-4,-0.8,2.8,-7.1,-2.4,-4.5,77.3,1.6,100,16.67,"rain,snow",0,0.2,20.9,17.5,175.7,1029.8,53.6,6.5,56.2,5,3,,2023-01-03T08:32:44,2023-01-03T17:52:59,0.37,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"UCFO,38613099999,38615599999,UTFA,38475099999,38616099999"
Kara-Suu,1/4/2023,3.2,-2,1.3,2.4,-4.8,-0.3,-0.5,88.4,8.97,100,4.17,"rain,snow",5,13.8,15.5,14.4,118.6,1031.3,83.7,4.4,46.9,4,2,,2023-01-04T08:32:46,2023-01-04T17:53:52,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"UCFO,38613099999,38615599999,UTFA,38475099999,38616099999"
Kara-Suu,1/5/2023,4,-6.4,-1,4,-8.3,-2.5,-3.7,82.4,0,0,0,,0,15.9,19.8,10.8,156,1024.9,17.9,7.6,117.7,10,5,,2023-01-05T08:32:46,2023-01-05T17:54:47,0.44,Clear,Clear conditions throughout the day.,clear-day,"UCFO,38613099999,38615599999,38616099999"
Kara-Suu,1/6/2023,6.5,-2,1.6,6.5,-4.8,0,-3.1,71.3,0,0,0,,0,9.6,20.5,14.4,177,1021.4,42.4,8.2,60.7,5.3,3,,2023-01-06T08:32:44,2023-01-06T17:55:44,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UCFO,38613099999,38615599999,UTFA,38475099999,38616099999"
Kara-Suu,1/7/2023,9.4,-1.1,2.8,9.4,-3.6,1.4,-1.8,72.8,0,0,0,,0,5.4,17.3,13.9,171.3,1020.5,20.8,4.9,107.7,9.3,5,,2023-01-07T08:32:39,2023-01-07T17:56:41,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"UCFO,38613099999,38615599999,UTFA,38475099999,38616099999"
Kara-Suu,1/8/2023,6.1,-1,2.9,6.1,-4.7,1.4,-1.8,72.5,0.1,100,4.17,rain,0,3.7,18.7,25.2,179.3,1018.6,29.6,7.4,83.8,7.3,4,,2023-01-08T08:32:32,2023-01-08T17:57:40,0.54,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"UCFO,38613099999,38615599999,38616099999"
Kara-Suu,1/9/2023,9,1,4,8,-1.3,2.7,1.7,85.4,7,100,8.33,"rain,snow",0,3.4,15.5,18,103.4,1022.7,67.1,3.4,72.5,6,4,,2023-01-09T08:32:23,2023-01-09T17:58:41,0.58,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"UCFO,38613099999,38615599999,38616099999"
Kara-Suu,1/10/2023,3,-4,0,2.3,-7.8,-2.3,-0.6,95.8,0.003,100,4.17,"rain,snow",2.7,4.6,42.1,31.7,260.2,1021.8,93.6,1.9,49.3,4.1,3,,2023-01-10T08:32:12,2023-01-10T17:59:42,0.61,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"UCFO,38613099999,38615599999,UTFA,38475099999,38616099999"
