name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kermanshah,2023-01-01,10.1,-8.2,0.5,10.1,-8.2,-0.7,-7.8,57.7,0,0,0,,0,0,15.5,11.2,111,1030.5,4.7,10,148.3,12.9,6,10,2023-01-01T07:28:04,2023-01-01T17:22:27,0.31,Clear,Clear conditions throughout the day.,clear-day,"40835799999,40766099999,OIGK,OICC"
Kermanshah,2023-01-02,9.9,-8.9,0.3,7.5,-8.9,-1,-9,53.1,0,0,0,,0,0,19.8,18,93.8,1031.2,15.2,9.8,150.1,13,6,10,2023-01-02T07:28:16,2023-01-02T17:23:12,0.34,Clear,Clear conditions throughout the day.,clear-day,"40835799999,40766099999,OIGK,OICC"
Kermanshah,2023-01-03,10.1,-8.9,1.2,10.1,-12,-1,-10.4,45.7,0,0,0,,0,0,17.6,22.3,93.5,1031.2,0.2,9.9,151.4,13.1,6,10,2023-01-03T07:28:26,2023-01-03T17:23:59,0.38,Clear,Clear conditions throughout the day.,clear-day,"40835799999,40766099999,OIGK,OICC"
Kermanshah,2023-01-04,4.2,-7.8,1,2.8,-9.5,-3,-5.5,64.5,8,100,8.33,"rain,snow",0.8,0.2,52.6,32.4,117.7,1022.5,79.1,7.4,66.7,5.8,4,10,2023-01-04T07:28:33,2023-01-04T17:24:46,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"40835799999,40766099999,OIGK,OICC"
Kermanshah,2023-01-05,9.2,4.4,6.1,6.3,0.8,3.6,3.2,82.5,5,100,8.33,rain,0,0.6,27.4,29.5,98.6,1015.9,92.6,9.2,59.5,5,3,10,2023-01-05T07:28:39,2023-01-05T17:25:35,0.44,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"40766099999,remote,OICC"
Kermanshah,2023-01-06,8,2,5.6,7,-1.2,4,1,73.5,2.5,100,4.17,snow,0,0.4,24.1,22.3,195,1021.2,88,9.7,82.3,7.1,3,10,2023-01-06T07:28:44,2023-01-06T17:26:25,0.48,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"40766099999,OICC"
Kermanshah,2023-01-07,9,0,4,7,-0.9,2.8,-1.5,70,0.2,100,8.33,rain,0,0.1,28.1,22.3,196.9,1021.2,73.8,11.1,88.9,7.8,4,10,2023-01-07T07:28:46,2023-01-07T17:27:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"40766099999,remote,OICC"
Kermanshah,2023-01-08,7,3,5,6.5,2.1,4.1,-0.9,66.5,0.2,100,8.33,"rain,snow",0,0,31.7,20.1,165.5,1020.2,88.6,11,65.1,5.6,3,10,2023-01-08T07:28:46,2023-01-08T17:28:07,0.55,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"40766099999,OICC"
Kermanshah,2023-01-09,8,2.1,4.8,6.2,-1.1,2.4,-0.8,67.7,0.9,100,8.33,"rain,snow",0,0.1,32.4,18.4,129.3,1020.2,89.4,11.2,61.9,5.5,3,10,2023-01-09T07:28:45,2023-01-09T17:28:59,0.58,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"40766099999,remote,OICC"
Kermanshah,2023-01-10,8,-1,2.9,8,-3.7,1.3,-3.3,67.7,0.1,100,4.17,rain,0.1,0.3,37.4,29.5,108.3,1020.3,31.9,10.7,141.2,12.2,6,10,2023-01-10T07:28:41,2023-01-10T17:29:53,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"40766099999,remote,OICC"
