name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Koronadal City,2023-01-01,30.2,21,25.5,34.3,21,26.6,22.6,84.9,4.2,100,45.83,rain,0,0,24.5,7.6,307.7,1011.3,81.9,21.1,196.1,16.9,8,30,2023-01-01T05:51:24,2023-01-01T17:36:30,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Koronadal City,2023-01-02,28.1,23,25.2,31.1,23,25.9,22.3,84.7,5.3,100,45.83,rain,0,0,19.1,5,323.2,1010.3,97.4,18,117.8,10.2,5,30,2023-01-02T05:51:50,2023-01-02T17:37:01,0.33,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Koronadal City,2023-01-03,29.7,21.8,25.7,33.6,21.8,26.9,22.8,84.9,9,100,58.33,rain,0,0,29.9,6.1,50,1009.6,92.7,15.2,171.4,14.7,7,30,2023-01-03T05:52:15,2023-01-03T17:37:31,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Koronadal City,2023-01-04,29.5,22.6,25.5,34.6,22.6,26.8,23.1,87,6.9,100,37.5,rain,0,0,24.1,4,182.3,1010.3,99.3,22.5,142,12.2,6,30,2023-01-04T05:52:40,2023-01-04T17:38:02,0.4,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Koronadal City,2023-01-05,30.4,21.9,26.1,35.3,21.9,27.6,23,84.1,4.6,100,20.83,rain,0,0,27,4.7,142.3,1011.1,93.9,20.2,192.7,16.8,8,60,2023-01-05T05:53:04,2023-01-05T17:38:33,0.44,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,remote
Koronadal City,2023-01-06,30.7,22.6,26.5,36.4,22.6,28.3,23.4,83.5,5.2,100,33.33,rain,0,0,23,4.7,300.5,1011.3,74.5,22.5,224.6,19.4,8,30,2023-01-06T05:53:27,2023-01-06T17:39:03,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Koronadal City,2023-01-07,27.7,21.8,25,30,21.8,25.5,22.2,85.3,2.6,100,58.33,rain,0,0,40,5,286.3,1011.1,100,19.3,123.2,10.5,6,10,2023-01-07T05:53:50,2023-01-07T17:39:33,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Koronadal City,2023-01-08,28.2,21.5,24.8,31,21.5,25.4,21.2,80.7,2,100,45.83,rain,0,0,18,5.8,281.1,1012.1,100,21.8,145.4,12.5,6,10,2023-01-08T05:54:12,2023-01-08T17:40:03,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Koronadal City,2023-01-09,30.2,22.2,26.1,34.1,22.2,27.2,22.3,80.4,4.4,100,66.67,rain,0,0,20.5,3.2,236.6,1011.3,99.8,19.6,166.3,14.4,7,30,2023-01-09T05:54:33,2023-01-09T17:40:32,0.57,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Koronadal City,2023-01-10,28.9,23.1,25.7,33.8,23.1,26.8,23.3,86.7,23.9,100,70.83,rain,0,0,25.6,4.7,303.7,1009.6,100,21.9,132.6,11.4,6,30,2023-01-10T05:54:53,2023-01-10T17:41:01,0.61,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Koronadal City,2023-01-11,27.2,23,24.6,30.1,23,24.9,22.8,90.1,18.7,100,83.33,rain,0,0,35.6,6.5,317.8,1009.1,100,18.2,57.7,4.9,3,30,2023-01-11T05:55:13,2023-01-11T17:41:30,0.64,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Koronadal City,2023-01-12,30,22.8,25.5,34.3,22.8,26.6,22.4,83.4,2.6,100,25,rain,0,0,21.6,5.8,37.5,1008.5,98.7,17.7,180.6,15.6,7,60,2023-01-12T05:55:32,2023-01-12T17:41:58,0.67,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,remote
Koronadal City,2023-01-13,29.3,22.3,26.2,34.4,22.3,27.8,23.5,85.3,7.8,100,58.33,rain,0,0,16.9,6.8,330.4,1007.7,99.5,17.7,134.2,11.6,5,75,2023-01-13T05:55:50,2023-01-13T17:42:27,0.71,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Koronadal City,2023-01-14,29,23.3,25.7,33.9,23.3,26.8,23.4,87.2,23.7,100,79.17,rain,0,0,18.7,6.1,195.1,1007.6,99.8,18.6,128.1,11,6,30,2023-01-14T05:56:08,2023-01-14T17:42:54,0.74,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Koronadal City,2023-01-15,30.3,23.7,26.3,35.2,23.7,27.5,23.4,84.6,9,100,58.33,rain,0,0,16.9,3.6,323.7,1007.5,95.9,21.1,160.4,13.8,6,60,2023-01-15T05:56:24,2023-01-15T17:43:21,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
