name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Koysinjaq,2023-01-01,16,0,7.6,16,-1.4,6.9,-2.2,52.8,0,0,0,,0,0,18.7,13,321.2,1030.8,0.4,9.4,133.1,11.4,5,,2023-01-01T07:12:49,2023-01-01T16:57:57,0.31,Clear,Clear conditions throughout the day.,clear-day,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-02,18,-1,7.7,18,-3.4,7.1,-4.8,44.6,0,0,0,,0,0,22.7,13,335.2,1029.6,8.3,9.1,135.7,11.9,5,,2023-01-02T07:12:59,2023-01-02T16:58:44,0.34,Clear,Clear conditions throughout the day.,clear-day,"40622099999,ORER,40621099999,40611099999,40635699999"
Koysinjaq,2023-01-03,19,-1.2,8.1,19,-4.4,7.4,-4.8,42.6,0,0,0,,0,0,22,14.8,39.8,1028.9,4.4,9.4,136.8,12,6,,2023-01-03T07:13:07,2023-01-03T16:59:32,0.38,Clear,Clear conditions throughout the day.,clear-day,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-04,15,1.1,8.4,15,-1.7,7.3,-0.9,54.5,2.2,100,25,rain,0,0,23.4,22.3,13.8,1020.4,67.8,9,68.9,6,3,,2023-01-04T07:13:13,2023-01-04T17:00:21,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-05,13,7,9.4,13,5.6,8.5,7.6,89.3,5.8,100,62.5,rain,0,0.5,23.8,16.6,254.1,1018.5,83.7,6.1,80.9,7,4,,2023-01-05T07:13:18,2023-01-05T17:01:12,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-06,11,7,8.9,11,4.4,7.8,6.8,86.8,7.4,100,95.83,rain,0,0.3,22.7,30.9,179.6,1024.8,88,5.6,70.1,6,3,,2023-01-06T07:13:20,2023-01-06T17:02:03,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-07,10.4,6.8,8.4,10.4,6.7,7.6,7.1,92.1,4.7,100,87.5,rain,0,0.2,17.6,16.6,153.5,1023.5,92.2,5.5,80.2,6.9,4,,2023-01-07T07:13:21,2023-01-07T17:02:55,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-08,10.1,6.5,8.4,10.1,5.2,7.9,7.3,92.8,4.7,100,100,rain,0,0,22.7,11.2,218.7,1021.9,81.2,4.5,65.8,5.6,3,,2023-01-08T07:13:19,2023-01-08T17:03:49,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-09,11,4,7.2,11,1.6,6.2,5.2,88.3,1,100,37.5,rain,0,0,16.6,14.8,102.4,1022.7,42.5,4.9,96.4,8.4,4,,2023-01-09T07:13:16,2023-01-09T17:04:43,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-10,13,1,6,13,-1.4,4.9,0.3,70,0,0,0,,0,0,31.3,13.7,11.8,1023.7,0.9,8.3,140.2,12.1,6,,2023-01-10T07:13:10,2023-01-10T17:05:39,0.61,Clear,Clear conditions throughout the day.,clear-day,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-11,13,0.1,6.4,13,-3.5,5.4,-1.9,56.8,0,0,0,,0,0,26.3,13,11.8,1027,0.1,9.9,140,12.2,6,,2023-01-11T07:13:03,2023-01-11T17:06:35,0.65,Clear,Clear conditions throughout the day.,clear-day,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-12,14,-1,6.2,14,-3.7,4.8,-2.8,55.6,0,0,0,,0,0,27.7,20.5,44.7,1025.8,26.7,9.9,142,12.4,6,,2023-01-12T07:12:54,2023-01-12T17:07:32,0.68,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-13,12,2,8.1,12,-0.7,6.8,-1.4,52,0,0,0,,0,0,24.1,27.7,104.6,1024.7,46.5,9.1,128.7,11.3,5,,2023-01-13T07:12:42,2023-01-13T17:08:30,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-14,15,5,9.1,15,3.9,8.6,3.2,67.5,0.9,100,12.5,rain,0,0,21.6,13,34.8,1023.3,52.8,8,84.8,7.4,4,,2023-01-14T07:12:29,2023-01-14T17:09:28,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-15,15,4,9.2,15,3.3,8.6,2.9,66.5,3,100,29.17,rain,0,0,15.8,11.2,300.2,1021.2,23.2,8.7,136.5,12,6,,2023-01-15T07:12:14,2023-01-15T17:10:27,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-16,15.1,2,8.4,15.1,2,8.1,3.2,71.3,0,0,0,,0,0,16.9,16.6,114.8,1021.4,25.5,8.2,92,8,4,,2023-01-16T07:11:56,2023-01-16T17:11:27,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-17,16,2,8.6,16,1.6,8.2,2.4,67.2,0,0,0,,0,0,16.6,14.8,321.7,1021.5,14.6,8.2,138.7,12,6,,2023-01-17T07:11:37,2023-01-17T17:12:28,0.85,Clear,Clear conditions throughout the day.,clear-day,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-18,16,3,8.8,16,1.6,8.5,1.7,63.1,0,0,0,,0,0,17.6,14.8,255.2,1023.1,0.4,8.6,145.4,12.6,6,,2023-01-18T07:11:16,2023-01-18T17:13:28,0.88,Clear,Clear conditions throughout the day.,clear-day,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-19,17,2,8.9,17,1.2,8.6,1.9,64.4,0,0,0,,0,0,16.9,9.4,341,1024.5,0,8,145.2,12.5,6,,2023-01-19T07:10:53,2023-01-19T17:14:30,0.92,Clear,Clear conditions throughout the day.,clear-day,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-20,19,1,9.8,19,1,9.3,0.1,54.6,0,0,0,,0,0,22,14.8,93.5,1022.8,0,9.2,149.6,12.8,6,,2023-01-20T07:10:28,2023-01-20T17:15:31,0.95,Clear,Clear conditions throughout the day.,clear-day,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-21,17,2,9.5,17,1.7,9.1,0.5,56,0,0,0,,0,0,16.6,9.4,118.1,1023.4,1.2,9.5,150,12.9,6,,2023-01-21T07:10:02,2023-01-21T17:16:34,0,Clear,Clear conditions throughout the day.,clear-day,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-22,17,2,9.5,17,0.5,9,-2.1,48.5,0,0,0,,0,0,25.9,18.4,25,1023.1,0,9.4,152.5,13.2,6,,2023-01-22T07:09:33,2023-01-22T17:17:36,0.02,Clear,Clear conditions throughout the day.,clear-day,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-23,16,3,9.9,16,0,9.1,-5,36.3,0,0,0,,0,0,27,13,25.4,1024.6,0.4,9.8,153,13.2,6,,2023-01-23T07:09:03,2023-01-23T17:18:39,0.05,Clear,Clear conditions throughout the day.,clear-day,"40622099999,ORER,40621099999,40611099999,40635699999"
Koysinjaq,2023-01-24,15,2,8.8,15,-0.7,7.7,-5.9,37.1,0,0,0,,0,0,32.8,22.3,61.4,1024.6,5.4,9.7,154.8,13.3,6,,2023-01-24T07:08:31,2023-01-24T17:19:42,0.08,Clear,Clear conditions throughout the day.,clear-day,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-25,15,2,8.2,15,-1.2,7.1,-6.1,37,0,0,0,,0,0,29.2,14.5,38.7,1022.3,4,9.7,153.4,13.2,6,,2023-01-25T07:07:57,2023-01-25T17:20:45,0.12,Clear,Clear conditions throughout the day.,clear-day,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-26,14,0,7.1,14,-2.6,6.3,-3.2,49.2,0,0,0,,0,0,22.3,11.2,297.8,1022,29.1,8.8,142.3,12.3,6,,2023-01-26T07:07:21,2023-01-26T17:21:48,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-27,13,2,7.5,13,-0.2,7,-2.4,50.9,0.2,100,8.33,rain,0,0,18,11.4,20.3,1023.6,24.8,8.7,149.9,13,6,,2023-01-27T07:06:43,2023-01-27T17:22:52,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-28,13,2,7.3,13,1.7,6.8,-0.8,58.4,1.2,100,25,rain,0,0,23,16.6,112.7,1023,46.6,8.2,123.8,10.6,6,,2023-01-28T07:06:04,2023-01-28T17:23:55,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-29,15,7,10.7,15,3.8,9.8,4.5,66.9,5.8,100,66.67,rain,0,0.9,25.6,29.5,108.4,1015.5,81.2,7.9,81.8,7,4,,2023-01-29T07:05:23,2023-01-29T17:24:59,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40622099999,ORER,40621099999,40611099999,40635699999"
Koysinjaq,2023-01-30,12,8,9.8,12,6.7,8.7,7.2,84.4,17.5,100,100,rain,0,0.2,30.6,18.4,130.9,1014.3,92.3,6.3,65,5.7,3,,2023-01-30T07:04:40,2023-01-30T17:26:03,0.29,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-01-31,11,6.3,8.6,11,4.8,7.1,6.8,89.2,14.1,100,91.67,rain,0,0,30.2,20.5,112.7,1009,88.1,7,87,7.5,4,,2023-01-31T07:03:56,2023-01-31T17:27:07,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-02-01,13,5.8,9.5,13,5.5,8.6,7.1,85.5,12,100,100,rain,0,0,31.3,25.9,148,1013,81,7.1,110,9.6,5,,2023-02-01T07:03:10,2023-02-01T17:28:10,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-02-02,11,5.2,8.3,11,2.9,5.9,5.1,80.6,21.2,100,95.83,rain,0,0,45.7,31.7,162.3,1015.5,77.6,7.3,68.5,6,3,,2023-02-02T07:02:23,2023-02-02T17:29:14,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40622099999,ORER,40621099999,40611099999,40635699999"
Koysinjaq,2023-02-03,11,2.2,6.5,11,1.6,4.9,1.4,71,0.1,100,4.17,rain,0,0,27,22.3,194.6,1024.1,42.7,8.7,153.6,13.3,6,,2023-02-03T07:01:33,2023-02-03T17:30:17,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-02-04,11,0,5.9,11,-2.6,4.6,-0.3,67.5,1.4,100,20.83,rain,0,0,25.9,25.9,114.3,1020.3,62.1,9.3,137.7,11.9,6,,2023-02-04T07:00:43,2023-02-04T17:31:21,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"40622099999,ORER,40621099999,40611099999,remote,40635699999"
Koysinjaq,2023-02-05,12,6,9.4,12,2.7,7.9,4,69.3,8.5,100,100,rain,0,0,31.3,29.5,132.6,1016.2,90.2,8.1,108,9.4,5,,2023-02-05T06:59:51,2023-02-05T17:32:24,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"ORER,remote,40635699999"
Koysinjaq,2023-02-06,15.5,-15,10.7,15.5,-24.7,10.1,5,65.4,7.2,100,29.17,rain,0,0,44.3,37.1,134.9,1011.8,78.3,8.7,141.6,12.3,5,,2023-02-06T06:58:57,2023-02-06T17:33:27,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"ORER,remote,40635699999"
Koysinjaq,2023-02-07,11,8,9.4,11,4.6,6.9,4.5,71.6,20.8,100,100,rain,0,0,47.2,25.9,155.1,1010.7,77.3,4.1,101.5,8.7,5,,2023-02-07T06:58:02,2023-02-07T17:34:30,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"ORER,remote,40635699999"
Koysinjaq,2023-02-08,10,2.7,6.4,8.5,0.9,4.6,2.2,75.4,4.8,100,79.17,rain,0,0.5,25.2,16.6,194.8,1016,75,8.2,134.3,11.7,5,,2023-02-08T06:57:06,2023-02-08T17:35:33,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40622099999,ORER,40611099999,40621099999,remote,40635699999"
