name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kuwait City,2023-01-01,14.9,10.2,12.3,14.9,10.2,12.3,8.6,78.2,0,0,0,,0,0,27,23.9,347.9,1028.4,43.2,4.5,53.2,4.6,3,10,2023-01-01T06:42:38,2023-01-01T17:00:32,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OKBK,F8667,40581099999,40553099999,40585099999,40582099999,40573699999"
Kuwait City,2023-01-02,15.4,8.9,12.6,15.4,7.8,12.5,7.2,70.7,0.085,100,4.17,rain,0,0,29.2,14.5,323.4,1027.3,59.3,4.9,42.3,3.6,3,10,2023-01-02T06:42:52,2023-01-02T17:01:14,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"OKBK,F8667,40581099999,40553099999,40585099999,40582099999,40573699999"
Kuwait City,2023-01-03,18.9,9,14.1,18.9,8.3,14.1,7,63.8,0,0,0,,0,0,20.9,13,309.8,1027,30.4,6.6,67.4,5.8,3,10,2023-01-03T06:43:05,2023-01-03T17:01:57,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OKBK,F8667,40581099999,40553099999,40585099999,40582099999,40573699999"
Kuwait City,2023-01-04,16.8,12.9,14.3,16.8,12.9,14.3,11.8,85.1,1.573,100,25,rain,0,0,45.4,28.1,173.5,1020.5,94.5,3.9,14.2,1.2,1,10,2023-01-04T06:43:17,2023-01-04T17:02:41,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"OKBK,F8667,40581099999,40553099999,F8665,40585099999,40582099999,40573699999"
Kuwait City,2023-01-05,16.9,11,14.6,16.9,11,14.6,8.6,69.2,3.809,100,4.17,rain,0,0,34.6,28.5,285.7,1019.8,40.8,9.2,92.5,7.9,4,10,2023-01-05T06:43:27,2023-01-05T17:03:26,0.45,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"OKBK,F8667,40581099999,40553099999,40585099999,40582099999,40573699999"
Kuwait City,2023-01-06,18.9,8,13.1,18.9,6.8,12.9,8.3,74.5,0,0,0,,0,0,18.4,12.4,167.6,1023.1,9.3,9.1,89.3,7.8,4,10,2023-01-06T06:43:35,2023-01-06T17:04:11,0.48,Clear,Clear conditions throughout the day.,clear-day,"OKBK,F8667,40581099999,40553099999,40585099999,40582099999,40573699999"
Kuwait City,2023-01-07,17.1,8.9,13.1,17.1,8,13,7.8,72.5,0,0,0,,0,0,18.7,13.3,277.8,1023.1,4.3,7.1,87.3,7.5,4,10,2023-01-07T06:43:42,2023-01-07T17:04:57,0.5,Clear,Clear conditions throughout the day.,clear-day,"OKBK,F8667,40581099999,40553099999,40585099999,40582099999,40573699999"
Kuwait City,2023-01-08,18.9,8,13.8,18.9,6.1,13.6,7.8,69.7,0,0,0,,0,0,18,11.4,183.3,1022.2,25.6,7.6,87.5,7.5,4,10,2023-01-08T06:43:47,2023-01-08T17:05:44,0.55,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"OKBK,F8667,40581099999,40553099999,40585099999,40582099999,40573699999"
Kuwait City,2023-01-09,15.9,10.1,12.8,15.9,10.1,12.8,11,89.1,24.418,100,58.33,rain,0,0,45,25.4,157.9,1019.3,77.9,5.4,14.3,1.1,1,10,2023-01-09T06:43:51,2023-01-09T17:06:31,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OKBK,F8667,40581099999,40553099999,40585099999,40582099999,40573699999"
Kuwait City,2023-01-10,15.1,10.9,13.2,15.1,10.9,13.2,9.9,81.1,25.089,100,4.17,rain,0,0,56.2,42.9,318.2,1019.2,68.4,7.5,56,4.6,3,10,2023-01-10T06:43:52,2023-01-10T17:07:19,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"OKBK,F8667,40580099999,40581099999,40553099999,40585099999,40582099999,40573699999"
