name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lahij,1/1/2023,26.8,22.9,24.8,27.7,22.9,24.8,19,70.9,1.2,100,25,rain,0,0,40.3,27.7,71.2,1018.5,65.6,,80.1,6.8,3,,2023-01-01T06:22:47,2023-01-01T17:45:03,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,remote
Lahij,1/2/2023,28.6,22.7,25,30.1,22.7,25.5,20.4,76.1,0.5,100,20.83,rain,0,0,51.1,32,83,1018.2,39.9,,192.7,16.9,8,,2023-01-02T06:23:09,2023-01-02T17:45:37,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,remote
Lahij,1/3/2023,27.8,22.1,24.9,28.6,22.1,25.2,19.2,71.2,0.1,100,4.17,rain,0,0,47.2,30.2,83,1019.4,37.2,,203.9,17.6,8,,2023-01-03T06:23:31,2023-01-03T17:46:11,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,remote
Lahij,1/4/2023,29,21.9,25.1,29.2,21.9,25.2,19,70.2,0.1,100,4.17,rain,0,0,44.3,24.5,80,1018.4,9.2,,238.7,20.7,8,,2023-01-04T06:23:52,2023-01-04T17:46:45,0.41,Rain,Clear conditions throughout the day with early morning rain.,rain,remote
Lahij,1/5/2023,28.8,22.2,24.9,29.5,22.2,25.1,19.7,74.5,0,0,0,,0,0,40.3,23.4,83.8,1016.9,25.5,,229.8,19.8,8,,2023-01-05T06:24:13,2023-01-05T17:47:19,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,1/6/2023,28.1,22.5,24.8,28.6,22.5,25,19.4,73.5,0,0,0,,0,0,37.8,22,87.5,1016.8,38.6,,223.9,19.5,8,,2023-01-06T06:24:32,2023-01-06T17:47:53,0.48,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
Lahij,1/7/2023,27.8,21.3,24.3,28.6,21.3,24.5,19.7,76.8,0,0,0,,0,0,30.2,18,85.9,1016.5,21.9,,207.2,17.8,7,,2023-01-07T06:24:50,2023-01-07T17:48:27,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,1/8/2023,27.2,21.8,24.2,28.4,21.8,24.3,20.2,79.5,0.8,100,29.17,rain,0,0,36.7,20.9,95.2,1016.3,38.2,,201.5,17.3,8,,2023-01-08T06:25:08,2023-01-08T17:49:01,0.55,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,remote
Lahij,1/9/2023,27.9,22,24.4,28.7,22,24.6,19.9,77.3,0.1,100,4.17,rain,0,0,36.4,21.6,83.7,1017.2,24,,217.8,18.8,8,,2023-01-09T06:25:25,2023-01-09T17:49:35,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,remote
Lahij,1/10/2023,27.7,21.6,24.3,28.4,21.6,24.4,19,73.8,0,0,0,,0,0,40.7,24.1,84.3,1017.7,24,,211.5,18.1,8,,2023-01-10T06:25:40,2023-01-10T17:50:09,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,1/11/2023,27.2,20.8,23.7,28,20.8,23.8,18.7,74.7,0,0,0,,0,0,29.9,16.6,94.3,1016.6,29,,188.8,16.4,6,,2023-01-11T06:25:55,2023-01-11T17:50:43,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,1/12/2023,27.9,21,24.2,29,21,24.4,19.4,75.8,0,0,0,,0,0,37.8,22.7,84.9,1016.3,28.1,,199.2,17,8,,2023-01-12T06:26:08,2023-01-12T17:51:17,0.68,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Lahij,1/13/2023,28.4,22,24.7,28.7,22,24.8,19,72.3,0,0,0,,0,0,46.8,28.4,80.3,1016.8,47.7,,239,20.9,9,,2023-01-13T06:26:21,2023-01-13T17:51:50,0.72,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
Lahij,1/14/2023,29.5,21.4,24.9,29,21.4,24.9,17.9,68.3,0,0,0,,0,0,47.5,28.8,74.9,1016.9,30.7,,238.5,20.8,9,,2023-01-14T06:26:32,2023-01-14T17:52:24,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Lahij,1/15/2023,28.8,21.7,24.8,29.2,21.7,25,19.1,72.4,0.3,100,12.5,rain,0,0,42.8,27,80.5,1016.4,17.6,,221.6,19.1,8,,2023-01-15T06:26:43,2023-01-15T17:52:57,0.75,Rain,Clear conditions throughout the day with early morning rain.,rain,remote
Lahij,1/16/2023,28,22.1,24.6,28.3,22.1,24.7,19,73,0,0,0,,0,0,39.2,22.3,95.4,1016.2,25.2,,236.5,20.3,8,,2023-01-16T06:26:52,2023-01-16T17:53:29,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,1/17/2023,27.9,20.5,23.9,28.7,20.5,24.1,18.7,74.1,0,0,0,,0,0,34.9,20.5,88,1015.8,41.9,,233,20.1,8,,2023-01-17T06:27:01,2023-01-17T17:54:02,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,1/18/2023,27.4,20.7,23.7,28.2,20.7,23.9,18.7,74.5,0,0,0,,0,0,32,16.2,109.5,1015.5,54.3,,232.8,20.1,8,,2023-01-18T06:27:08,2023-01-18T17:54:34,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,1/19/2023,28.1,20.6,24,29.1,20.6,24.3,19,74.5,0,0,0,,0,0,38.9,22.7,101.4,1016.5,16.6,,243.5,20.9,9,,2023-01-19T06:27:14,2023-01-19T17:55:06,0.92,Clear,Clear conditions throughout the day.,clear-day,remote
Lahij,1/20/2023,27.9,20.3,24.1,28.7,20.3,24.3,19,74.5,0,0,0,,0,0,41,23.4,83.9,1016,50.4,,219.4,18.9,7,,2023-01-20T06:27:19,2023-01-20T17:55:37,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,1/21/2023,27.7,21.5,24.4,28.3,21.5,24.5,19,73.7,0,0,0,,0,0,45.7,27.4,81.9,1015.6,34.9,,239.3,20.7,8,,2023-01-21T06:27:23,2023-01-21T17:56:08,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,1/22/2023,27,21.4,24.2,27.6,21.4,24.2,17.9,68.9,0,0,0,,0,0,41,25.2,86.6,1015.5,45.7,,174.8,15.1,6,,2023-01-22T06:27:26,2023-01-22T17:56:39,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,1/23/2023,27.6,22.1,24.4,27.8,22.1,24.5,16.8,63.2,0,0,0,,0,0,41.8,24.5,83.4,1015.7,15.9,,246.3,21.4,9,,2023-01-23T06:27:28,2023-01-23T17:57:09,0.05,Clear,Clear conditions throughout the day.,clear-day,remote
Lahij,1/24/2023,27.9,22.2,24.6,29.2,22.2,24.8,18.4,69.2,0,0,0,,0,0,39.6,29.5,87.4,1015.5,48.9,10,166.1,14.3,6,,2023-01-24T06:27:29,2023-01-24T17:57:39,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41480099999,remote,OYAA"
Lahij,1/25/2023,27.4,22.7,24.5,27.7,22.7,24.6,17.7,66.8,0,0,0,,0,0,39.6,24.1,84.3,1014.3,35,,200.2,17.4,7,,2023-01-25T06:27:28,2023-01-25T17:58:08,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,1/26/2023,27.9,22.4,24.4,28.1,22.4,24.5,18.1,69.1,0,0,0,,0,0,41.4,22.7,79.4,1013.6,23,,216.7,18.9,8,,2023-01-26T06:27:27,2023-01-26T17:58:37,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,1/27/2023,27.3,21.6,24.2,28,21.6,24.4,18.9,73.4,0,0,0,,0,0,37.4,22.3,81.5,1014,31.2,,208,18,8,,2023-01-27T06:27:24,2023-01-27T17:59:05,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,1/28/2023,27.8,21.1,24.4,28.8,21.1,24.6,19.4,75.1,0,0,0,,0,0,44.6,27,82.1,1014.4,28.4,,221.6,19.2,8,,2023-01-28T06:27:20,2023-01-28T17:59:33,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,1/29/2023,27.8,22.2,24.9,28.9,22.2,25.2,19.8,74.2,0.7,100,25,rain,0,0,47.2,27.7,86.8,1014,25.8,,209.5,18,8,,2023-01-29T06:27:15,2023-01-29T18:00:00,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,remote
Lahij,1/30/2023,27.2,22.7,24.4,27.8,22.7,24.4,18.5,70.6,0.1,100,4.17,rain,0,0,49.3,30.2,83.3,1015.3,60,,187,16.1,8,,2023-01-30T06:27:09,2023-01-30T18:00:27,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,remote
Lahij,1/31/2023,27.1,21.1,23.8,28,21.1,23.9,16.2,63.2,0,0,0,,0,0,42.1,29.5,82.8,1015.7,45.1,8.7,225.5,19.5,8,,2023-01-31T06:27:02,2023-01-31T18:00:53,0.32,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41480099999,remote,OYAA"
Lahij,2/1/2023,26.7,19.3,23,26.7,19.3,23,16,65.7,0,0,0,,0,0,36.7,20.9,77.6,1015,4.8,,258.3,22.2,9,,2023-02-01T06:26:54,2023-02-01T18:01:19,0.35,Clear,Clear conditions throughout the day.,clear-day,remote
Lahij,2/2/2023,27.4,20.4,23.7,28,20.4,23.8,17.4,68.3,0,0,0,,0,0,32.8,17.3,99.1,1015.3,26.3,,215.1,18.6,7,,2023-02-02T06:26:45,2023-02-02T18:01:44,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,2/3/2023,28,20.3,23.9,28.7,20.3,24,18.1,70.8,0,0,0,,0,0,31.3,17.3,103.1,1015.7,0.5,,249.9,21.4,9,,2023-02-03T06:26:35,2023-02-03T18:02:08,0.42,Clear,Clear conditions throughout the day.,clear-day,remote
Lahij,2/4/2023,28.4,20.7,24.1,29.5,20.7,24.4,19.1,74.6,0,0,0,,0,0,33.8,18,127.2,1015.1,8.7,,250,21.5,9,,2023-02-04T06:26:23,2023-02-04T18:02:32,0.45,Clear,Clear conditions throughout the day.,clear-day,remote
Lahij,2/5/2023,27.6,21.5,24.1,28.7,21.5,24.4,19.4,75.9,0,0,0,,0,0,29.5,15.8,120.3,1014,38,,179.3,15.6,6,,2023-02-05T06:26:11,2023-02-05T18:02:56,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,2/6/2023,27.6,20.9,24,28.8,20.9,24.3,19,74.9,0,0,0,,0,0,38.2,21.6,101.7,1014.3,15,,238,20.7,8,,2023-02-06T06:25:58,2023-02-06T18:03:18,0.52,Clear,Clear conditions throughout the day.,clear-day,remote
Lahij,2/7/2023,28.5,20,23.8,28.7,20,23.9,18,71.8,0,0,0,,0,0,34.6,19.8,94,1014.2,12,,256.9,22.2,9,,2023-02-07T06:25:43,2023-02-07T18:03:40,0.56,Clear,Clear conditions throughout the day.,clear-day,remote
Lahij,2/8/2023,28.9,20.8,24.5,29.7,20.8,24.8,19,72.7,0,0,0,,0,0,31.3,16.2,112.6,1014.7,7.2,,252.3,22.1,9,,2023-02-08T06:25:28,2023-02-08T18:04:02,0.59,Clear,Clear conditions throughout the day.,clear-day,remote
Lahij,2/9/2023,29.5,21,24.9,30.8,21,25.2,19.4,72.8,0,0,0,,0,0,34.2,18.4,175.8,1014.7,0,,262.6,23,9,,2023-02-09T06:25:11,2023-02-09T18:04:23,0.62,Clear,Clear conditions throughout the day.,clear-day,remote
Lahij,2/10/2023,29.3,21.1,25,30.8,21.1,25.4,20.3,76.7,0,0,0,,0,0,37.1,21.6,103.8,1016,0.5,,263.4,22.9,9,,2023-02-10T06:24:54,2023-02-10T18:04:43,0.66,Clear,Clear conditions throughout the day.,clear-day,remote
Lahij,2/11/2023,29,21.8,24.9,29.7,21.8,25.1,19.6,74.4,0,0,0,,0,0,46.4,28.4,81.4,1017.3,6.7,,257.5,22.2,9,,2023-02-11T06:24:35,2023-02-11T18:05:03,0.69,Clear,Clear conditions throughout the day.,clear-day,remote
Lahij,2/12/2023,29.8,20.7,24.9,28.8,20.7,24.6,16.1,62.3,0,0,0,,0,0,46.4,27.4,83.5,1016.4,0,,274.8,23.8,9,,2023-02-12T06:24:16,2023-02-12T18:05:22,0.73,Clear,Clear conditions throughout the day.,clear-day,remote
Lahij,2/13/2023,29.7,19.5,24.4,28.8,19.5,24.2,16,62.8,0,0,0,,0,0,39.2,23.4,83.6,1015.6,0.3,,274.3,23.8,9,,2023-02-13T06:23:56,2023-02-13T18:05:40,0.75,Clear,Clear conditions throughout the day.,clear-day,remote
Lahij,2/14/2023,28.8,20.6,24.3,29.6,20.6,24.5,19.2,74.8,0,0,0,,0,0,49,29.9,82.1,1014.5,6.5,,264,22.9,9,,2023-02-14T06:23:34,2023-02-14T18:05:58,0.8,Clear,Clear conditions throughout the day.,clear-day,remote
Lahij,2/15/2023,28.5,21.9,24.5,28.8,21.9,24.6,19.1,73.7,0,0,0,,0,0,41.8,25.2,86.8,1012.9,21.5,,266.1,23.1,9,,2023-02-15T06:23:12,2023-02-15T18:06:15,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lahij,2/16/2023,28.5,21.2,24.4,28.8,21.2,24.4,19,73.8,0,0,0,,0,0,33.5,18,94.5,1014.3,15.2,,260.8,22.5,9,,2023-02-16T06:22:49,2023-02-16T18:06:32,0.87,Clear,Clear conditions throughout the day.,clear-day,remote
Lahij,2/17/2023,28.1,20.3,23.9,28.9,20.3,24.1,18.5,73,0,0,0,,0,0,33.8,18,100.1,1015.7,5.2,,263.6,23,9,,2023-02-17T06:22:25,2023-02-17T18:06:48,0.9,Clear,Clear conditions throughout the day.,clear-day,remote
Lahij,2/18/2023,28.4,19.9,23.9,28.8,19.9,24,17.9,71,0,0,0,,0,0,36,20.9,96.6,1016.3,13.9,,266.4,23.1,9,,2023-02-18T06:22:01,2023-02-18T18:07:04,0.93,Clear,Clear conditions throughout the day.,clear-day,remote
