name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lautem,1/1/2023,28.3,24.6,26.3,31.7,24.6,27.3,23.1,82.6,2.4,100,83.33,rain,0,0,71.3,32.4,297.9,1006.7,84.5,,259.5,22.4,9,,2023-01-01T06:17:05,2023-01-01T18:53:34,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lautem,1/2/2023,29.5,25.1,27.1,34.1,25.1,29.1,23.4,80.3,0.8,100,25,rain,0,0,67.7,31,296.7,1006.1,82.9,,278.8,24,9,,2023-01-02T06:17:36,2023-01-02T18:53:58,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Lautem,1/3/2023,29.6,25.9,27.2,33.7,25.9,28.9,23.3,79.5,0.4,100,16.67,rain,0,0,74.5,33.5,300,1005.5,80.3,,296.2,25.4,10,,2023-01-03T06:18:08,2023-01-03T18:54:22,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Lautem,1/4/2023,28.9,24.9,26.5,33.2,24.9,27.8,23.6,84.6,0.6,100,16.67,rain,0,0,59,24.8,297.9,1006,81.1,,249.3,21.5,8,,2023-01-04T06:18:40,2023-01-04T18:54:45,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,remote
Lautem,1/5/2023,29.8,25.2,27,35,25.2,29,23.9,84,0,0,0,,0,0,53.6,25.2,297.4,1006.7,99.4,,261.1,22.8,9,,2023-01-05T06:19:12,2023-01-05T18:55:08,0.44,Overcast,Cloudy skies throughout the day.,cloudy,remote
Lautem,1/6/2023,29.4,24.9,26.6,33.9,24.9,28.3,23.8,85.1,0.6,100,16.67,rain,0,0,54,22,295.5,1007.2,94.1,,269.8,23.1,9,,2023-01-06T06:19:43,2023-01-06T18:55:29,0.47,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,remote
Lautem,1/7/2023,29.4,24.9,26.6,33.8,24.9,28.4,23.9,85.4,2.2,100,33.33,rain,0,0,46.4,18.4,290.8,1006.8,82.4,,249.1,21.6,8,,2023-01-07T06:20:15,2023-01-07T18:55:50,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Lautem,1/8/2023,30.1,24.3,26.4,34.5,24.3,28,23.7,85.6,7,100,37.5,rain,0,0,32,13.3,288.7,1008.3,94.9,,266.7,23.2,10,,2023-01-08T06:20:46,2023-01-08T18:56:10,0.54,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Lautem,1/9/2023,29.7,23.8,25.9,33.5,23.8,27.1,23.3,86.1,11.8,100,54.17,rain,0,0,22,8.6,279.4,1010.3,99.1,,292.3,25.2,10,,2023-01-09T06:21:17,2023-01-09T18:56:30,0.57,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Lautem,1/10/2023,29.5,23.4,26,34.3,23.4,27.4,23.1,84.9,0.7,100,25,rain,0,0,25.6,6.5,257.6,1010,49.1,,304.4,26.3,10,,2023-01-10T06:21:48,2023-01-10T18:56:48,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Lautem,1/11/2023,29.7,23.6,25.6,33.9,23.6,26.6,23.3,87.3,13.3,100,45.83,rain,0,0,20.5,6.5,290.7,1009.4,72.8,,300.5,26,10,,2023-01-11T06:22:19,2023-01-11T18:57:06,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Lautem,1/12/2023,29.4,23.4,25.9,33.6,23.4,27,23.4,86.5,13.2,100,37.5,rain,0,0,24.1,8.6,301.5,1009.5,66.9,,276.5,24,9,,2023-01-12T06:22:49,2023-01-12T18:57:22,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Lautem,1/13/2023,29.9,23.6,26.3,35.5,23.6,27.8,23.8,86.8,2.7,100,37.5,rain,0,0,20.9,6.5,259.1,1008.8,88,,305.5,26.4,10,,2023-01-13T06:23:19,2023-01-13T18:57:38,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
