name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Macau,2023-01-01,16,12.7,14.4,16,12.7,14.4,10.2,76,0,0,0,rain,0,0,36,33.2,359.6,1023.3,40.8,10,46.9,4,2,10,2023-01-01T07:05:10,2023-01-01T17:53:16,0.3,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"45035099999,59493099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45044099999"
Macau,2023-01-02,18.2,14.9,16.6,18.2,14.9,16.6,12.3,76.4,0.001,100,4.17,rain,0,0,41,33.2,1.6,1022.8,38.1,9.8,59.8,5.1,3,10,2023-01-02T07:05:29,2023-01-02T17:53:54,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"45035099999,59493099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45044099999"
Macau,2023-01-03,17,14.7,16,17,14.7,16,11.7,75.8,0.186,100,4.17,rain,0,0,45.4,33.2,1.8,1023.6,46.2,9.7,114.4,9.8,6,10,2023-01-03T07:05:46,2023-01-03T17:54:32,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"45035099999,59493099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45044099999"
Macau,2023-01-04,18,15.6,16.2,18,15.6,16.2,12,76.2,0,0,0,,0,0,34.9,27.5,9.4,1022.9,44.1,9.3,106.7,9.2,5,10,2023-01-04T07:06:02,2023-01-04T17:55:11,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"45035099999,59493099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45044099999"
Macau,2023-01-05,20.3,15,17.4,20.3,15,17.4,14.2,81.9,0,0,0,,0,0,31.3,14.8,15.8,1022.8,34.3,8.1,136.5,11.8,5,10,2023-01-05T07:06:18,2023-01-05T17:55:51,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"45035099999,59493099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45044099999"
Macau,2023-01-06,22,15,18.5,22,15,18.5,13.7,75.2,0,0,0,,0,0,43.6,22.3,0.8,1022.3,33.9,9.4,180.6,15.6,7,10,2023-01-06T07:06:31,2023-01-06T17:56:31,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"45035099999,59493099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45044099999"
Macau,2023-01-07,20.2,16.8,18.3,20.2,16.8,18.3,12,66.9,0,0,0,,0,0,33.1,25.7,19,1020,44.4,10.3,118,10.2,4,10,2023-01-07T07:06:44,2023-01-07T17:57:11,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"45035099999,59493099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45044099999"
Macau,2023-01-08,19.1,16.8,18.4,19.1,16.8,18.4,13.2,72.2,0.006,100,4.17,rain,0,0,33.1,18.3,38.2,1019.5,45.5,10.5,66.6,5.8,3,10,2023-01-08T07:06:55,2023-01-08T17:57:52,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"45035099999,59493099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45044099999"
Macau,2023-01-09,19,16.9,17.6,19,16.9,17.6,15,84.7,0.007,100,4.17,rain,0,0,33.8,25.8,4.9,1019.1,54,9.3,47.5,4,2,10,2023-01-09T07:07:05,2023-01-09T17:58:33,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"45035099999,59493099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45044099999"
Macau,2023-01-10,17.7,16.7,17,17.7,16.7,17,16.2,94.9,8.668,100,25,rain,0,0,36,23.9,4.8,1018.4,55.5,7.3,19.4,1.7,1,10,2023-01-10T07:07:14,2023-01-10T17:59:14,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"45035099999,59493099999,VMMC,45011099999,VHHH,45007099999,ZGSZ,45044099999"
