name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Malinau,1/1/2023,29.4,19.3,23.2,31.1,19.3,23.6,19.7,82.5,3.7,100,50,rain,0,0,18.7,5,299.9,1013.4,75.6,,210.1,18.2,8,,2023-01-01T06:21:17,2023-01-01T18:20:19,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Malinau,1/2/2023,30.2,18.7,23.2,31.5,18.7,23.6,19.3,81,1.5,100,29.17,rain,0,0,18.7,6.1,302.2,1012.4,91.2,,216.7,18.9,7,,2023-01-02T06:21:45,2023-01-02T18:20:48,0.33,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Malinau,1/3/2023,26.8,19.3,22,28.4,19.3,22.1,20.1,89.5,6.1,100,79.17,rain,0,0,24.8,4.7,251.6,1011.9,99.5,,154.2,13.3,7,,2023-01-03T06:22:12,2023-01-03T18:21:16,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Malinau,1/4/2023,28.2,18.7,22.5,29.4,18.7,22.6,19.5,84.6,1.1,100,33.33,rain,0,0,31.7,8.3,227.9,1010.8,98.1,,203.1,17.5,8,,2023-01-04T06:22:38,2023-01-04T18:21:45,0.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Malinau,1/5/2023,30.6,18.9,23.6,32.1,18.9,24,19.8,81.3,1.7,100,20.83,rain,0,0,32.8,8.6,193.2,1010.8,90.9,,210.6,18.3,7,,2023-01-05T06:23:04,2023-01-05T18:22:13,0.44,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Malinau,1/6/2023,29.5,20.1,23.7,31.4,20.1,24,20.7,85,2.6,100,33.33,rain,0,0,32.8,7.2,176.2,1012,97.6,,199.6,17.1,8,,2023-01-06T06:23:30,2023-01-06T18:22:41,0.47,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Malinau,1/7/2023,27.1,19.2,22.3,28.6,19.2,22.4,20.2,88.9,5.7,100,45.83,rain,0,0,28.4,4,45.1,1011.9,99.4,,156,13.4,7,,2023-01-07T06:23:55,2023-01-07T18:23:09,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Malinau,1/8/2023,24.6,18.5,20.8,24.6,18.5,20.8,19.5,92.7,6.8,100,66.67,rain,0,0,23.8,4,301.5,1013.4,100,,160.2,13.8,6,,2023-01-08T06:24:19,2023-01-08T18:23:36,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Malinau,1/9/2023,28.7,18.8,22.2,30.2,18.8,22.4,19.6,86.7,7.6,100,87.5,rain,0,0,25.6,5,308.3,1014.2,99.7,,170.1,14.5,8,,2023-01-09T06:24:43,2023-01-09T18:24:03,0.57,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Malinau,1/10/2023,26.6,18.4,21.7,26.6,18.4,21.7,19.3,86.7,2.2,100,54.17,rain,0,0,40.7,5.8,243.9,1013.8,99.9,,145.9,12.7,7,,2023-01-10T06:25:06,2023-01-10T18:24:29,0.61,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Malinau,1/11/2023,29.9,18.4,23.2,30.8,18.4,23.4,18.7,78.4,0.4,100,8.33,rain,0,0,29.5,9,277.3,1012.6,99.6,,257.8,22.2,9,,2023-01-11T06:25:29,2023-01-11T18:24:55,0.64,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Malinau,1/12/2023,28.6,19.2,23.1,30.4,19.2,23.4,19.9,83.4,1.8,100,16.67,rain,0,0,28.4,4.7,310.5,1012.6,99.4,,193.8,16.6,7,,2023-01-12T06:25:51,2023-01-12T18:25:20,0.67,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Malinau,1/13/2023,31,19,24.1,31.4,19,24.4,18.6,74.5,0,0,0,,0,0,32,9,300.3,1011.6,99.4,,265.3,22.8,10,,2023-01-13T06:26:13,2023-01-13T18:25:45,0.71,Overcast,Cloudy skies throughout the day.,cloudy,remote
Malinau,1/14/2023,28.9,18.3,23.2,29.5,18.3,23.4,17.9,74,0.2,100,8.33,rain,0,0,32.8,10.1,286.1,1010.7,97.4,,228.3,19.8,7,,2023-01-14T06:26:33,2023-01-14T18:26:09,0.74,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,remote
Malinau,1/15/2023,29.9,17.4,23.1,29.9,17.4,23.2,17.5,73.6,0.1,100,4.17,rain,0,0,30.6,9.7,276.6,1010.1,66.3,,238.1,20.5,9,,2023-01-15T06:26:53,2023-01-15T18:26:32,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,remote
Malinau,1/16/2023,30.3,18.8,23.8,30.5,18.8,23.9,18.1,73,0.3,100,8.33,rain,0,0,24.8,5.8,285.1,1010.8,74.3,,230.5,19.8,9,,2023-01-16T06:27:12,2023-01-16T18:26:55,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,remote
