name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
matad,1/1/2023,-14.4,-22.8,-19.1,-23.5,-34.6,-29.1,-26.5,52.9,0,0,0,,0,2.3,38.2,28.8,290.5,1042.8,0,22.7,72.7,6.2,3,10,2023-01-01T08:02:01,2023-01-01T16:35:35,0.3,Clear,Clear conditions throughout the day.,clear-day,"44314099999,remote"
matad,1/2/2023,-13.4,-24.5,-19.4,-20.4,-34.3,-26.6,-27.3,51,0,0,0,,0,2.2,28.8,14.8,268.3,1041,1.3,22.7,73.5,6.2,3,10,2023-01-02T08:02:02,2023-01-02T16:36:32,0.33,Clear,Clear conditions throughout the day.,clear-day,"44314099999,remote"
matad,1/3/2023,-12.9,-27.2,-21.5,-12.9,-38.2,-27.5,-29.1,51.3,0,0,0,,0,2.1,19.8,18,290.4,1038.1,0,22.7,74.1,6.3,3,10,2023-01-03T08:01:59,2023-01-03T16:37:31,0.37,Clear,Clear conditions throughout the day.,clear-day,"44314099999,remote"
matad,1/4/2023,-15,-28.2,-21.6,-21.7,-35.2,-29.5,-28.5,55.2,0,0,0,,0,2.1,39.6,32.4,247.5,1033.7,2.5,22.7,75.7,6.5,4,10,2023-01-04T08:01:54,2023-01-04T16:38:32,0.4,Clear,Clear conditions throughout the day.,clear-day,"44314099999,remote"
matad,1/5/2023,-11.8,-23.3,-18,-17.2,-29.4,-23.9,-24.5,58,0,0,0,,0,2.1,32.4,25.2,261.6,1028.8,15,22.7,74.2,6.2,3,10,2023-01-05T08:01:46,2023-01-05T16:39:35,0.44,Clear,Clear conditions throughout the day.,clear-day,"44314099999,remote"
matad,1/6/2023,-13.4,-26.2,-20.3,-13.4,-32.6,-23.5,-25.7,62.9,0,0,0,,0,2.1,39.6,32.4,265.8,1025.2,56.7,22.7,55.9,4.7,3,10,2023-01-06T08:01:35,2023-01-06T16:40:40,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44314099999,remote"
matad,1/7/2023,-8.3,-23.6,-14.6,-15.1,-29.2,-21.5,-20.9,60.6,0.2,100,4.17,snow,2.1,2.2,39.6,32.4,238.6,1020.4,52.5,18.4,65.7,5.6,3,10,2023-01-07T08:01:21,2023-01-07T16:41:47,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"44314099999,remote"
matad,1/8/2023,-6.3,-13.9,-10.8,-12.5,-21.9,-18.7,-18.6,54.7,0,0,0,,0,2.3,37.1,36,298.5,1027.6,24.5,22.7,76.8,6.7,4,10,2023-01-08T08:01:05,2023-01-08T16:42:56,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44314099999,remote"
matad,1/9/2023,-5,-17.2,-11,-11.2,-24.3,-18.3,-18,57.5,0,0,0,,0,1.9,43.2,39.6,244.1,1030.7,3.8,22.7,76.7,6.8,4,10,2023-01-09T08:00:46,2023-01-09T16:44:07,0.57,Clear,Clear conditions throughout the day.,clear-day,"44314099999,remote"
matad,1/10/2023,-1.1,-9.6,-6,-5.8,-18.9,-13,-13.5,56.2,0,0,0,,0,1.7,72,50.4,251.6,1019.1,31.4,22.7,77,6.8,4,10,2023-01-10T08:00:24,2023-01-10T16:45:19,0.61,Partially cloudy,Partly cloudy throughout the day.,wind,"44314099999,remote"
