name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Medan,2023-01-01,30,24,26.8,35.1,24,28.3,22.8,79.4,0.003,100,4.17,rain,0,0,24.1,13,304,1011.8,44,7.5,206.7,17.7,7,10,2023-01-01T06:31:08,2023-01-01T18:26:10,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96033099999,96035099999,WIMM"
Medan,2023-01-02,30,23,26.7,34.1,23,28.5,22.9,80.1,2.921,100,4.17,rain,0,0,19.8,14.8,320.9,1012.2,50.8,9.3,212.9,18.2,8,30,2023-01-02T06:31:35,2023-01-02T18:26:40,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96033099999,96035099999,WIMM,remote"
Medan,2023-01-03,30,24,26.6,35.1,24,28.5,23.7,85.3,0,0,0,,0,0,17.6,18.3,285.9,1011.8,58.4,6.7,206.2,17.9,7,30,2023-01-03T06:32:01,2023-01-03T18:27:09,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM"
Medan,2023-01-04,29,22.7,26.1,33.5,22.7,28.2,23.7,87,1.4,100,4.17,rain,0,0,20.5,14.8,293.3,1011.7,58.1,8.3,211.1,18.4,8,60,2023-01-04T06:32:27,2023-01-04T18:27:38,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96033099999,96035099999,WIMM,remote"
Medan,2023-01-05,29,24.9,26.6,33.5,24.9,28.4,23.6,83.9,7.886,100,12.5,rain,0,0,26.3,22.3,292.1,1011.1,68.2,7.1,134.1,11.4,4,30,2023-01-05T06:32:53,2023-01-05T18:28:07,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96033099999,96035099999,WIMM"
Medan,2023-01-06,30,23.7,26.5,35.1,23.7,28.2,23,81.9,0,0,0,rain,0,0,26.6,22.2,296.5,1011.3,54.9,8.6,206.9,17.8,7,30,2023-01-06T06:33:18,2023-01-06T18:28:36,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM,remote"
Medan,2023-01-07,29,23,25.7,32.9,23,27.1,23.2,86.6,28.119,100,16.67,rain,0,0,37.1,18.4,312.3,1011,80.1,8.5,127.7,10.9,5,30,2023-01-07T06:33:42,2023-01-07T18:29:04,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96033099999,96035099999,WIMM,remote"
Medan,2023-01-08,29,23,25.5,33.6,23,26.8,23.3,87.9,29.458,100,12.5,rain,0,0,25.9,14.8,312.9,1010.8,59.8,8.4,168.8,14.5,6,30,2023-01-08T06:34:06,2023-01-08T18:29:32,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96033099999,96035099999,WIMM"
Medan,2023-01-09,30,22.9,26.4,34.1,22.9,27.8,22.6,80.5,0.2,100,8.33,rain,0,0,23,22.3,311.7,1011.4,51.6,10.3,228.8,19.5,8,30,2023-01-09T06:34:29,2023-01-09T18:29:59,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96033099999,96035099999,WIMM,remote"
Medan,2023-01-10,29,24,26.5,34.5,24,28.2,23.9,86.4,0,0,0,rain,0,0,24.5,16.6,295,1010.8,53.8,8.9,214.8,18.5,8,30,2023-01-10T06:34:51,2023-01-10T18:30:26,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM"
Medan,2023-01-11,29,23,26.1,34.1,23,27.4,23.8,87.7,4.961,100,12.5,rain,0,0,18.4,11.2,211.2,1010.4,60.8,8,181.6,15.6,7,30,2023-01-11T06:35:13,2023-01-11T18:30:53,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96033099999,96035099999,WIMM,remote"
Medan,2023-01-12,30.1,23.2,26.2,35.2,23.2,27.9,23.6,86.3,0,0,0,rain,0,0,19.4,18.3,319.7,1009.5,49.7,6,238.8,20.6,9,60,2023-01-12T06:35:34,2023-01-12T18:31:19,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM"
Medan,2023-01-13,30,24,26.5,34.2,24,28.2,23.9,86.2,0,0,0,rain,0,0,23,14.8,16.9,1010.4,53.8,6,206.3,17.6,8,30,2023-01-13T06:35:55,2023-01-13T18:31:45,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM"
Medan,2023-01-14,30,23,26.5,35.1,23,28.7,23.8,85.4,0.024,100,4.17,rain,0,0,19.8,24,313.6,1009.9,57.7,8.9,170.1,14.8,6,60,2023-01-14T06:36:14,2023-01-14T18:32:10,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96033099999,96035099999,WIMM,remote"
Medan,2023-01-15,31,23,26.7,36.5,23,29,23.5,83.8,0.097,100,4.17,rain,0,0,22.7,22.3,305.2,1009.1,55.5,8.8,191.7,16.5,8,30,2023-01-15T06:36:33,2023-01-15T18:32:34,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96033099999,96035099999,WIMM"
Medan,2023-01-16,29,23,26,33.5,23,27.9,23.6,86.8,0.977,100,8.33,rain,0,0,28.8,29.5,310.4,1010,60.6,11.3,186.3,16,6,60,2023-01-16T06:36:51,2023-01-16T18:32:58,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96033099999,96035099999,WIMM,remote"
Medan,2023-01-17,29,22.3,25.7,32.7,22.3,26.7,22.6,83.8,0,0,0,rain,0,0,24.1,22.3,286.8,1011.4,65.3,12.2,231.1,19.9,8,10,2023-01-17T06:37:09,2023-01-17T18:33:22,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM,remote"
Medan,2023-01-18,30.9,21.1,25.6,33.5,21.1,26.7,21.8,81,0,0,0,,0,0,18.4,22.2,302.3,1011.1,37.3,6.7,246.5,21.3,9,10,2023-01-18T06:37:25,2023-01-18T18:33:45,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM"
Medan,2023-01-19,28,24,25.4,31.9,24,26.3,23.2,87.9,3,100,12.5,rain,0,0,18,13,249.5,1010.7,58.9,5.8,213.2,18.2,7,10,2023-01-19T06:37:41,2023-01-19T18:34:07,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96033099999,96035099999,WIMM"
Medan,2023-01-20,29.2,22.9,26.1,33.4,22.9,28.1,23,84,0,0,0,rain,0,0,18.4,18.4,306.3,1009.8,50.5,7.9,220.4,19,8,60,2023-01-20T06:37:56,2023-01-20T18:34:29,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM,remote"
Medan,2023-01-21,27,23,24.2,30.2,23,24.5,23.3,94.9,60.598,100,25,rain,0,0,24.8,22.2,263.1,1009.6,82.3,6.4,98.6,8.6,4,30,2023-01-21T06:38:10,2023-01-21T18:34:50,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96033099999,96035099999,WIMM,remote"
Medan,2023-01-22,29,23,25.5,33.5,23,26.7,23.3,88,1.009,100,16.67,rain,0,0,29.2,20.4,281.3,1008.8,64.3,7.7,137.3,11.7,7,30,2023-01-22T06:38:24,2023-01-22T18:35:10,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96033099999,96035099999,WIMM"
Medan,2023-01-23,28,23.9,25.6,31.9,23.9,26.8,23.8,89.9,8.858,100,16.67,rain,0,0,21.2,16.6,294.1,1008.1,59.6,7.8,136.4,11.7,5,30,2023-01-23T06:38:36,2023-01-23T18:35:30,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96033099999,96035099999,WIMM"
Medan,2023-01-24,29,23,25.2,34.5,23,26.3,23.6,91.1,5.929,100,8.33,rain,0,0,18.7,16.5,273.1,1009,64.9,7.1,77.3,6.7,3,10,2023-01-24T06:38:48,2023-01-24T18:35:49,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96033099999,96035099999,WIMM"
Medan,2023-01-25,31,22,26.5,34.5,22,27.8,22.1,78.7,0,0,0,rain,0,0,27,27.7,93.6,1008.4,53.4,9.2,220.2,19,8,30,2023-01-25T06:38:58,2023-01-25T18:36:07,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM,remote"
Medan,2023-01-26,31,23.8,26.6,34.5,23.8,28.1,22.6,79.5,0,0,0,rain,0,0,22.7,57.8,106.1,1008.8,52.9,9.2,184.5,15.7,8,30,2023-01-26T06:39:08,2023-01-26T18:36:25,0.15,Partially cloudy,Partly cloudy throughout the day.,wind,"96033099999,96035099999,WIMM,remote"
Medan,2023-01-27,30.1,23,26.3,34.7,23,28.2,23.3,84.5,0.216,100,8.33,rain,0,0,18,22.3,300,1008.9,65.3,9.7,176.5,15.4,6,30,2023-01-27T06:39:17,2023-01-27T18:36:41,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96033099999,96035099999,WIMM,remote"
Medan,2023-01-28,30,23.9,26.5,34.4,23.9,28.1,23.3,83.5,0,0,0,rain,0,0,20.5,16.5,313.6,1008,51.5,8.7,171.9,14.8,7,60,2023-01-28T06:39:25,2023-01-28T18:36:58,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM"
Medan,2023-01-29,31.8,23.6,27.1,36.5,23.6,28.9,23.2,80.6,1.1,100,8.33,rain,0,0,23.8,24.1,110.8,1008,52.8,9.7,205.1,17.8,8,60,2023-01-29T06:39:32,2023-01-29T18:37:13,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96033099999,96035099999,WIMM,remote"
Medan,2023-01-30,31,23.9,27.2,35.5,23.9,29.4,23,79.2,0,0,0,rain,0,0,21.2,24.1,50.5,1009,45.7,8.2,214.2,18.4,8,60,2023-01-30T06:39:39,2023-01-30T18:37:28,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM"
Medan,2023-01-31,29,24,26.3,35.6,24,28.3,24.4,89.6,5.947,100,8.33,rain,0,0,23.8,14.7,330.1,1009.1,61.9,7.2,193.5,16.7,8,60,2023-01-31T06:39:44,2023-01-31T18:37:41,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96033099999,96035099999,WIMM,remote"
Medan,2023-02-01,29.9,23,26,34.8,23,27.5,23.5,87.1,0.772,100,8.33,rain,0,0,20.9,24,319.2,1008.9,57.8,7.1,175,15.1,7,60,2023-02-01T06:39:49,2023-02-01T18:37:55,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96033099999,96035099999,WIMM"
Medan,2023-02-02,30,21.6,26.6,35.1,21.6,28.4,23.3,83,0,0,0,rain,0,0,21.6,18.4,317.7,1008.6,52.8,9.7,220.8,19.1,8,30,2023-02-02T06:39:52,2023-02-02T18:38:07,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM,remote"
Medan,2023-02-03,31,23.1,27.1,39,23.1,30.3,24.7,87.6,1.947,100,4.17,rain,0,0,25.6,14.8,320.3,1008.3,54.2,7.5,220.4,19.1,8,60,2023-02-03T06:39:55,2023-02-03T18:38:19,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96033099999,96035099999,WIMM"
Medan,2023-02-04,30,24,26.8,35.2,24,28.7,24.3,87.1,2.434,100,8.33,rain,0,0,24.1,18.4,12.8,1007.8,52,7.2,231.7,20,8,60,2023-02-04T06:39:57,2023-02-04T18:38:29,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96033099999,96035099999,WIMM"
Medan,2023-02-05,29.2,24,26,33.5,24,27.5,23.8,88.1,0.779,100,4.17,rain,0,0,19.4,22.3,0.3,1008,52,6.7,145.2,12.4,6,60,2023-02-05T06:39:58,2023-02-05T18:38:40,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96033099999,96035099999,WIMM"
Medan,2023-02-06,30,23,25.7,34.1,23,26.9,23.2,86.4,1.1,100,8.33,rain,0,0,16.2,14.8,128.4,1009.1,73.3,7.1,112.4,9.7,5,10,2023-02-06T06:39:58,2023-02-06T18:38:49,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96033099999,96035099999,WIMM,remote"
Medan,2023-02-07,31,24,26.8,35.4,24,28.9,23.7,84.1,0.584,100,4.17,rain,0,0,27,18.4,321.3,1008.9,54.8,6.7,200.8,17.3,8,30,2023-02-07T06:39:57,2023-02-07T18:38:58,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96033099999,96035099999,WIMM"
Medan,2023-02-08,28,24.6,26.1,32.6,24.6,27.6,24.3,90.3,2.026,100,4.17,rain,0,0,24.5,18.4,290.6,1008.7,59,7.9,186.3,16,8,60,2023-02-08T06:39:55,2023-02-08T18:39:05,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96033099999,96035099999,WIMM,remote"
Medan,2023-02-09,31,24,26.9,34.5,24,28.8,23.1,81.4,0,0,0,rain,0,0,17.6,13,48.4,1008.2,56.6,7.5,236.2,20.5,9,60,2023-02-09T06:39:53,2023-02-09T18:39:13,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM"
Medan,2023-02-10,30.1,24.9,26.9,34.3,24.9,28.5,23.8,83.8,0,0,0,rain,0,0,22.3,20.5,129.4,1008.8,62.5,7,185.5,16,7,75,2023-02-10T06:39:49,2023-02-10T18:39:19,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM"
Medan,2023-02-11,30,24.9,26.8,35.1,24.9,28.9,24.1,85.4,0,0,0,rain,0,0,24.1,12.9,298.9,1009.4,54.7,6.9,159.6,13.9,6,30,2023-02-11T06:39:45,2023-02-11T18:39:25,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM"
Medan,2023-02-12,31,23.6,27.2,39,23.6,30.3,24.3,84.7,0,0,0,rain,0,0,21.6,16.6,319.8,1009.8,50.5,8.2,212.1,18.4,8,60,2023-02-12T06:39:40,2023-02-12T18:39:29,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM,remote"
Medan,2023-02-13,31,24,26.9,39,24,29.5,24,84.8,0,0,0,rain,0,0,20.5,22.3,305.2,1010.1,51.3,8.2,173.6,15,6,30,2023-02-13T06:39:34,2023-02-13T18:39:34,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM"
Medan,2023-02-14,29.8,23,26.1,36.2,23,28,23.8,87.6,0,0,0,rain,0,0,29.2,22.3,302,1009.7,50.3,9.3,235,20.5,8,30,2023-02-14T06:39:27,2023-02-14T18:39:37,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM,remote"
Medan,2023-02-15,31,23.3,26.7,35.4,23.3,27.9,23,81.4,0,0,0,rain,0,0,21.2,146.5,357.4,1009.6,58.8,8.9,221.9,19,8,30,2023-02-15T06:39:20,2023-02-15T18:39:40,0.82,Partially cloudy,Partly cloudy throughout the day.,wind,"96033099999,96035099999,WIMM,remote"
Medan,2023-02-16,32,22.2,27.1,36.7,22.2,29,22.5,77.2,0,0,0,rain,0,0,24.1,25.9,75,1009.7,44.2,7.9,228.7,19.8,8,30,2023-02-16T06:39:12,2023-02-16T18:39:42,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM"
Medan,2023-02-17,32,22.2,27.2,36.5,22.2,29,22.4,76.8,0,0,0,rain,0,0,23,22.3,67.8,1010.1,50.8,11,271.8,23.5,10,30,2023-02-17T06:39:03,2023-02-17T18:39:43,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM,remote"
Medan,2023-02-18,31.1,24,27.5,36.6,24,29.9,23.6,80.4,0,0,0,rain,0,0,23,18.4,318.2,1009.9,42.5,8.1,232.7,20.1,9,30,2023-02-18T06:38:53,2023-02-18T18:39:44,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM"
Medan,2023-02-19,29.1,25,26.5,34.5,25,28.3,24.3,88,1.624,100,4.17,rain,0,0,23.8,13,298.6,1010.4,47.1,8.5,193.9,16.7,8,30,2023-02-19T06:38:42,2023-02-19T18:39:44,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96033099999,96035099999,WIMM"
Medan,2023-02-20,32,22.9,27.2,37.9,22.9,30.2,24,83.5,0,0,0,rain,0,0,21.6,22.3,319.3,1009.8,39.7,8.4,238.9,20.7,8,30,2023-02-20T06:38:31,2023-02-20T18:39:44,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM,remote"
Medan,2023-02-21,31.1,24,27.4,36.5,24,29.9,24.2,83.4,0,0,0,rain,0,0,17.3,20.4,337,1010.3,40.9,7.1,219.5,19.1,9,30,2023-02-21T06:38:19,2023-02-21T18:39:43,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM"
