name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Medina,2023-01-01,22.1,16.8,19,22.1,16.8,19,10.8,59.3,5.9,100,75,rain,0,0,41.8,25.9,70.9,1021.7,59.4,9.9,64.5,5.5,3,10,2023-01-01T07:05:34,2023-01-01T17:44:32,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"40430099999,OEMA"
Medina,2023-01-02,17.1,14,15.8,17.1,14,15.8,12.8,83,25.1,100,100,rain,0,0,34.6,27.7,71.9,1022.6,80.4,6.8,101.4,8.9,5,10,2023-01-02T07:05:51,2023-01-02T17:45:11,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40430099999,OEMA"
Medina,2023-01-03,19,15,16.5,19,15,16.5,14.3,87.4,48.9,100,100,rain,0,0,41.4,27.7,76.1,1021.3,80.9,6.4,78.3,6.5,3,10,2023-01-03T07:06:07,2023-01-03T17:45:51,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40430099999,OEMA"
Medina,2023-01-04,18,13,15.7,18,13,15.7,11.7,78,8.3,100,45.83,rain,0,0,24.8,14.8,242,1019.2,57.2,9,144.9,12.3,6,10,2023-01-04T07:06:22,2023-01-04T17:46:32,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"40430099999,OEMA"
Medina,2023-01-05,19,11,14.7,19,11,14.7,8.5,69.3,0,0,0,,0,0,22.7,18.4,90.3,1021.1,30.1,9.3,182.3,15.6,7,10,2023-01-05T07:06:35,2023-01-05T17:47:13,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40430099999,OEMA"
Medina,2023-01-06,18,11,14.6,18,11,14.6,7.1,61.8,0,0,0,,0,0,32,22.3,79.8,1022.7,56.1,10,141.2,12.3,6,10,2023-01-06T07:06:47,2023-01-06T17:47:55,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40430099999,OEMA"
Medina,2023-01-07,18.8,11,14.6,18.8,11,14.6,8.6,67.9,0,0,0,,0,0,29.2,22.3,100.3,1022.6,34.3,10,170.9,14.7,6,10,2023-01-07T07:06:58,2023-01-07T17:48:37,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"40430099999,OEMA"
Medina,2023-01-08,22,13,17.5,22,13,17.5,11.9,70.5,0,0,0,,0,0,25.6,22.3,74.6,1019,54.2,10,141.8,12.2,5,10,2023-01-08T07:07:07,2023-01-08T17:49:19,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40430099999,OEMA"
Medina,2023-01-09,23,16,19.3,23,16,19.3,10.2,59,0,0,0,,0,0,37.8,40.7,236.9,1016.8,44.2,10,151.6,13.1,6,10,2023-01-09T07:07:15,2023-01-09T17:50:02,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40430099999,OEMA"
Medina,2023-01-10,19,11,15.4,19,11,15.4,3.2,45.6,0,0,0,,0,0,23,16.6,45.8,1022.8,26.9,10,197.2,17,7,10,2023-01-10T07:07:21,2023-01-10T17:50:45,0.61,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"40430099999,OEMA"
Medina,2023-01-11,19,10.9,14.8,19,10.9,14.8,3.9,49,0,0,0,,0,0,44.6,29.5,85.3,1024,44.1,10,139.3,12,5,10,2023-01-11T07:07:26,2023-01-11T17:51:29,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40430099999,OEMA"
Medina,2023-01-12,21,13,16.8,21,13,16.8,5.6,47.9,0,0,0,,0,0,33.5,25.9,82.2,1020.3,33.4,10,156.5,13.7,7,10,2023-01-12T07:07:30,2023-01-12T17:52:13,0.68,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"40430099999,OEMA"
Medina,2023-01-13,23.1,12,18,23.1,12,18,6.4,50.3,0,0,0,,0,0,19.1,18.4,276.2,1017.9,13.8,10,196.7,16.9,7,10,2023-01-13T07:07:32,2023-01-13T17:52:57,0.72,Clear,Clear conditions throughout the day.,clear-day,"40430099999,OEMA"
Medina,2023-01-14,24,13,18.9,24,13,18.9,6.1,46,0,0,0,,0,0,21.2,24.1,278.2,1017.5,8.9,10,204.2,17.7,8,10,2023-01-14T07:07:32,2023-01-14T17:53:41,0.75,Clear,Clear conditions throughout the day.,clear-day,"40430099999,OEMA"
Medina,2023-01-15,25,13,19.3,25,13,19.3,6.4,44.3,0,0,0,,0,0,23.8,18.4,251.4,1018.5,16.8,10,187.1,16.1,7,10,2023-01-15T07:07:32,2023-01-15T17:54:26,0.75,Clear,Clear conditions throughout the day.,clear-day,"40430099999,OEMA"
