name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Meghri,1/1/2023,8,-8,-0.2,8,-12,-2.5,-6.1,67.1,0,0,0,,0,0.3,21.6,11.2,341.4,1033.5,0,10,116.5,10,5,,2023-01-01T08:13:46,2023-01-01T17:43:18,0.31,Clear,Clear conditions throughout the day.,clear-day,"37958099999,37897099999,UBBN,37863599999"
Meghri,1/2/2023,8.3,-8,-0.4,8.3,-12,-2.6,-6.8,64.3,0,0,0,,0,0.3,29.2,14.4,327.5,1034.5,0,9.8,117.1,10,5,,2023-01-02T08:13:54,2023-01-02T17:44:07,0.34,Clear,Clear conditions throughout the day.,clear-day,"37958099999,37897099999,UBBN,37863599999"
Meghri,1/3/2023,8.8,-7,0.2,8.8,-10.8,-2.1,-7.4,59.9,0,0,0,,0,0.2,28.1,14.8,314.9,1033,0,10.4,117.2,10,5,,2023-01-03T08:14:00,2023-01-03T17:44:57,0.38,Clear,Clear conditions throughout the day.,clear-day,"37958099999,37897099999,UBBN,37863599999"
Meghri,1/4/2023,8.6,-7,-0.3,8.6,-12,-3,-7.6,60.7,0,0,0,,0,0.2,37.1,14.8,353.5,1024.7,19.2,10,120.9,10.6,5,,2023-01-04T08:14:04,2023-01-04T17:45:49,0.41,Clear,Clear conditions throughout the day.,clear-day,"37958099999,37897099999,UBBN,37863599999"
Meghri,1/5/2023,9.3,-6,0.4,9.3,-10.8,-1.5,-7,60.1,0,0,0,,0,0.7,25.9,14.8,8.9,1019.6,47.6,9.3,108.9,9.4,5,,2023-01-05T08:14:06,2023-01-05T17:46:42,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37958099999,37897099999,UBBN,37863599999"
Meghri,1/6/2023,10.8,-7,1.3,10.8,-12,-0.9,-6.4,58.5,0,0,0,,0,0.7,51.1,18.4,349.5,1018.3,2.6,9.9,113.8,9.8,5,,2023-01-06T08:14:05,2023-01-06T17:47:36,0.48,Clear,Clear conditions throughout the day.,clear-day,"37958099999,37897099999,UBBN,37863599999"
Meghri,1/7/2023,11.8,-2,4.6,11.8,-6.2,2.9,-3,59.7,0.5,100,16.67,rain,0,0.7,43.9,18.4,47.6,1015.6,87,9.5,105.8,9.2,4,,2023-01-07T08:14:02,2023-01-07T17:48:32,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37958099999,37897099999,UBBN,37863599999"
Meghri,1/8/2023,7.8,0,3.4,6.7,-3.6,1.9,-2.5,66,6.1,100,100,"rain,snow",2,2.4,29.9,11.2,69.1,1018.4,99.6,9.6,70.1,6.1,3,,2023-01-08T08:13:58,2023-01-08T17:49:29,0.55,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"37958099999,37897099999,UBBN,37863599999"
Meghri,1/9/2023,3,-4,-0.4,0.9,-9.3,-3.6,-4.6,73.9,2.5,100,58.33,"rain,snow",1.5,4.5,23,18.4,122.8,1023.7,68.9,8.5,94.9,8.3,4,,2023-01-09T08:13:51,2023-01-09T17:50:26,0.58,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"37958099999,37897099999,UBBN,37863599999"
Meghri,1/10/2023,3.1,-7,-1.8,3,-10.8,-4.5,-7.6,65.7,0,0,0,,0,2.6,24.8,14.8,116.7,1030.1,26.7,10.7,115.9,10.2,5,,2023-01-10T08:13:42,2023-01-10T17:51:25,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37958099999,37897099999,UBBN,37863599999"
Meghri,1/11/2023,3,-6,-1.7,1.6,-11.7,-5.3,-8.4,61.8,0.7,100,29.17,"rain,snow",0,1.5,27.7,18.4,115.4,1033.7,37.8,10.5,84.7,7.2,4,,2023-01-11T08:13:31,2023-01-11T17:52:25,0.65,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"37958099999,37897099999,UBBN,37863599999"
Meghri,1/12/2023,3.8,-6,-1.8,3.8,-10.8,-4.5,-8.8,60.4,0.1,100,4.17,snow,0,1.5,26.3,14.8,101.4,1033.5,37.5,11.3,111.5,9.7,5,,2023-01-12T08:13:17,2023-01-12T17:53:26,0.68,"Snow, Partially cloudy",Clearing in the afternoon with early morning snow.,rain,"37958099999,37897099999,UBBN,37863599999"
Meghri,1/13/2023,3,-7,-1.7,2.1,-10.8,-3.9,-7.7,64.3,0,0,0,,0,1.2,19.1,11.2,108.2,1029.5,72.3,11.1,110.5,9.4,5,,2023-01-13T08:13:02,2023-01-13T17:54:28,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37958099999,37897099999,UBBN,37863599999"
