name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Mongar,1/1/2023,2.9,-7.6,-2.5,2.4,-7.6,-2.7,-4.2,89.1,2.5,100,62.5,"rain,snow",1,18.9,27,5.4,151.6,1021.1,74.5,12.2,146.6,12.5,6,10,2023-01-01T06:45:54,2023-01-01T17:11:24,0.3,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,remote
Mongar,1/2/2023,1.9,-5.3,-2,0.2,-5.3,-2.3,-3.4,90.7,4.9,100,100,"rain,snow",2.3,20.2,29.2,6.1,133.6,1022,79.6,11,138.5,11.9,5,10,2023-01-02T06:46:10,2023-01-02T17:12:05,0.34,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,remote
Mongar,1/3/2023,3.3,-12.6,-4.3,3.2,-14.7,-5.2,-6.7,84,2.1,100,83.33,"rain,snow",1.1,21.3,29.9,6.1,4.7,1022.4,61.9,23.3,149.4,13,6,10,2023-01-03T06:46:24,2023-01-03T17:12:47,0.37,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,remote
Mongar,1/4/2023,4.4,-11.5,-4.2,2.6,-16.1,-5.9,-7.4,78.7,1.1,100,45.83,"rain,snow",0,20.5,36.7,7.9,16.3,1021.8,47.1,24.1,161.2,13.9,6,10,2023-01-04T06:46:37,2023-01-04T17:13:30,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,remote
Mongar,1/5/2023,4.6,-12.5,-4.8,4.6,-18.3,-7.2,-10.3,66.1,0,0,0,,0,19.2,31.7,11.2,2.6,1023.1,18.2,24.1,190,16.5,7,10,2023-01-05T06:46:49,2023-01-05T17:14:13,0.44,Clear,Clear conditions throughout the day.,clear-day,remote
Mongar,1/6/2023,7.1,-13.5,-4.9,7.1,-19.1,-7.7,-15.4,46.5,0,0,0,,0,17.5,41,10.8,0.2,1023.9,2.6,24.1,201.7,17.2,8,10,2023-01-06T06:46:58,2023-01-06T17:14:57,0.48,Clear,Clear conditions throughout the day.,clear-day,remote
Mongar,1/7/2023,5.2,-17.5,-7.2,5.2,-24,-10.3,-15.7,53.8,0,0,0,,0,16,45,11.9,358.6,1023.3,0.2,24.1,203.9,17.4,8,10,2023-01-07T06:47:07,2023-01-07T17:15:42,0.5,Clear,Clear conditions throughout the day.,clear-day,remote
Mongar,1/8/2023,6,-18.4,-7,6,-24.5,-9.7,-13.8,60.8,0,0,0,,0,14.5,33.5,9,359.8,1021.5,0,24.1,202.8,17.3,8,10,2023-01-08T06:47:14,2023-01-08T17:16:27,0.54,Clear,Clear conditions throughout the day.,clear-day,remote
Mongar,1/9/2023,7,-16.8,-5.9,7,-23,-8.4,-13.3,57.5,0,0,0,,0,12.9,36.7,9,358.7,1022,0.7,24.1,202.2,17.3,8,10,2023-01-09T06:47:19,2023-01-09T17:17:12,0.58,Clear,Clear conditions throughout the day.,clear-day,remote
Mongar,1/10/2023,6.7,-15.8,-3.9,6.3,-21.5,-5.8,-8.8,70.1,0.5,100,20.83,"rain,snow",0,11,32.8,8.3,14.2,1019.9,25.2,24.1,191.2,16.4,7,10,2023-01-10T06:47:23,2023-01-10T17:17:59,0.61,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,remote
Mongar,1/11/2023,5.9,-10.9,-3.2,5.9,-16,-4.4,-7.5,73.1,0,0,0,,0,9.5,37.1,10.1,354.8,1018,25.9,24.1,199.1,17.3,7,10,2023-01-11T06:47:25,2023-01-11T17:18:45,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Mongar,1/12/2023,4.6,-11.1,-3.2,2.7,-15.1,-4.8,-6.7,77.5,4.4,100,70.83,"rain,snow",0.6,9.3,37.4,7.6,57.1,1015.5,75.6,17.2,153.2,13.2,6,10,2023-01-12T06:47:25,2023-01-12T17:19:32,0.68,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,remote
Mongar,1/13/2023,4.7,-8.3,-2.3,3.4,-8.3,-2.5,-4.8,83.8,6,100,100,"rain,snow",1.8,11.9,29.5,5.8,116.7,1015,88.8,9.8,151.1,13,6,10,2023-01-13T06:47:24,2023-01-13T17:20:20,0.71,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,remote
Mongar,1/14/2023,4.3,-7.3,-2,4.1,-7.3,-2.2,-4,86.7,5.2,100,100,"rain,snow",2.6,14.6,31.3,5.4,148.4,1013.5,87.1,5.4,138.4,12.1,6,10,2023-01-14T06:47:22,2023-01-14T17:21:07,0.74,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,remote
Mongar,1/15/2023,3.7,-9.7,-2.9,3.1,-13.3,-3.9,-5.2,84.7,7.5,100,100,"rain,snow",1.7,16.4,27.4,6.8,5.5,1013,80.6,12.1,150.3,13.1,6,10,2023-01-15T06:47:18,2023-01-15T17:21:55,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,remote
Mongar,1/16/2023,3.5,-6,-1.3,1.6,-8.5,-1.8,-2.8,89.7,9.5,100,100,"rain,snow",3.2,19.8,36.4,7.6,155.6,1014.1,86.4,13.5,157.5,13.6,6,10,2023-01-16T06:47:12,2023-01-16T17:22:44,0.81,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,remote
Mongar,1/17/2023,2.5,-7.5,-2.3,0.4,-7.5,-3,-3.4,92.9,7.9,100,100,"rain,snow",4.3,23.1,39.6,7.6,157,1015,81.2,14.8,155.4,13.3,6,10,2023-01-17T06:47:05,2023-01-17T17:23:32,0.85,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,remote
Mongar,1/18/2023,2.1,-10.8,-4,2.1,-14.7,-4.5,-6.6,82.5,5.2,100,83.33,"rain,snow",2.1,26.7,25.6,6.5,22.6,1017.7,72.5,20.2,199.1,17.1,8,10,2023-01-18T06:46:56,2023-01-18T17:24:21,0.88,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,remote
