name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Muang Phonsavan,2023-01-01,20.3,8.2,13.4,20.3,8.2,13.3,9.6,80.2,0,0,0,,0,0,23.4,7.6,63.9,1021.8,25.3,17.4,208,17.9,8,10,2023-01-01T06:41:05,2023-01-01T17:39:46,0.3,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"remote,48935099999"
Muang Phonsavan,2023-01-02,20.8,6.1,13.2,20.8,5,12.9,10,82.9,0,0,0,,0,0,24.1,7.9,73.4,1022,36.1,16.8,181.9,15.6,7,10,2023-01-02T06:41:25,2023-01-02T17:40:23,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,48935099999"
Muang Phonsavan,2023-01-03,19.5,10.2,14.1,19.5,10.2,14.1,12,88.2,0,0,0,,0,0,29.2,10.8,67.2,1022.7,75.2,13.5,113.8,9.9,6,10,2023-01-03T06:41:44,2023-01-03T17:41:00,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,48935099999"
Muang Phonsavan,2023-01-04,24.4,10.5,16.1,24.4,10.5,16.1,12.4,81.5,0,0,0,,0,0,20.5,7.6,47.4,1020.8,54.8,16.3,174.1,15,7,10,2023-01-04T06:42:02,2023-01-04T17:41:38,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,48935099999"
Muang Phonsavan,2023-01-05,22.9,10.8,15.4,22.9,10.8,15.4,11.7,81.3,0,0,0,,0,0,23.8,7.9,63.4,1021.1,79.1,14.9,215.2,18.5,8,10,2023-01-05T06:42:18,2023-01-05T17:42:15,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,48935099999"
Muang Phonsavan,2023-01-06,18.2,10.8,14.1,18.2,10.8,14.1,10.5,79.9,0,0,0,,0,0,44.6,21.6,68.4,1023.1,70.1,16.4,142.8,12.2,6,10,2023-01-06T06:42:34,2023-01-06T17:42:54,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,48935099999"
Muang Phonsavan,2023-01-07,20.2,7.6,13.2,20.2,7,13,8.6,76.3,0,0,0,,0,0,28.1,9,66.4,1020.1,44.6,14.8,198.7,17.1,7,10,2023-01-07T06:42:48,2023-01-07T17:43:32,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,48935099999"
Muang Phonsavan,2023-01-08,21.6,8.9,14.9,21.6,8.2,14.7,10.7,78,0,0,0,,0,0,20.9,6.8,62,1018.4,66.2,21.9,176.2,15.2,7,10,2023-01-08T06:43:02,2023-01-08T17:44:11,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,48935099999"
Muang Phonsavan,2023-01-09,23.5,11.7,17.2,23.5,11.7,17.2,14,82.9,0,0,0,,0,0,19.1,6.8,47.7,1018.1,58,21.5,142.8,12.4,6,10,2023-01-09T06:43:14,2023-01-09T17:44:49,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,48935099999"
Muang Phonsavan,2023-01-10,21.5,13.4,16.9,21.5,13.4,16.9,14.9,88.9,0.2,100,8.33,rain,0,0,18.4,6.5,78.8,1017.2,74.4,19.1,96.4,8.4,4,10,2023-01-10T06:43:25,2023-01-10T17:45:28,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,48935099999"
