name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Muang Sing,2023-01-01,22,12.3,16.3,22,12.3,16.3,14.4,89.8,0,0,0,rain,0,0,18,7.6,144.9,1020.5,51.7,16.4,131.4,11.3,6,10,2023-01-01T06:52:51,2023-01-01T17:45:01,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VLLN,48924099999,56969099999,remote"
Muang Sing,2023-01-02,24,10.6,15.6,24,10.6,15.6,12.6,84.8,0,0,0,,0,0,21.2,7.6,96.1,1021.4,30.8,15.8,196.8,17,7,10,2023-01-02T06:53:10,2023-01-02T17:45:38,0.34,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VLLN,48924099999,56969099999,remote"
Muang Sing,2023-01-03,24,10.3,15.3,24,10.3,15.3,12.3,84.3,0,0,0,rain,0,0,25.2,7.9,92.9,1021.5,47.6,14.6,160.7,14,7,10,2023-01-03T06:53:28,2023-01-03T17:46:16,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VLLN,48924099999,56969099999,remote"
Muang Sing,2023-01-04,26,12.1,16.6,26,12.1,16.6,13.6,84.6,0,0,0,,0,0,25.2,5.8,130.3,1020.8,56.1,16.8,166.4,14.2,7,10,2023-01-04T06:53:45,2023-01-04T17:46:55,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VLLN,48924099999,56969099999,remote"
Muang Sing,2023-01-05,27,11.4,16.7,27.5,11.4,16.7,13.7,84.1,0,0,0,,0,0,18,11.2,152.8,1020.2,23.3,13.4,195.8,17,7,10,2023-01-05T06:54:01,2023-01-05T17:47:34,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VLLN,48924099999,56969099999,remote"
Muang Sing,2023-01-06,22,10.6,15.7,22,10.6,15.7,12.2,81.6,0,0,0,rain,0,0,42.5,18.4,72.4,1022.8,67,14.2,150.8,13.2,6,10,2023-01-06T06:54:15,2023-01-06T17:48:13,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VLLN,48924099999,56969099999,remote"
Muang Sing,2023-01-07,22,8.7,13.7,22,8,13.6,10.8,84.8,0,0,0,,0,0,26.6,7.4,85.1,1020.4,25.5,13.6,205,17.6,8,10,2023-01-07T06:54:29,2023-01-07T17:48:52,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VLLN,48924099999,56969099999,remote"
Muang Sing,2023-01-08,24.7,9.3,14.1,24.7,9.3,14.1,11.2,84.3,0,0,0,,0,0,20.9,7.6,100.9,1018.9,21.6,12.9,207.2,17.8,8,10,2023-01-08T06:54:41,2023-01-08T17:49:32,0.54,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VLLN,48924099999,56969099999,remote"
Muang Sing,2023-01-09,26.7,10.7,15.5,26.7,10.7,15.5,11.6,80.5,0,0,0,,0,0,19.8,7.6,134.4,1019,31.1,13.6,202.7,17.6,7,10,2023-01-09T06:54:51,2023-01-09T17:50:12,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VLLN,48924099999,56969099999,remote"
Muang Sing,2023-01-10,27,10.4,16.4,27.1,10.4,16.4,12.4,80.4,0,0,0,,0,0,15.5,7.6,161.6,1016.9,29.9,14.7,165.4,14.3,6,10,2023-01-10T06:55:01,2023-01-10T17:50:53,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VLLN,48924099999,56969099999,remote"
Muang Sing,2023-01-11,27.6,11.3,17,28.3,11.3,17,14,84.8,0,0,0,,0,0,32,11.2,192.8,1014.2,28,13.4,174.6,15.1,7,10,2023-01-11T06:55:09,2023-01-11T17:51:33,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VLLN,48924099999,56969099999,remote"
