name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Multan,2023-01-01,20,10,14.2,20,10,14.2,8.7,70.9,0,0,0,,0,0,14.8,14.8,185.7,1018.8,23.6,3.3,156.9,13.4,6,10,2023-01-01T07:10:33,2023-01-01T17:24:44,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41675099999,OPMT"
Multan,2023-01-02,20,7,13.1,20,7,13.1,7.6,72.4,0,0,0,,0,0,13.3,11.2,84,1020.7,1.4,2.8,158,13.5,6,10,2023-01-02T07:10:47,2023-01-02T17:25:27,0.34,Clear,Clear conditions throughout the day.,clear-day,"41675099999,OPMT"
Multan,2023-01-03,20,6.8,12.9,20,6.8,12.9,7.9,73.9,0,0,0,,0,0,18.4,0,180,1022.5,0.2,2.2,160.9,14,6,10,2023-01-03T07:11:00,2023-01-03T17:26:10,0.37,Clear,Clear conditions throughout the day.,clear-day,"41675099999,OPMT"
Multan,2023-01-04,22,6.8,14.1,22,6.8,14.1,7.7,69.1,0,0,0,,0,0,16.2,14.8,270,1022.3,0,2.5,164.4,14,6,10,2023-01-04T07:11:11,2023-01-04T17:26:55,0.41,Clear,Clear conditions throughout the day.,clear-day,"41675099999,OPMT"
Multan,2023-01-05,21,6,13,21,6,13,6.4,67.4,0,0,0,,0,0,19.4,11.2,206.5,1022.8,8.3,2.2,164.8,14.1,6,10,2023-01-05T07:11:21,2023-01-05T17:27:40,0.44,Clear,Clear conditions throughout the day.,clear-day,"41675099999,OPMT"
Multan,2023-01-06,16,5,10.2,16,4.8,10.1,6.4,78.6,0,0,0,,0,0,16.9,11.2,204.7,1023.3,54.9,1.3,136.5,11.7,6,10,2023-01-06T07:11:28,2023-01-06T17:28:26,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41675099999,OPMT"
Multan,2023-01-07,12,6,8.6,12,6,8.6,7.2,91.8,0,0,0,,0,0,17.3,7.6,36.1,1022.7,64.7,0.7,151.3,13.1,6,10,2023-01-07T07:11:35,2023-01-07T17:29:13,0.5,Partially cloudy,Partly cloudy throughout the day.,fog,"41675099999,OPMT"
Multan,2023-01-08,16,5,9.9,16,5,9.9,8,89.1,0,0,0,,0,0,15.5,0,180,1019.7,85.8,0.5,140.5,12.1,6,10,2023-01-08T07:11:39,2023-01-08T17:30:00,0.54,Partially cloudy,Partly cloudy throughout the day.,fog,"41675099999,OPMT"
Multan,2023-01-09,20,6,12.1,20,6,12.1,8.2,79.8,0,0,0,,0,0,20.5,11.2,173.1,1019.7,49.5,2.1,161.1,13.8,6,10,2023-01-09T07:11:42,2023-01-09T17:30:48,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41675099999,remote,OPMT"
Multan,2023-01-10,21,7.8,13.3,21,7.8,13.3,8.7,76.2,0,0,0,,0,0,13,7.6,186.6,1018.9,12.1,1.8,161.3,14,6,10,2023-01-10T07:11:43,2023-01-10T17:31:37,0.61,Clear,Clear conditions throughout the day.,clear-day,"41675099999,OPMT"
Multan,2023-01-11,21,11.8,15.3,21,11.8,15.3,9.1,69.1,0,0,0,,0,0,24.5,14.8,172.2,1012.1,44.8,2.2,106,9.2,5,10,2023-01-11T07:11:43,2023-01-11T17:32:26,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41675099999,OPMT"
Multan,2023-01-12,18,11,13.6,18,11,13.6,8.8,75.2,0,0,0,,0,0,27.7,14.8,46.5,1012.6,46.5,2.4,147.4,12.6,6,10,2023-01-12T07:11:40,2023-01-12T17:33:16,0.68,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41675099999,OPMT"
Multan,2023-01-13,17,7,11.4,17,4.8,11,0.8,55.2,0,0,0,,0,0,29.2,14.8,16.1,1014.9,5,4.6,174.7,15.3,7,10,2023-01-13T07:11:36,2023-01-13T17:34:06,0.71,Clear,Clear conditions throughout the day.,clear-day,"41675099999,OPMT"
Multan,2023-01-14,18,3,10.4,18,3,10.3,0.2,53.3,0,0,0,,0,0,21.6,11.2,301.9,1018.5,0,4.4,177.5,15.4,7,10,2023-01-14T07:11:31,2023-01-14T17:34:57,0.75,Clear,Clear conditions throughout the day.,clear-day,"41675099999,OPMT"
Multan,2023-01-15,19.7,3,11,19.7,3,11,0.5,54.3,0,0,0,,0,0,18,14.8,233.6,1016,0,4.6,176.2,15.3,7,10,2023-01-15T07:11:24,2023-01-15T17:35:48,0.75,Clear,Clear conditions throughout the day.,clear-day,"41675099999,remote,OPMT"
Multan,2023-01-16,18,3,10.3,18,3,10.3,1.4,58.2,0,0,0,,0,0,17.3,7.6,34.9,1017.2,0,3.4,177.7,15.3,7,10,2023-01-16T07:11:15,2023-01-16T17:36:40,0.81,Clear,Clear conditions throughout the day.,clear-day,"41675099999,OPMT"
Multan,2023-01-17,19,3,11.3,19,3,11.3,1.9,57.2,0,0,0,,0,0,18,14.8,230,1017.6,5.3,3.2,175.9,15.2,7,10,2023-01-17T07:11:04,2023-01-17T17:37:31,0.85,Clear,Clear conditions throughout the day.,clear-day,"41675099999,OPMT"
Multan,2023-01-18,16.8,5,11.2,16.8,5,11.2,3.9,63.9,0.7,100,12.5,rain,0,0,17.3,7.6,360,1019.4,66.5,2,104.3,9,4,10,2023-01-18T07:10:52,2023-01-18T17:38:23,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41675099999,OPMT"
Multan,2023-01-19,18,6.8,12.5,18,6.8,12.5,5.8,65.9,0.8,100,12.5,rain,0,0,13.3,11.2,227.5,1019.7,76,2.6,116.1,10,5,10,2023-01-19T07:10:38,2023-01-19T17:39:16,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41675099999,OPMT"
