name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Murghab,1/1/2023,-10.9,-35.5,-25.5,-10.9,-35.5,-25.7,-28.8,74.4,0,0,0,,0,15.4,20.5,7.2,313.7,1043.8,14.9,50,137.3,11.8,6,,2023-01-01T07:20:37,2023-01-01T16:54:07,0.3,Clear,Clear conditions throughout the day.,clear-day,"38878099999,remote"
Murghab,1/2/2023,-10.9,-34.9,-24.2,-10.9,-34.9,-24.2,-28.6,67.6,0,0,0,,0,15.3,17.6,4.3,293.3,1040.5,19.1,50,138.4,11.9,6,,2023-01-02T07:20:45,2023-01-02T16:54:55,0.34,Clear,Clear conditions throughout the day.,clear-day,"38878099999,remote"
Murghab,1/3/2023,-9.4,-32.8,-22.8,-9.4,-32.8,-23,-27.4,66.8,0,0,0,,0,15.3,25.2,7.2,278.5,1040.2,41.4,50,134.3,11.6,5,,2023-01-03T07:20:52,2023-01-03T16:55:44,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38878099999,remote"
Murghab,1/4/2023,-2.9,-28,-17.8,-5.9,-28,-18.7,-22.6,67,0,0,0,,0,15.2,33.5,14.4,258.4,1040.4,22.8,50,136.6,11.8,6,,2023-01-04T07:20:57,2023-01-04T16:56:35,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38878099999,remote"
Murghab,1/5/2023,-6.4,-28.7,-19.7,-6.4,-28.7,-19.7,-23.9,70.8,0,0,0,,0,15.1,20.2,4,292.4,1043.9,18.8,50,138.6,11.9,6,,2023-01-05T07:20:59,2023-01-05T16:57:28,0.44,Clear,Clear conditions throughout the day.,clear-day,"38878099999,remote"
Murghab,1/6/2023,-5.9,-25.8,-17.6,-8.1,-25.8,-18.1,-23.4,60.5,0,0,0,,0,14.9,27.4,7.2,281.4,1035.8,41.6,50,137.1,11.7,6,,2023-01-06T07:21:00,2023-01-06T16:58:21,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38878099999,remote"
Murghab,1/7/2023,0.6,-23.2,-14.4,-3.6,-23.2,-15.2,-19,69,0.2,100,8.33,snow,0,14.8,28.1,14.4,229.1,1031.9,50.8,50,135,11.6,6,,2023-01-07T07:20:58,2023-01-07T16:59:16,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,rain,"38878099999,remote"
Murghab,1/8/2023,-4.4,-28.4,-15,-4.6,-28.4,-15.5,-18.8,74.2,0.6,100,25,snow,0.1,15.2,26.6,7.2,254.5,1027.8,82.8,50,99.2,8.6,5,,2023-01-08T07:20:54,2023-01-08T17:00:12,0.54,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"38878099999,remote"
Murghab,1/9/2023,-0.6,-25.4,-13.7,-7.2,-25.4,-14.6,-17.5,74.3,0,0,0,,0,15.5,32.4,28.8,231.6,1024.2,46.4,50,134,11.7,6,,2023-01-09T07:20:49,2023-01-09T17:01:09,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"38878099999,remote"
Murghab,1/10/2023,-3.8,-28.1,-16.9,-9,-28.1,-18.6,-20.8,72.6,0.2,100,8.33,snow,0,15.6,37.1,14.4,210,1027.5,86.9,50,127.8,11.2,5,,2023-01-10T07:20:41,2023-01-10T17:02:07,0.61,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"38878099999,remote"
